cluster_id,cluster_start,cluster_end,cluster_direction,cluster_MFE,cluster_MAE,cluster_duration,pair,session,weekday
EUR_USD_LONG_0001,2024-01-15T08:00:00+00:00,2024-01-15T08:24:00+00:00,LONG,4.1,2.3,24,EUR_USD,london,monday
EUR_USD_LONG_0002,2024-01-15T09:16:00+00:00,2024-01-15T09:30:00+00:00,LONG,3.5,1.0,14,EUR_USD,london,monday
EUR_USD_LONG_0003,2024-01-15T09:38:00+00:00,2024-01-15T09:55:00+00:00,LONG,3.4,0.8,17,EUR_USD,london,monday
EUR_USD_LONG_0004,2024-01-15T10:17:00+00:00,2024-01-15T12:17:00+00:00,LONG,4.6,2.5,120,EUR_USD,london,monday
EUR_USD_LONG_0005,2024-01-15T12:30:00+00:00,2024-01-15T12:53:00+00:00,LONG,6.4,2.4,23,EUR_USD,london,monday
EUR_USD_LONG_0006,2024-01-15T13:09:00+00:00,2024-01-15T13:35:00+00:00,LONG,3.8,2.2,26,EUR_USD,london,monday
EUR_USD_LONG_0007,2024-01-15T13:41:00+00:00,2024-01-15T13:51:00+00:00,LONG,2.9,0.0,10,EUR_USD,london,monday
EUR_USD_LONG_0008,2024-01-15T14:06:00+00:00,2024-01-15T15:25:00+00:00,LONG,5.0,2.2,79,EUR_USD,london,monday
EUR_USD_LONG_0009,2024-01-15T15:36:00+00:00,2024-01-15T16:29:00+00:00,LONG,4.6,2.4,53,EUR_USD,london,monday
EUR_USD_LONG_0010,2024-01-15T16:43:00+00:00,2024-01-15T16:48:00+00:00,LONG,2.7,0.0,5,EUR_USD,other,monday
EUR_USD_SHORT_0001,2024-01-15T08:09:00+00:00,2024-01-15T10:18:00+00:00,SHORT,5.0,2.5,129,EUR_USD,london,monday
EUR_USD_SHORT_0002,2024-01-15T10:30:00+00:00,2024-01-15T10:46:00+00:00,SHORT,3.0,0.0,16,EUR_USD,london,monday
EUR_USD_SHORT_0003,2024-01-15T11:29:00+00:00,2024-01-15T11:52:00+00:00,SHORT,4.1,2.5,23,EUR_USD,london,monday
EUR_USD_SHORT_0004,2024-01-15T12:13:00+00:00,2024-01-15T14:07:00+00:00,SHORT,5.6,2.4,114,EUR_USD,london,monday
EUR_USD_SHORT_0005,2024-01-15T14:17:00+00:00,2024-01-15T15:12:00+00:00,SHORT,5.0,2.4,55,EUR_USD,london,monday
EUR_USD_SHORT_0006,2024-01-15T15:25:00+00:00,2024-01-15T15:38:00+00:00,SHORT,3.7,0.9,13,EUR_USD,london,monday
EUR_USD_SHORT_0007,2024-01-15T15:57:00+00:00,2024-01-15T16:19:00+00:00,SHORT,3.1,0.7,22,EUR_USD,london,monday
EUR_USD_SHORT_0008,2024-01-15T16:27:00+00:00,2024-01-15T16:57:00+00:00,SHORT,3.3,1.0,30,EUR_USD,other,monday
