node,clusters,valid_states,target_class_count,unique_events,fanout_per_unique_event,cluster_to_trigger,state_to_trigger,pips_per_hour,pph_per_unique_event
EUR_USD__friday__asia,101,5131,312,220,1.4181818181818182,3.089108910891089,0.06080686026115767,12.298864,0.05590392727272727
EUR_USD__friday__london,123,5208,4020,2296,1.7508710801393728,32.68292682926829,0.771889400921659,247.009091,0.10758235670731708
EUR_USD__friday__new_york,122,4996,871,541,1.609981515711645,7.139344262295082,0.17433947157726182,70.860227,0.13098008687615526
EUR_USD__friday__sydney,24,422,13,13,1.0,0.5416666666666666,0.030805687203791468,0.270455,0.02080423076923077
EUR_USD__monday__asia,138,5955,160,102,1.5686274509803921,1.1594202898550725,0.02686817800167926,6.948864,0.06812611764705882
EUR_USD__monday__london,143,6507,2935,1783,1.6461020751542343,20.524475524475523,0.45105271246350087,106.675,0.05982893998878295
EUR_USD__monday__new_york,111,6107,217,156,1.391025641025641,1.954954954954955,0.03553299492385787,39.136364,0.2508741282051282
EUR_USD__monday__sydney,121,5274,314,261,1.2030651340996168,2.5950413223140494,0.05953735305271141,10.304545,0.03948101532567049
EUR_USD__thursday__asia,107,5168,687,381,1.8031496062992125,6.420560747663552,0.13293343653250775,49.338636,0.12949773228346456
EUR_USD__thursday__london,114,5219,1553,1060,1.4650943396226415,13.62280701754386,0.297566583636712,98.951136,0.0933501283018868
EUR_USD__thursday__new_york,112,4898,1172,623,1.8812199036918138,10.464285714285714,0.23928133932217233,97.036364,0.15575660353130016
EUR_USD__tuesday__asia,93,5173,805,524,1.536259541984733,8.655913978494624,0.15561569688768606,30.163636,0.057564190839694655
EUR_USD__tuesday__london,130,6518,2790,1696,1.6450471698113207,21.46153846153846,0.4280454127032832,94.347727,0.05562955601415095
EUR_USD__tuesday__new_york,94,5028,737,481,1.5322245322245323,7.840425531914893,0.1465791567223548,37.344318,0.07763891476091477
EUR_USD__tuesday__sydney,95,4363,379,248,1.528225806451613,3.9894736842105263,0.0868668347467339,51.732955,0.20860062499999998
EUR_USD__wednesday__london,129,5207,3074,1911,1.60858189429618,23.829457364341085,0.5903591319377761,150.972727,0.07900195028780743
EUR_USD__wednesday__new_york,118,5088,1142,692,1.6502890173410405,9.677966101694915,0.2244496855345912,80.777273,0.11673016329479768
EUR_USD__wednesday__sydney,108,4023,163,129,1.2635658914728682,1.5092592592592593,0.040517027094208305,11.885227,0.09213354263565891
