component,tp_pips,sl_pips,trade_count,capture_rate,bad_trigger,avg_R,delta_R,pips_per_hour,verdict
entry_long,2.5,2.5,9,1.0,0.8333333333333334,,,,PASS
entry_short,2.5,2.5,7,0.0,0.75,,,,FAIL
aee_long,2.5,2.5,9,,,1.2266666666669066,0.2266666666669066,3.0666666666672664,PASS
aee_short,2.5,2.5,7,,,1.1428571428572707,0.1428571428572707,2.222222222222471,PASS
entry_long,3.5,3.5,6,0.6666666666666666,0.6666666666666666,,,,PASS
entry_short,3.5,3.5,3,0.0,0.5,,,,FAIL
aee_long,3.5,3.5,6,,,1.2285714285714413,0.2285714285714413,2.8666666666666965,PASS
aee_short,3.5,3.5,3,,,1.1904761904759535,0.19047619047595354,1.3888888888886126,PASS
entry_long,5.0,5.0,1,0.0,0.16666666666666666,,,,FAIL
entry_short,5.0,5.0,1,0.0,0.25,,,,FAIL
aee_long,5.0,5.0,1,,,1.2400000000001299,0.2400000000001299,0.688888888888961,PASS
aee_short,5.0,5.0,1,,,1.100000000000101,0.1000000000001009,0.6111111111111671,PASS
entry_long,6.0,6.0,1,0.0,0.16666666666666666,,,,FAIL
entry_short,6.0,6.0,0,0.0,0.0,,,,FAIL
aee_long,6.0,6.0,1,,,1.0333333333334416,0.03333333333344157,0.688888888888961,PASS
aee_short,6.0,6.0,0,,,0.0,0.0,0.0,FAIL
entry_long,7.0,7.0,0,0.0,0.0,,,,FAIL
entry_short,7.0,7.0,0,0.0,0.0,,,,FAIL
aee_long,7.0,7.0,0,,,0.0,0.0,0.0,FAIL
aee_short,7.0,7.0,0,,,0.0,0.0,0.0,FAIL
entry_long,8.0,8.0,0,0.0,0.0,,,,FAIL
entry_short,8.0,8.0,0,0.0,0.0,,,,FAIL
aee_long,8.0,8.0,0,,,0.0,0.0,0.0,FAIL
aee_short,8.0,8.0,0,,,0.0,0.0,0.0,FAIL
