trade_id,broker_trade_id,pair,entry_time,fill_price,initial_SL,upgraded_SL,broker_close_time,close_reason,realized_pl,MFE_before_close_pips,MAE_before_close_pips,first_AEE_eval_time,first_AEE_action_time,did_AEE_act_before_SL
3532,75862,USD_DKK,2026-03-04T11:37:31.483776236Z,6.41922,6.48654,6.42203,2026-03-04T11:43:18.458813696Z,STOP_LOSS_ORDER,-8.2283,15.0,-23.4,,,no
3533,75868,USD_DKK,2026-03-04T11:37:31.884819638Z,6.41922,6.48654,6.42203,2026-03-04T11:43:18.458813696Z,STOP_LOSS_ORDER,-2.7429,15.0,-23.4,,,no
3520,75782,EUR_USD,2026-03-04T08:28:02.932635955Z,1.16004,1.1686,1.16057,2026-03-04T08:32:41.618030726Z,STOP_LOSS_ORDER,-53.0244,3.2,-5.8,,,no
3521,75788,EUR_USD,2026-03-04T08:28:03.714994386Z,1.16,1.1686,1.16057,2026-03-04T08:32:41.618030726Z,STOP_LOSS_ORDER,-19.0089,2.8,-6.2,,,no
3522,75794,USD_CAD,2026-03-04T08:28:04.432228619Z,1.36611,1.376,1.36641,2026-03-04T08:29:57.539512103Z,STOP_LOSS_ORDER,-18.7492,0.1,-2.3,,,no
3523,75800,USD_CAD,2026-03-04T08:28:04.848837851Z,1.36611,1.376,1.36641,2026-03-04T08:29:57.539512103Z,STOP_LOSS_ORDER,-6.2497,0.1,-2.3,,,no
,75589,USD_JPY,2026-03-03T21:58:57.520739442Z,157.709,157.677,157.677,2026-03-03T21:59:04.425255151Z,STOP_LOSS_ORDER,-0.4726,0.9,-2.3,,,no
,75593,USD_JPY,2026-03-03T21:58:58.776076102Z,157.711,157.677,157.677,2026-03-03T21:59:04.425255151Z,STOP_LOSS_ORDER,-0.215,0.7,-2.5,,,no
,75389,EUR_USD,2026-03-03T21:12:16.674228879Z,1.16139,1.16162,1.16162,2026-03-03T21:12:21.375468060Z,STOP_LOSS_ORDER,-13.8,-0.3,-2.1,,,no
,75393,EUR_USD,2026-03-03T21:12:16.834753399Z,1.16139,1.16162,1.16162,2026-03-03T21:12:21.375468060Z,STOP_LOSS_ORDER,-9.2,-0.3,-2.1,,,no
,75375,USD_JPY,2026-03-03T21:10:50.785853710Z,157.645,157.671,157.671,2026-03-03T21:10:52.490874619Z,STOP_LOSS_ORDER,-0.2242,-0.5,-3.3,,,no
,75379,USD_JPY,2026-03-03T21:10:50.969054903Z,157.645,157.671,157.671,2026-03-03T21:10:52.490874619Z,STOP_LOSS_ORDER,-0.1497,-0.5,-3.3,,,no
,75275,EUR_USD,2026-03-03T21:01:42.215563010Z,1.16179,1.16153,1.16153,2026-03-03T21:02:05.907135742Z,STOP_LOSS_ORDER,-15.6,-0.6,-2.7,,,no
,75279,EUR_USD,2026-03-03T21:01:42.395192904Z,1.16179,1.16153,1.16153,2026-03-03T21:02:05.907135742Z,STOP_LOSS_ORDER,-10.4,-0.6,-2.7,,,no
,75184,EUR_CAD,2026-03-03T20:37:25.452855178Z,1.58758,1.58809,1.58809,2026-03-03T20:38:01.726897330Z,STOP_LOSS_ORDER,-15.9973,-0.9,-5.4,,,no
,75188,EUR_CAD,2026-03-03T20:37:25.642947662Z,1.58758,1.58809,1.58809,2026-03-03T20:38:01.726897330Z,STOP_LOSS_ORDER,-10.6654,-0.9,-5.4,,,no
,75123,USD_JPY,2026-03-03T20:32:31.871808422Z,157.56,157.539,157.539,2026-03-03T20:32:32.398744161Z,STOP_LOSS_ORDER,-0.1825,-0.4,-2.2,,,no
,75127,USD_JPY,2026-03-03T20:32:32.170500000Z,157.56,157.539,157.539,2026-03-03T20:32:32.398744161Z,STOP_LOSS_ORDER,-0.1216,-0.4,-2.2,,,no
