instrument,ts,bid,ask
EUR_USD,1640000000.0,1.12991,1.12999
EUR_USD,1640000001.0,1.12981,1.12989
EUR_USD,1640000002.0,1.12982,1.1299
EUR_USD,1640000003.0,1.12977,1.12985
EUR_USD,1640000004.0,1.12979,1.12987
EUR_USD,1640000005.0,1.12982,1.1299
EUR_USD,1640000006.0,1.12974,1.12982
EUR_USD,1640000007.0,1.12995,1.13003
EUR_USD,1640000008.0,1.12994,1.13002
EUR_USD,1640000009.0,1.12997,1.13005
EUR_USD,1640000010.0,1.13004,1.13012
EUR_USD,1640000011.0,1.12998,1.13006
EUR_USD,1640000012.0,1.13001,1.13009
EUR_USD,1640000013.0,1.13004,1.13012
EUR_USD,1640000014.0,1.12998,1.13006
EUR_USD,1640000015.0,1.12997,1.13005
EUR_USD,1640000016.0,1.1299,1.12998
EUR_USD,1640000017.0,1.12992,1.13
EUR_USD,1640000018.0,1.12994,1.13002
EUR_USD,1640000019.0,1.12999,1.13007
EUR_USD,1640000020.0,1.13001,1.13009
EUR_USD,1640000021.0,1.12992,1.13
EUR_USD,1640000022.0,1.13001,1.13009
EUR_USD,1640000023.0,1.13004,1.13012
EUR_USD,1640000024.0,1.12996,1.13004
EUR_USD,1640000025.0,1.12996,1.13004
EUR_USD,1640000026.0,1.12992,1.13
EUR_USD,1640000027.0,1.12997,1.13005
EUR_USD,1640000028.0,1.12999,1.13007
EUR_USD,1640000029.0,1.12999,1.13007
EUR_USD,1640000030.0,1.12999,1.13007
EUR_USD,1640000031.0,1.13,1.13008
EUR_USD,1640000032.0,1.12986,1.12994
EUR_USD,1640000033.0,1.12994,1.13002
EUR_USD,1640000034.0,1.12988,1.12996
EUR_USD,1640000035.0,1.12994,1.13002
EUR_USD,1640000036.0,1.12999,1.13007
EUR_USD,1640000037.0,1.12993,1.13001
EUR_USD,1640000038.0,1.12994,1.13002
EUR_USD,1640000039.0,1.12999,1.13007
EUR_USD,1640000040.0,1.13002,1.1301
EUR_USD,1640000041.0,1.12999,1.13007
EUR_USD,1640000042.0,1.13009,1.13017
EUR_USD,1640000043.0,1.13009,1.13017
EUR_USD,1640000044.0,1.1301,1.13018
EUR_USD,1640000045.0,1.1301,1.13018
EUR_USD,1640000046.0,1.13007,1.13015
EUR_USD,1640000047.0,1.13013,1.13021
EUR_USD,1640000048.0,1.13012,1.1302
EUR_USD,1640000049.0,1.13014,1.13022
EUR_USD,1640000050.0,1.13013,1.13021
EUR_USD,1640000051.0,1.13006,1.13014
EUR_USD,1640000052.0,1.13,1.13008
EUR_USD,1640000053.0,1.13012,1.1302
EUR_USD,1640000054.0,1.13017,1.13025
EUR_USD,1640000055.0,1.13016,1.13024
EUR_USD,1640000056.0,1.13016,1.13024
EUR_USD,1640000057.0,1.13017,1.13025
EUR_USD,1640000058.0,1.13021,1.13029
EUR_USD,1640000059.0,1.13023,1.13031
EUR_USD,1640000060.0,1.13034,1.13042
EUR_USD,1640000061.0,1.13034,1.13042
EUR_USD,1640000062.0,1.13037,1.13045
EUR_USD,1640000063.0,1.13034,1.13042
EUR_USD,1640000064.0,1.13032,1.1304
EUR_USD,1640000065.0,1.13032,1.1304
EUR_USD,1640000066.0,1.13042,1.1305
EUR_USD,1640000067.0,1.13046,1.13054
EUR_USD,1640000068.0,1.1305,1.13058
EUR_USD,1640000069.0,1.13037,1.13045
EUR_USD,1640000070.0,1.13043,1.13051
EUR_USD,1640000071.0,1.13051,1.13059
EUR_USD,1640000072.0,1.13064,1.13072
EUR_USD,1640000073.0,1.13068,1.13076
EUR_USD,1640000074.0,1.1307,1.13078
EUR_USD,1640000075.0,1.13071,1.13079
EUR_USD,1640000076.0,1.13054,1.13062
EUR_USD,1640000077.0,1.13055,1.13063
EUR_USD,1640000078.0,1.13061,1.13069
EUR_USD,1640000079.0,1.13067,1.13075
EUR_USD,1640000080.0,1.13062,1.1307
EUR_USD,1640000081.0,1.13057,1.13065
EUR_USD,1640000082.0,1.1306,1.13068
EUR_USD,1640000083.0,1.13069,1.13077
EUR_USD,1640000084.0,1.13083,1.13091
EUR_USD,1640000085.0,1.13077,1.13085
EUR_USD,1640000086.0,1.13079,1.13087
EUR_USD,1640000087.0,1.13081,1.13089
EUR_USD,1640000088.0,1.13092,1.131
EUR_USD,1640000089.0,1.13087,1.13095
EUR_USD,1640000090.0,1.13093,1.13101
EUR_USD,1640000091.0,1.13097,1.13105
EUR_USD,1640000092.0,1.13099,1.13107
EUR_USD,1640000093.0,1.13094,1.13102
EUR_USD,1640000094.0,1.13096,1.13104
EUR_USD,1640000095.0,1.13094,1.13102
EUR_USD,1640000096.0,1.13086,1.13094
EUR_USD,1640000097.0,1.1309,1.13098
EUR_USD,1640000098.0,1.13089,1.13097
EUR_USD,1640000099.0,1.13081,1.13089
EUR_USD,1640000100.0,1.13082,1.1309
EUR_USD,1640000101.0,1.13083,1.13091
EUR_USD,1640000102.0,1.13079,1.13087
EUR_USD,1640000103.0,1.13083,1.13091
EUR_USD,1640000104.0,1.13083,1.13091
EUR_USD,1640000105.0,1.13086,1.13094
EUR_USD,1640000106.0,1.13096,1.13104
EUR_USD,1640000107.0,1.13097,1.13105
EUR_USD,1640000108.0,1.13096,1.13104
EUR_USD,1640000109.0,1.13091,1.13099
EUR_USD,1640000110.0,1.13091,1.13099
EUR_USD,1640000111.0,1.13084,1.13092
EUR_USD,1640000112.0,1.13083,1.13091
EUR_USD,1640000113.0,1.13078,1.13086
EUR_USD,1640000114.0,1.13075,1.13083
EUR_USD,1640000115.0,1.13087,1.13095
EUR_USD,1640000116.0,1.13097,1.13105
EUR_USD,1640000117.0,1.13096,1.13104
EUR_USD,1640000118.0,1.13087,1.13095
EUR_USD,1640000119.0,1.13101,1.13109
EUR_USD,1640000120.0,1.13108,1.13116
EUR_USD,1640000121.0,1.13107,1.13115
EUR_USD,1640000122.0,1.13104,1.13112
EUR_USD,1640000123.0,1.13099,1.13107
EUR_USD,1640000124.0,1.13104,1.13112
EUR_USD,1640000125.0,1.13103,1.13111
EUR_USD,1640000126.0,1.13109,1.13117
EUR_USD,1640000127.0,1.13108,1.13116
EUR_USD,1640000128.0,1.13109,1.13117
EUR_USD,1640000129.0,1.13106,1.13114
EUR_USD,1640000130.0,1.13103,1.13111
EUR_USD,1640000131.0,1.13097,1.13105
EUR_USD,1640000132.0,1.13093,1.13101
EUR_USD,1640000133.0,1.13092,1.131
EUR_USD,1640000134.0,1.13089,1.13097
EUR_USD,1640000135.0,1.13088,1.13096
EUR_USD,1640000136.0,1.13084,1.13092
EUR_USD,1640000137.0,1.13082,1.1309
EUR_USD,1640000138.0,1.13074,1.13082
EUR_USD,1640000139.0,1.13071,1.13079
EUR_USD,1640000140.0,1.13072,1.1308
EUR_USD,1640000141.0,1.13074,1.13082
EUR_USD,1640000142.0,1.13067,1.13075
EUR_USD,1640000143.0,1.13062,1.1307
EUR_USD,1640000144.0,1.13069,1.13077
EUR_USD,1640000145.0,1.13059,1.13067
EUR_USD,1640000146.0,1.13057,1.13065
EUR_USD,1640000147.0,1.1306,1.13068
EUR_USD,1640000148.0,1.13062,1.1307
EUR_USD,1640000149.0,1.13061,1.13069
EUR_USD,1640000150.0,1.13067,1.13075
EUR_USD,1640000151.0,1.13069,1.13077
EUR_USD,1640000152.0,1.1306,1.13068
EUR_USD,1640000153.0,1.13063,1.13071
EUR_USD,1640000154.0,1.13057,1.13065
EUR_USD,1640000155.0,1.13068,1.13076
EUR_USD,1640000156.0,1.13072,1.1308
EUR_USD,1640000157.0,1.13069,1.13077
EUR_USD,1640000158.0,1.13065,1.13073
EUR_USD,1640000159.0,1.13073,1.13081
EUR_USD,1640000160.0,1.13081,1.13089
EUR_USD,1640000161.0,1.13092,1.131
EUR_USD,1640000162.0,1.1309,1.13098
EUR_USD,1640000163.0,1.13095,1.13103
EUR_USD,1640000164.0,1.13093,1.13101
EUR_USD,1640000165.0,1.13093,1.13101
EUR_USD,1640000166.0,1.13101,1.13109
EUR_USD,1640000167.0,1.13103,1.13111
EUR_USD,1640000168.0,1.13113,1.13121
EUR_USD,1640000169.0,1.13104,1.13112
EUR_USD,1640000170.0,1.13101,1.13109
EUR_USD,1640000171.0,1.13096,1.13104
EUR_USD,1640000172.0,1.13096,1.13104
EUR_USD,1640000173.0,1.131,1.13108
EUR_USD,1640000174.0,1.13095,1.13103
EUR_USD,1640000175.0,1.13106,1.13114
EUR_USD,1640000176.0,1.13108,1.13116
EUR_USD,1640000177.0,1.13111,1.13119
EUR_USD,1640000178.0,1.13111,1.13119
EUR_USD,1640000179.0,1.13122,1.1313
EUR_USD,1640000180.0,1.13131,1.13139
EUR_USD,1640000181.0,1.13137,1.13145
EUR_USD,1640000182.0,1.13138,1.13146
EUR_USD,1640000183.0,1.13138,1.13146
EUR_USD,1640000184.0,1.13135,1.13143
EUR_USD,1640000185.0,1.13148,1.13156
EUR_USD,1640000186.0,1.13149,1.13157
EUR_USD,1640000187.0,1.13149,1.13157
EUR_USD,1640000188.0,1.13155,1.13163
EUR_USD,1640000189.0,1.13162,1.1317
EUR_USD,1640000190.0,1.1316,1.13168
EUR_USD,1640000191.0,1.13165,1.13173
EUR_USD,1640000192.0,1.1316,1.13168
EUR_USD,1640000193.0,1.13166,1.13174
EUR_USD,1640000194.0,1.13167,1.13175
EUR_USD,1640000195.0,1.13165,1.13173
EUR_USD,1640000196.0,1.13161,1.13169
EUR_USD,1640000197.0,1.13167,1.13175
EUR_USD,1640000198.0,1.13175,1.13183
EUR_USD,1640000199.0,1.1317,1.13178
EUR_USD,1640000200.0,1.13173,1.13181
EUR_USD,1640000201.0,1.13167,1.13175
EUR_USD,1640000202.0,1.1317,1.13178
EUR_USD,1640000203.0,1.13178,1.13186
EUR_USD,1640000204.0,1.13182,1.1319
EUR_USD,1640000205.0,1.13182,1.1319
EUR_USD,1640000206.0,1.1318,1.13188
EUR_USD,1640000207.0,1.1319,1.13198
EUR_USD,1640000208.0,1.13199,1.13207
EUR_USD,1640000209.0,1.13198,1.13206
EUR_USD,1640000210.0,1.13197,1.13205
EUR_USD,1640000211.0,1.13189,1.13197
EUR_USD,1640000212.0,1.13188,1.13196
EUR_USD,1640000213.0,1.13189,1.13197
EUR_USD,1640000214.0,1.13194,1.13202
EUR_USD,1640000215.0,1.13195,1.13203
EUR_USD,1640000216.0,1.13201,1.13209
EUR_USD,1640000217.0,1.13196,1.13204
EUR_USD,1640000218.0,1.13198,1.13206
EUR_USD,1640000219.0,1.13196,1.13204
EUR_USD,1640000220.0,1.13196,1.13204
