instrument,ts,bid,ask
EUR_USD,1640000000.0,1.08001,1.08009
EUR_USD,1640000001.0,1.08001,1.08009
EUR_USD,1640000002.0,1.08003,1.08011
EUR_USD,1640000003.0,1.08005,1.08013
EUR_USD,1640000004.0,1.08011,1.08019
EUR_USD,1640000005.0,1.08013,1.08021
EUR_USD,1640000006.0,1.0801,1.08018
EUR_USD,1640000007.0,1.0801,1.08018
EUR_USD,1640000008.0,1.08015,1.08023
EUR_USD,1640000009.0,1.08016,1.08024
EUR_USD,1640000010.0,1.08021,1.08029
EUR_USD,1640000011.0,1.08018,1.08026
EUR_USD,1640000012.0,1.08018,1.08026
EUR_USD,1640000013.0,1.08019,1.08027
EUR_USD,1640000014.0,1.08024,1.08032
EUR_USD,1640000015.0,1.08025,1.08033
EUR_USD,1640000016.0,1.08029,1.08037
EUR_USD,1640000017.0,1.08026,1.08034
EUR_USD,1640000018.0,1.08031,1.08039
EUR_USD,1640000019.0,1.08034,1.08042
EUR_USD,1640000020.0,1.08041,1.08049
EUR_USD,1640000021.0,1.0804,1.08048
EUR_USD,1640000022.0,1.08041,1.08049
EUR_USD,1640000023.0,1.08038,1.08046
EUR_USD,1640000024.0,1.08041,1.08049
EUR_USD,1640000025.0,1.08042,1.0805
EUR_USD,1640000026.0,1.08043,1.08051
EUR_USD,1640000027.0,1.08046,1.08054
EUR_USD,1640000028.0,1.08053,1.08061
EUR_USD,1640000029.0,1.08052,1.0806
EUR_USD,1640000030.0,1.08052,1.0806
EUR_USD,1640000031.0,1.08054,1.08062
EUR_USD,1640000032.0,1.08057,1.08065
EUR_USD,1640000033.0,1.08055,1.08063
EUR_USD,1640000034.0,1.08058,1.08066
EUR_USD,1640000035.0,1.08062,1.0807
EUR_USD,1640000036.0,1.08064,1.08072
EUR_USD,1640000037.0,1.08066,1.08074
EUR_USD,1640000038.0,1.08065,1.08073
EUR_USD,1640000039.0,1.08062,1.0807
EUR_USD,1640000040.0,1.08062,1.0807
EUR_USD,1640000041.0,1.08061,1.08069
EUR_USD,1640000042.0,1.08062,1.0807
EUR_USD,1640000043.0,1.08058,1.08066
EUR_USD,1640000044.0,1.08055,1.08063
EUR_USD,1640000045.0,1.08058,1.08066
EUR_USD,1640000046.0,1.0806,1.08068
EUR_USD,1640000047.0,1.08059,1.08067
EUR_USD,1640000048.0,1.08059,1.08067
EUR_USD,1640000049.0,1.08057,1.08065
EUR_USD,1640000050.0,1.08057,1.08065
EUR_USD,1640000051.0,1.08059,1.08067
EUR_USD,1640000052.0,1.08062,1.0807
EUR_USD,1640000053.0,1.08063,1.08071
EUR_USD,1640000054.0,1.08063,1.08071
EUR_USD,1640000055.0,1.08062,1.0807
EUR_USD,1640000056.0,1.08062,1.0807
EUR_USD,1640000057.0,1.08068,1.08076
EUR_USD,1640000058.0,1.08071,1.08079
EUR_USD,1640000059.0,1.08074,1.08082
EUR_USD,1640000060.0,1.08072,1.0808
EUR_USD,1640000061.0,1.0807,1.08078
EUR_USD,1640000062.0,1.08071,1.08079
EUR_USD,1640000063.0,1.0807,1.08078
EUR_USD,1640000064.0,1.08066,1.08074
EUR_USD,1640000065.0,1.08064,1.08072
EUR_USD,1640000066.0,1.0807,1.08078
EUR_USD,1640000067.0,1.0807,1.08078
EUR_USD,1640000068.0,1.08069,1.08077
EUR_USD,1640000069.0,1.08066,1.08074
EUR_USD,1640000070.0,1.08067,1.08075
EUR_USD,1640000071.0,1.08071,1.08079
EUR_USD,1640000072.0,1.08069,1.08077
EUR_USD,1640000073.0,1.08064,1.08072
EUR_USD,1640000074.0,1.08057,1.08065
EUR_USD,1640000075.0,1.08061,1.08069
EUR_USD,1640000076.0,1.08066,1.08074
EUR_USD,1640000077.0,1.08062,1.0807
EUR_USD,1640000078.0,1.08064,1.08072
EUR_USD,1640000079.0,1.08065,1.08073
EUR_USD,1640000080.0,1.08062,1.0807
EUR_USD,1640000081.0,1.08065,1.08073
EUR_USD,1640000082.0,1.08063,1.08071
EUR_USD,1640000083.0,1.08065,1.08073
EUR_USD,1640000084.0,1.08066,1.08074
EUR_USD,1640000085.0,1.0807,1.08078
EUR_USD,1640000086.0,1.08067,1.08075
EUR_USD,1640000087.0,1.08067,1.08075
EUR_USD,1640000088.0,1.08068,1.08076
EUR_USD,1640000089.0,1.08069,1.08077
EUR_USD,1640000090.0,1.08073,1.08081
EUR_USD,1640000091.0,1.08077,1.08085
EUR_USD,1640000092.0,1.08079,1.08087
EUR_USD,1640000093.0,1.08084,1.08092
EUR_USD,1640000094.0,1.08079,1.08087
EUR_USD,1640000095.0,1.08077,1.08085
EUR_USD,1640000096.0,1.08081,1.08089
EUR_USD,1640000097.0,1.08083,1.08091
EUR_USD,1640000098.0,1.08083,1.08091
EUR_USD,1640000099.0,1.08088,1.08096
EUR_USD,1640000100.0,1.08097,1.08105
EUR_USD,1640000101.0,1.08092,1.081
EUR_USD,1640000102.0,1.08091,1.08099
EUR_USD,1640000103.0,1.08097,1.08105
EUR_USD,1640000104.0,1.08099,1.08107
EUR_USD,1640000105.0,1.08103,1.08111
EUR_USD,1640000106.0,1.08107,1.08115
EUR_USD,1640000107.0,1.08104,1.08112
EUR_USD,1640000108.0,1.08108,1.08116
EUR_USD,1640000109.0,1.08103,1.08111
EUR_USD,1640000110.0,1.08101,1.08109
EUR_USD,1640000111.0,1.08106,1.08114
EUR_USD,1640000112.0,1.08103,1.08111
EUR_USD,1640000113.0,1.08108,1.08116
EUR_USD,1640000114.0,1.08113,1.08121
EUR_USD,1640000115.0,1.08121,1.08129
EUR_USD,1640000116.0,1.08123,1.08131
EUR_USD,1640000117.0,1.08122,1.0813
EUR_USD,1640000118.0,1.08122,1.0813
EUR_USD,1640000119.0,1.08126,1.08134
EUR_USD,1640000120.0,1.08127,1.08135
EUR_USD,1640000121.0,1.08124,1.08132
EUR_USD,1640000122.0,1.08126,1.08134
EUR_USD,1640000123.0,1.08127,1.08135
EUR_USD,1640000124.0,1.08122,1.0813
EUR_USD,1640000125.0,1.08121,1.08129
EUR_USD,1640000126.0,1.08123,1.08131
EUR_USD,1640000127.0,1.08121,1.08129
EUR_USD,1640000128.0,1.08119,1.08127
EUR_USD,1640000129.0,1.0812,1.08128
EUR_USD,1640000130.0,1.08123,1.08131
EUR_USD,1640000131.0,1.08121,1.08129
EUR_USD,1640000132.0,1.08121,1.08129
EUR_USD,1640000133.0,1.08123,1.08131
EUR_USD,1640000134.0,1.08125,1.08133
EUR_USD,1640000135.0,1.08119,1.08127
EUR_USD,1640000136.0,1.08126,1.08134
EUR_USD,1640000137.0,1.08125,1.08133
EUR_USD,1640000138.0,1.08128,1.08136
EUR_USD,1640000139.0,1.08135,1.08143
EUR_USD,1640000140.0,1.08135,1.08143
EUR_USD,1640000141.0,1.08138,1.08146
EUR_USD,1640000142.0,1.08144,1.08152
EUR_USD,1640000143.0,1.08141,1.08149
EUR_USD,1640000144.0,1.08142,1.0815
EUR_USD,1640000145.0,1.08146,1.08154
EUR_USD,1640000146.0,1.08147,1.08155
EUR_USD,1640000147.0,1.08147,1.08155
EUR_USD,1640000148.0,1.08145,1.08153
EUR_USD,1640000149.0,1.0815,1.08158
EUR_USD,1640000150.0,1.08152,1.0816
EUR_USD,1640000151.0,1.0815,1.08158
EUR_USD,1640000152.0,1.08155,1.08163
EUR_USD,1640000153.0,1.08157,1.08165
EUR_USD,1640000154.0,1.08157,1.08165
EUR_USD,1640000155.0,1.08155,1.08163
EUR_USD,1640000156.0,1.08157,1.08165
EUR_USD,1640000157.0,1.08159,1.08167
EUR_USD,1640000158.0,1.08162,1.0817
EUR_USD,1640000159.0,1.08163,1.08171
EUR_USD,1640000160.0,1.08171,1.08179
EUR_USD,1640000161.0,1.08167,1.08175
EUR_USD,1640000162.0,1.08166,1.08174
EUR_USD,1640000163.0,1.08171,1.08179
EUR_USD,1640000164.0,1.08171,1.08179
EUR_USD,1640000165.0,1.08172,1.0818
EUR_USD,1640000166.0,1.08175,1.08183
EUR_USD,1640000167.0,1.08179,1.08187
EUR_USD,1640000168.0,1.08183,1.08191
EUR_USD,1640000169.0,1.08188,1.08196
EUR_USD,1640000170.0,1.08186,1.08194
EUR_USD,1640000171.0,1.08181,1.08189
EUR_USD,1640000172.0,1.08185,1.08193
EUR_USD,1640000173.0,1.08187,1.08195
EUR_USD,1640000174.0,1.08188,1.08196
EUR_USD,1640000175.0,1.0819,1.08198
EUR_USD,1640000176.0,1.08191,1.08199
EUR_USD,1640000177.0,1.08193,1.08201
EUR_USD,1640000178.0,1.08197,1.08205
EUR_USD,1640000179.0,1.08205,1.08213
EUR_USD,1640000180.0,1.08208,1.08216
EUR_USD,1640000181.0,1.08205,1.08213
EUR_USD,1640000182.0,1.0821,1.08218
EUR_USD,1640000183.0,1.08207,1.08215
