cluster_id,pair,direction,entry_window_start,entry_window_end,valid_entry_timestamps,valid_entry_states,avg_valid_speed,avg_valid_efficiency,stop_limit_pips,member_opportunities,session
EUR_USD_LONG_0001,EUR_USD,LONG,2024-01-15T08:00:00+00:00,2024-01-15T08:22:00+00:00,2024-01-15T08:00:00+00:00|2024-01-15T08:01:00+00:00|2024-01-15T08:02:00+00:00|2024-01-15T08:03:00+00:00|2024-01-15T08:04:00+00:00|2024-01-15T08:05:00+00:00|2024-01-15T08:06:00+00:00|2024-01-15T08:07:00+00:00|2024-01-15T08:08:00+00:00|2024-01-15T08:16:00+00:00|2024-01-15T08:17:00+00:00|2024-01-15T08:18:00+00:00|2024-01-15T08:19:00+00:00|2024-01-15T08:20:00+00:00|2024-01-15T08:22:00+00:00,15,0.660317,0.645227,2.5,15,london
EUR_USD_LONG_0002,EUR_USD,LONG,2024-01-15T09:16:00+00:00,2024-01-15T09:25:00+00:00,2024-01-15T09:16:00+00:00|2024-01-15T09:17:00+00:00|2024-01-15T09:18:00+00:00|2024-01-15T09:19:00+00:00|2024-01-15T09:20:00+00:00|2024-01-15T09:25:00+00:00,6,0.259414,0.417268,2.5,6,london
EUR_USD_LONG_0003,EUR_USD,LONG,2024-01-15T09:38:00+00:00,2024-01-15T09:52:00+00:00,2024-01-15T09:38:00+00:00|2024-01-15T09:47:00+00:00|2024-01-15T09:48:00+00:00|2024-01-15T09:51:00+00:00|2024-01-15T09:52:00+00:00,5,0.642507,0.708415,2.5,5,london
EUR_USD_LONG_0004,EUR_USD,LONG,2024-01-15T10:17:00+00:00,2024-01-15T12:12:00+00:00,2024-01-15T10:17:00+00:00|2024-01-15T10:18:00+00:00|2024-01-15T10:19:00+00:00|2024-01-15T10:20:00+00:00|2024-01-15T10:21:00+00:00|2024-01-15T10:22:00+00:00|2024-01-15T10:23:00+00:00|2024-01-15T10:24:00+00:00|2024-01-15T10:25:00+00:00|2024-01-15T10:26:00+00:00|2024-01-15T10:27:00+00:00|2024-01-15T10:28:00+00:00|2024-01-15T10:29:00+00:00|2024-01-15T10:31:00+00:00|2024-01-15T10:32:00+00:00|2024-01-15T10:34:00+00:00|2024-01-15T10:35:00+00:00|2024-01-15T10:36:00+00:00|2024-01-15T10:37:00+00:00|2024-01-15T10:38:00+00:00|2024-01-15T10:39:00+00:00|2024-01-15T10:40:00+00:00|2024-01-15T10:41:00+00:00|2024-01-15T10:42:00+00:00|2024-01-15T10:43:00+00:00|2024-01-15T10:44:00+00:00|2024-01-15T10:45:00+00:00|2024-01-15T10:46:00+00:00|2024-01-15T10:47:00+00:00|2024-01-15T10:48:00+00:00|2024-01-15T10:49:00+00:00|2024-01-15T10:50:00+00:00|2024-01-15T10:51:00+00:00|2024-01-15T10:52:00+00:00|2024-01-15T10:53:00+00:00|2024-01-15T10:54:00+00:00|2024-01-15T10:55:00+00:00|2024-01-15T10:56:00+00:00|2024-01-15T10:57:00+00:00|2024-01-15T10:58:00+00:00|2024-01-15T10:59:00+00:00|2024-01-15T11:00:00+00:00|2024-01-15T11:01:00+00:00|2024-01-15T11:02:00+00:00|2024-01-15T11:03:00+00:00|2024-01-15T11:04:00+00:00|2024-01-15T11:05:00+00:00|2024-01-15T11:06:00+00:00|2024-01-15T11:07:00+00:00|2024-01-15T11:08:00+00:00|2024-01-15T11:09:00+00:00|2024-01-15T11:10:00+00:00|2024-01-15T11:11:00+00:00|2024-01-15T11:12:00+00:00|2024-01-15T11:13:00+00:00|2024-01-15T11:14:00+00:00|2024-01-15T11:15:00+00:00|2024-01-15T11:16:00+00:00|2024-01-15T11:17:00+00:00|2024-01-15T11:18:00+00:00|2024-01-15T11:19:00+00:00|2024-01-15T11:20:00+00:00|2024-01-15T11:21:00+00:00|2024-01-15T11:22:00+00:00|2024-01-15T11:23:00+00:00|2024-01-15T11:24:00+00:00|2024-01-15T11:25:00+00:00|2024-01-15T11:26:00+00:00|2024-01-15T11:27:00+00:00|2024-01-15T11:28:00+00:00|2024-01-15T11:30:00+00:00|2024-01-15T11:33:00+00:00|2024-01-15T11:34:00+00:00|2024-01-15T11:35:00+00:00|2024-01-15T11:36:00+00:00|2024-01-15T11:45:00+00:00|2024-01-15T11:46:00+00:00|2024-01-15T11:51:00+00:00|2024-01-15T11:52:00+00:00|2024-01-15T11:53:00+00:00|2024-01-15T11:54:00+00:00|2024-01-15T11:55:00+00:00|2024-01-15T11:56:00+00:00|2024-01-15T11:57:00+00:00|2024-01-15T11:58:00+00:00|2024-01-15T11:59:00+00:00|2024-01-15T12:00:00+00:00|2024-01-15T12:01:00+00:00|2024-01-15T12:02:00+00:00|2024-01-15T12:03:00+00:00|2024-01-15T12:04:00+00:00|2024-01-15T12:05:00+00:00|2024-01-15T12:06:00+00:00|2024-01-15T12:07:00+00:00|2024-01-15T12:08:00+00:00|2024-01-15T12:09:00+00:00|2024-01-15T12:10:00+00:00|2024-01-15T12:11:00+00:00|2024-01-15T12:12:00+00:00,99,0.456401,0.564905,2.5,99,london
EUR_USD_LONG_0005,EUR_USD,LONG,2024-01-15T12:30:00+00:00,2024-01-15T12:48:00+00:00,2024-01-15T12:30:00+00:00|2024-01-15T12:31:00+00:00|2024-01-15T12:32:00+00:00|2024-01-15T12:33:00+00:00|2024-01-15T12:35:00+00:00|2024-01-15T12:37:00+00:00|2024-01-15T12:38:00+00:00|2024-01-15T12:39:00+00:00|2024-01-15T12:40:00+00:00|2024-01-15T12:44:00+00:00|2024-01-15T12:45:00+00:00|2024-01-15T12:46:00+00:00|2024-01-15T12:47:00+00:00|2024-01-15T12:48:00+00:00,14,1.066468,0.653482,2.5,14,london
EUR_USD_LONG_0006,EUR_USD,LONG,2024-01-15T13:09:00+00:00,2024-01-15T13:30:00+00:00,2024-01-15T13:09:00+00:00|2024-01-15T13:10:00+00:00|2024-01-15T13:12:00+00:00|2024-01-15T13:13:00+00:00|2024-01-15T13:14:00+00:00|2024-01-15T13:15:00+00:00|2024-01-15T13:16:00+00:00|2024-01-15T13:17:00+00:00|2024-01-15T13:18:00+00:00|2024-01-15T13:22:00+00:00|2024-01-15T13:23:00+00:00|2024-01-15T13:24:00+00:00|2024-01-15T13:25:00+00:00|2024-01-15T13:26:00+00:00|2024-01-15T13:27:00+00:00|2024-01-15T13:28:00+00:00|2024-01-15T13:29:00+00:00|2024-01-15T13:30:00+00:00,18,0.669855,0.576975,2.5,18,london
EUR_USD_LONG_0007,EUR_USD,LONG,2024-01-15T13:41:00+00:00,2024-01-15T13:47:00+00:00,2024-01-15T13:41:00+00:00|2024-01-15T13:47:00+00:00,2,0.4375,0.822222,2.5,2,london
EUR_USD_LONG_0008,EUR_USD,LONG,2024-01-15T14:06:00+00:00,2024-01-15T15:24:00+00:00,2024-01-15T14:06:00+00:00|2024-01-15T14:07:00+00:00|2024-01-15T14:08:00+00:00|2024-01-15T14:09:00+00:00|2024-01-15T14:10:00+00:00|2024-01-15T14:11:00+00:00|2024-01-15T14:12:00+00:00|2024-01-15T14:13:00+00:00|2024-01-15T14:14:00+00:00|2024-01-15T14:15:00+00:00|2024-01-15T14:16:00+00:00|2024-01-15T14:18:00+00:00|2024-01-15T14:19:00+00:00|2024-01-15T14:20:00+00:00|2024-01-15T14:21:00+00:00|2024-01-15T14:22:00+00:00|2024-01-15T14:23:00+00:00|2024-01-15T14:24:00+00:00|2024-01-15T14:25:00+00:00|2024-01-15T14:27:00+00:00|2024-01-15T14:28:00+00:00|2024-01-15T14:29:00+00:00|2024-01-15T14:31:00+00:00|2024-01-15T14:32:00+00:00|2024-01-15T14:33:00+00:00|2024-01-15T14:34:00+00:00|2024-01-15T14:35:00+00:00|2024-01-15T14:36:00+00:00|2024-01-15T14:37:00+00:00|2024-01-15T14:38:00+00:00|2024-01-15T14:42:00+00:00|2024-01-15T14:43:00+00:00|2024-01-15T14:44:00+00:00|2024-01-15T14:46:00+00:00|2024-01-15T14:47:00+00:00|2024-01-15T14:48:00+00:00|2024-01-15T14:49:00+00:00|2024-01-15T14:50:00+00:00|2024-01-15T14:51:00+00:00|2024-01-15T14:52:00+00:00|2024-01-15T14:53:00+00:00|2024-01-15T14:54:00+00:00|2024-01-15T14:55:00+00:00|2024-01-15T14:56:00+00:00|2024-01-15T15:01:00+00:00|2024-01-15T15:02:00+00:00|2024-01-15T15:03:00+00:00|2024-01-15T15:12:00+00:00|2024-01-15T15:13:00+00:00|2024-01-15T15:14:00+00:00|2024-01-15T15:15:00+00:00|2024-01-15T15:16:00+00:00|2024-01-15T15:17:00+00:00|2024-01-15T15:18:00+00:00|2024-01-15T15:19:00+00:00|2024-01-15T15:20:00+00:00|2024-01-15T15:21:00+00:00|2024-01-15T15:22:00+00:00|2024-01-15T15:23:00+00:00|2024-01-15T15:24:00+00:00,60,0.337153,0.412169,2.5,60,london
EUR_USD_LONG_0009,EUR_USD,LONG,2024-01-15T15:36:00+00:00,2024-01-15T16:26:00+00:00,2024-01-15T15:36:00+00:00|2024-01-15T15:37:00+00:00|2024-01-15T15:38:00+00:00|2024-01-15T15:39:00+00:00|2024-01-15T15:40:00+00:00|2024-01-15T15:41:00+00:00|2024-01-15T15:42:00+00:00|2024-01-15T15:43:00+00:00|2024-01-15T15:44:00+00:00|2024-01-15T15:45:00+00:00|2024-01-15T15:46:00+00:00|2024-01-15T15:47:00+00:00|2024-01-15T15:48:00+00:00|2024-01-15T15:49:00+00:00|2024-01-15T15:50:00+00:00|2024-01-15T15:51:00+00:00|2024-01-15T15:52:00+00:00|2024-01-15T15:53:00+00:00|2024-01-15T15:54:00+00:00|2024-01-15T15:55:00+00:00|2024-01-15T15:56:00+00:00|2024-01-15T15:59:00+00:00|2024-01-15T16:03:00+00:00|2024-01-15T16:04:00+00:00|2024-01-15T16:05:00+00:00|2024-01-15T16:06:00+00:00|2024-01-15T16:07:00+00:00|2024-01-15T16:08:00+00:00|2024-01-15T16:09:00+00:00|2024-01-15T16:10:00+00:00|2024-01-15T16:11:00+00:00|2024-01-15T16:12:00+00:00|2024-01-15T16:13:00+00:00|2024-01-15T16:14:00+00:00|2024-01-15T16:15:00+00:00|2024-01-15T16:16:00+00:00|2024-01-15T16:17:00+00:00|2024-01-15T16:18:00+00:00|2024-01-15T16:19:00+00:00|2024-01-15T16:20:00+00:00|2024-01-15T16:21:00+00:00|2024-01-15T16:22:00+00:00|2024-01-15T16:23:00+00:00|2024-01-15T16:24:00+00:00|2024-01-15T16:25:00+00:00|2024-01-15T16:26:00+00:00,46,0.421665,0.530957,2.5,46,london
EUR_USD_LONG_0010,EUR_USD,LONG,2024-01-15T16:43:00+00:00,2024-01-15T16:44:00+00:00,2024-01-15T16:43:00+00:00|2024-01-15T16:44:00+00:00,2,0.5625,1.0,2.5,2,other
