instrument,ts,bid,ask
EUR_USD,1640000000.0,1.12003,1.12011
EUR_USD,1640000001.0,1.12005,1.12013
EUR_USD,1640000002.0,1.12015,1.12023
EUR_USD,1640000003.0,1.1201,1.12018
EUR_USD,1640000004.0,1.1203,1.12038
EUR_USD,1640000005.0,1.12026,1.12034
EUR_USD,1640000006.0,1.12035,1.12043
EUR_USD,1640000007.0,1.12035,1.12043
EUR_USD,1640000008.0,1.12034,1.12042
EUR_USD,1640000009.0,1.12014,1.12022
EUR_USD,1640000010.0,1.12011,1.12019
EUR_USD,1640000011.0,1.12022,1.1203
EUR_USD,1640000012.0,1.12021,1.12029
EUR_USD,1640000013.0,1.12025,1.12033
EUR_USD,1640000014.0,1.12011,1.12019
EUR_USD,1640000015.0,1.12017,1.12025
EUR_USD,1640000016.0,1.12019,1.12027
EUR_USD,1640000017.0,1.12033,1.12041
EUR_USD,1640000018.0,1.12024,1.12032
EUR_USD,1640000019.0,1.12029,1.12037
EUR_USD,1640000020.0,1.1203,1.12038
EUR_USD,1640000021.0,1.12044,1.12052
EUR_USD,1640000022.0,1.12035,1.12043
EUR_USD,1640000023.0,1.12038,1.12046
EUR_USD,1640000024.0,1.12023,1.12031
EUR_USD,1640000025.0,1.12004,1.12012
EUR_USD,1640000026.0,1.11998,1.12006
EUR_USD,1640000027.0,1.12,1.12008
EUR_USD,1640000028.0,1.12008,1.12016
EUR_USD,1640000029.0,1.12011,1.12019
EUR_USD,1640000030.0,1.12011,1.12019
EUR_USD,1640000031.0,1.12015,1.12023
EUR_USD,1640000032.0,1.12013,1.12021
EUR_USD,1640000033.0,1.12012,1.1202
EUR_USD,1640000034.0,1.12,1.12008
EUR_USD,1640000035.0,1.11998,1.12006
EUR_USD,1640000036.0,1.12005,1.12013
EUR_USD,1640000037.0,1.11999,1.12007
EUR_USD,1640000038.0,1.12007,1.12015
EUR_USD,1640000039.0,1.12031,1.12039
EUR_USD,1640000040.0,1.12039,1.12047
EUR_USD,1640000041.0,1.12037,1.12045
EUR_USD,1640000042.0,1.1206,1.12068
EUR_USD,1640000043.0,1.12065,1.12073
EUR_USD,1640000044.0,1.12055,1.12063
EUR_USD,1640000045.0,1.12073,1.12081
EUR_USD,1640000046.0,1.1207,1.12078
EUR_USD,1640000047.0,1.12067,1.12075
EUR_USD,1640000048.0,1.12075,1.12083
EUR_USD,1640000049.0,1.1208,1.12088
EUR_USD,1640000050.0,1.12087,1.12095
EUR_USD,1640000051.0,1.12089,1.12097
EUR_USD,1640000052.0,1.12098,1.12106
EUR_USD,1640000053.0,1.12102,1.1211
EUR_USD,1640000054.0,1.1212,1.12128
EUR_USD,1640000055.0,1.12132,1.1214
EUR_USD,1640000056.0,1.12137,1.12145
EUR_USD,1640000057.0,1.12127,1.12135
EUR_USD,1640000058.0,1.12133,1.12141
EUR_USD,1640000059.0,1.12136,1.12144
EUR_USD,1640000060.0,1.12153,1.12161
EUR_USD,1640000061.0,1.12162,1.1217
EUR_USD,1640000062.0,1.12172,1.1218
EUR_USD,1640000063.0,1.12183,1.12191
EUR_USD,1640000064.0,1.12191,1.12199
EUR_USD,1640000065.0,1.12178,1.12186
EUR_USD,1640000066.0,1.12178,1.12186
EUR_USD,1640000067.0,1.12192,1.122
EUR_USD,1640000068.0,1.12195,1.12203
EUR_USD,1640000069.0,1.12202,1.1221
EUR_USD,1640000070.0,1.12208,1.12216
EUR_USD,1640000071.0,1.12211,1.12219
EUR_USD,1640000072.0,1.12225,1.12233
EUR_USD,1640000073.0,1.12232,1.1224
EUR_USD,1640000074.0,1.1224,1.12248
EUR_USD,1640000075.0,1.12233,1.12241
EUR_USD,1640000076.0,1.1223,1.12238
EUR_USD,1640000077.0,1.12236,1.12244
EUR_USD,1640000078.0,1.12255,1.12263
EUR_USD,1640000079.0,1.12256,1.12264
EUR_USD,1640000080.0,1.12252,1.1226
EUR_USD,1640000081.0,1.12251,1.12259
EUR_USD,1640000082.0,1.12257,1.12265
EUR_USD,1640000083.0,1.12282,1.1229
EUR_USD,1640000084.0,1.12281,1.12289
EUR_USD,1640000085.0,1.12279,1.12287
EUR_USD,1640000086.0,1.12292,1.123
EUR_USD,1640000087.0,1.12291,1.12299
EUR_USD,1640000088.0,1.1229,1.12298
EUR_USD,1640000089.0,1.12297,1.12305
EUR_USD,1640000090.0,1.12303,1.12311
EUR_USD,1640000091.0,1.12316,1.12324
EUR_USD,1640000092.0,1.12324,1.12332
EUR_USD,1640000093.0,1.12337,1.12345
EUR_USD,1640000094.0,1.12341,1.12349
EUR_USD,1640000095.0,1.12352,1.1236
EUR_USD,1640000096.0,1.12348,1.12356
EUR_USD,1640000097.0,1.12338,1.12346
EUR_USD,1640000098.0,1.12345,1.12353
EUR_USD,1640000099.0,1.12341,1.12349
EUR_USD,1640000100.0,1.12342,1.1235
EUR_USD,1640000101.0,1.12353,1.12361
EUR_USD,1640000102.0,1.12365,1.12373
EUR_USD,1640000103.0,1.12359,1.12367
EUR_USD,1640000104.0,1.1235,1.12358
EUR_USD,1640000105.0,1.12344,1.12352
