node,candidates,signaled_trades,win_rate,avg_R,extreme_R,status,pnl_sum
GBP_JPY__monday__asia,9727,1379,0.602610587382161,0.21029731689630166,1.0,PASS,290.0
CHF_JPY__monday__london,8487,1360,0.6139705882352942,0.22794117647058823,1.0,PASS,310.0
USD_JPY__monday__asia,7396,998,0.6122244488977956,0.22845691382765532,0.0,PASS,228.0
EUR_JPY__monday__sydney,5066,645,0.6217054263565891,0.2434108527131783,0.0,PASS,157.0
EUR_JPY__monday__asia,8061,956,0.6255230125523012,0.252092050209205,1.0,PASS,241.0
GBP_CHF__monday__sydney,4099,208,0.625,0.25961538461538464,0.0,PASS,54.0
GBP_JPY__monday__sydney,5362,619,0.6413570274636511,0.2859450726978998,0.0,PASS,177.0
USD_CHF__monday__new_york,7454,680,0.6411764705882353,0.2911764705882353,0.0,PASS,198.0
EUR_GBP__monday__sydney,2841,68,0.5882352941176471,0.29411764705882354,0.0,PASS,20.0
NZD_JPY__monday__asia,7861,785,0.6471337579617834,0.2968152866242038,-1.0,PASS,233.0
GBP_JPY__monday__new_york,5186,534,0.6554307116104869,0.31273408239700373,1.0,PASS,167.0
NZD_JPY__monday__sydney,4430,409,0.6552567237163814,0.3154034229828851,0.0,PASS,129.0
AUD_JPY__monday__sydney,4946,567,0.656084656084656,0.31569664902998235,0.0,PASS,179.0
USD_JPY__monday__new_york,8202,997,0.6569709127382146,0.3159478435305918,0.0,PASS,315.0
AUD_JPY__monday__asia,6420,766,0.6579634464751958,0.3185378590078329,0.0,PASS,244.0
EUR_JPY__monday__new_york,5739,503,0.658051689860835,0.32007952286282304,0.0,PASS,161.0
GBP_CHF__monday__asia,6354,433,0.6581986143187067,0.3233256351039261,0.0,PASS,140.0
NZD_JPY__monday__london,6392,465,0.6645161290322581,0.32903225806451614,1.0,PASS,153.0
NZD_JPY__monday__new_york,6896,230,0.6652173913043479,0.33043478260869563,0.0,PASS,76.0
GBP_JPY__monday__london,6975,798,0.6654135338345865,0.3308270676691729,0.0,PASS,264.0
USD_JPY__monday__sydney,4583,551,0.676950998185118,0.35571687840290384,0.0,PASS,196.0
GBP_USD__monday__new_york,5920,610,0.680327868852459,0.36885245901639346,0.0,PASS,225.0
GBP_USD__monday__sydney,5518,505,0.6772277227722773,0.3722772277227723,0.0,PASS,188.0
GBP_USD__monday__london,6476,761,0.683311432325887,0.3731931668856767,0.0,PASS,284.0
USD_CAD__monday__sydney,3462,246,0.6829268292682927,0.37398373983739835,0.0,PASS,92.0
GBP_USD__monday__asia,6002,531,0.6911487758945386,0.3822975517890772,-1.0,PASS,203.0
AUD_CAD__monday__london,9920,739,0.6833558863328822,0.3910690121786198,0.0,PASS,289.0
EUR_CHF__monday__asia,6552,209,0.69377990430622,0.4019138755980861,0.0,PASS,84.0
EUR_USD__monday__asia,6642,508,0.687007874015748,0.4035433070866142,0.0,PASS,205.0
EUR_GBP__monday__asia,4902,157,0.6815286624203821,0.40764331210191085,0.0,PASS,64.0
AUD_JPY__monday__new_york,5125,251,0.701195219123506,0.4103585657370518,0.0,PASS,103.0
USD_CAD__monday__new_york,8874,626,0.7092651757188498,0.4217252396166134,0.0,PASS,264.0
NZD_USD__monday__sydney,3297,144,0.7083333333333334,0.4305555555555556,0.0,PASS,62.0
USD_CAD__monday__asia,6365,479,0.7098121085594989,0.4321503131524008,0.0,PASS,207.0
EUR_CHF__monday__new_york,4880,259,0.7104247104247104,0.43243243243243246,0.0,PASS,112.0
EUR_USD__monday__new_york,5961,606,0.7046204620462047,0.43564356435643564,0.0,PASS,264.0
USD_JPY__monday__london,6380,773,0.7179818887451488,0.4372574385510996,0.0,PASS,338.0
EUR_USD__monday__sydney,4524,288,0.71875,0.4409722222222222,0.0,PASS,127.0
AUD_JPY__monday__london,6499,580,0.7224137931034482,0.44482758620689655,0.0,PASS,258.0
USD_CHF__monday__london,7430,831,0.7208182912154031,0.44885679903730447,0.0,PASS,373.0
EUR_CHF__monday__sydney,3250,149,0.6912751677852349,0.44966442953020136,0.0,PASS,67.0
GBP_CHF__monday__new_york,5287,258,0.7248062015503876,0.45348837209302323,0.0,PASS,117.0
AUD_USD__monday__sydney,4519,205,0.7317073170731707,0.4634146341463415,0.0,PASS,95.0
EUR_GBP__monday__new_york,4595,248,0.7298387096774194,0.4637096774193548,0.0,PASS,115.0
EUR_USD__monday__london,7875,793,0.7313997477931904,0.46532156368221944,0.0,PASS,369.0
EUR_JPY__monday__london,5568,563,0.738898756660746,0.477797513321492,0.0,PASS,269.0
USD_CHF__monday__asia,7871,384,0.734375,0.4791666666666667,0.0,PASS,184.0
AUD_USD__monday__asia,6541,372,0.739247311827957,0.4838709677419355,0.0,PASS,180.0
USD_CAD__monday__london,7232,808,0.7413366336633663,0.48514851485148514,0.0,PASS,392.0
AUD_USD__monday__new_york,7239,224,0.7410714285714286,0.49107142857142855,0.0,PASS,110.0
GBP_CHF__monday__london,7255,755,0.7470198675496689,0.49403973509933774,0.0,PASS,373.0
NZD_USD__monday__new_york,7752,389,0.7429305912596401,0.5038560411311054,0.0,PASS,196.0
NZD_USD__monday__london,7708,480,0.76875,0.54375,0.0,PASS,261.0
EUR_CHF__monday__london,6171,481,0.7713097713097713,0.553014553014553,0.0,PASS,266.0
AUD_USD__monday__london,6643,540,0.7722222222222223,0.5537037037037037,1.0,PASS,299.0
USD_CHF__monday__sydney,5482,281,0.7793594306049823,0.5658362989323843,0.0,PASS,159.0
NZD_USD__monday__asia,4781,253,0.782608695652174,0.5810276679841897,0.0,PASS,147.0
EUR_GBP__monday__london,4818,347,0.8184438040345822,0.6368876080691642,0.0,PASS,221.0
