node,trades,avg_R,net_pnl,failure_signals
USD_CAD__monday__sydney,11,-1.0999999999999999,-47.73017760317221,Structural
NZD_USD__monday__new_york,27,-0.2481481481481482,-39.85562871300873,Structural
USD_JPY__monday__new_york,53,-0.15660377358490568,-23.219122302924525,Structural
EUR_USD__monday__new_york,28,0.11428571428571431,-18.961473948939204,Structural
NZD_USD__monday__asia,10,-0.30000000000000004,-15.441828077784647,Structural
EUR_CHF__monday__sydney,7,0.32857142857142857,-13.53018180136729,Structural
USD_CAD__monday__london,19,0.057894736842105235,-7.585558159960973,Side Bias
NZD_JPY__monday__new_york,14,0.042857142857142864,-5.128217221731636,Side Bias
EUR_USD__monday__sydney,7,0.04285714285714283,-4.904693499895885,Side Bias
EUR_JPY__monday__new_york,35,0.1571428571428572,-3.814596365968157,Structural
EUR_GBP__monday__asia,7,0.4714285714285715,-3.490537000736518,Structural
USD_CAD__monday__asia,20,0.09999999999999995,-3.108460366919246,Side Bias
EUR_CHF__monday__new_york,19,0.21578947368421061,-2.02744215321907,Structural
AUD_JPY__monday__new_york,13,-0.17692307692307702,-0.8818283937545903,Structural
GBP_USD__monday__sydney,18,-0.21111111111111117,-0.6315032277747648,Structural
EUR_CHF__monday__asia,8,0.4,-0.5098619852318187,Structural
EUR_GBP__monday__london,9,0.011111111111111096,-0.26523244481543706,Side Bias
NZD_JPY__monday__sydney,12,0.4000000000000001,1.2080963953615278,Structural
EUR_GBP__monday__new_york,8,-0.10000000000000003,6.491125564289721,Side Bias
GBP_JPY__monday__new_york,31,0.19032258064516136,6.646047251745287,Structural
EUR_GBP__monday__sydney,4,0.15,7.745658230129641,Structural
USD_JPY__monday__sydney,36,-0.10000000000000005,8.65789776060523,Structural
AUD_USD__monday__london,9,-0.4333333333333334,10.589103074566516,Structural
GBP_CHF__monday__london,19,-0.15263157894736845,12.858023291637663,Structural
EUR_USD__monday__london,8,0.65,13.770587783994223,Structural
NZD_USD__monday__london,21,0.6142857142857144,14.453976855736943,Structural
USD_CHF__monday__asia,22,0.44545454545454555,15.648657321814955,Structural
GBP_CHF__monday__new_york,37,0.008108108108108095,17.90782344310801,Side Bias
USD_CHF__monday__london,9,0.8999999999999999,19.26344385980746,Structural
NZD_JPY__monday__asia,31,0.25483870967741945,19.36120956146006,Structural
EUR_CHF__monday__london,22,0.17272727272727267,20.338041647783722,Structural
EUR_USD__monday__asia,27,0.45555555555555566,25.84436230178855,Structural
AUD_USD__monday__sydney,16,0.275,28.65193405459912,Structural
AUD_JPY__monday__london,40,-4.4408920985006264e-17,30.682171614208073,Side Bias
USD_JPY__monday__london,30,0.3333333333333334,30.971112258233667,Structural
GBP_USD__monday__london,8,0.65,31.804166990124276,Structural
USD_CHF__monday__sydney,13,0.9000000000000001,32.45651599694833,Structural
NZD_JPY__monday__london,34,0.311764705882353,33.205010344523025,Structural
EUR_JPY__monday__london,18,0.3444444444444445,35.65145766256699,Structural
AUD_USD__monday__new_york,10,0.9,37.61671566150986,Structural
GBP_JPY__monday__sydney,20,0.3,38.45269209574944,Structural
EUR_JPY__monday__sydney,10,0.7000000000000001,38.55132269705959,Structural
USD_JPY__monday__asia,79,0.08987341772151898,43.24676497988695,Structural
USD_CHF__monday__new_york,32,0.4625,55.41327829039926,Structural
GBP_JPY__monday__asia,76,0.16315789473684209,55.628743480868415,Structural
AUD_JPY__monday__sydney,30,0.5666666666666665,56.36659077311891,Structural
USD_CAD__monday__new_york,23,0.29130434782608694,60.391008693253056,Structural
GBP_USD__monday__asia,23,0.2913043478260871,63.92922089697607,Structural
GBP_CHF__monday__asia,48,0.19166666666666665,69.45545665507896,Structural
GBP_USD__monday__new_york,36,0.31666666666666665,72.00152717742246,Structural
GBP_JPY__monday__london,24,0.23333333333333336,79.04118230969218,Structural
GBP_CHF__monday__sydney,35,0.2142857142857143,84.32536764034548,Structural
AUD_JPY__monday__asia,54,0.41851851851851835,91.99910065107223,Structural
AUD_USD__monday__asia,26,0.823076923076923,103.3053221369492,Structural
EUR_JPY__monday__asia,42,0.42380952380952375,105.50733961632591,Structural
CHF_JPY__monday__london,92,0.1608695652173913,164.06672729494105,Structural
AUD_CAD__monday__london,42,0.5904761904761904,282.1506328269573,Structural
