node,trades,win_rate,avg_R,net_pnl,max_dd
AUD_CAD__monday__london,106,0.6132075471698113,0.24528301886792453,29355.667319597793,0.0
AUD_JPY__monday__asia,122,0.6311475409836066,0.27049180327868855,21312.01591397467,0.0
AUD_JPY__monday__london,117,0.6153846153846154,0.23076923076923078,15549.770396847714,0.0
AUD_JPY__monday__new_york,68,0.6029411764705882,0.20588235294117646,17360.676908857706,0.0
AUD_JPY__monday__sydney,107,0.6074766355140186,0.22429906542056074,-4602.904800882081,0.0
AUD_USD__monday__asia,74,0.7027027027027027,0.4189189189189189,25344.267985099294,0.0
AUD_USD__monday__london,84,0.6071428571428571,0.2261904761904762,12860.293121730538,0.0
AUD_USD__monday__new_york,48,0.625,0.2708333333333333,1326.6908127744764,0.0
AUD_USD__monday__sydney,50,0.6,0.2,8637.92283993277,0.0
CHF_JPY__monday__london,182,0.554945054945055,0.10989010989010989,1236.2930342253876,0.0
EUR_CHF__monday__asia,67,0.6417910447761194,0.31343283582089554,16364.436678962978,0.0
EUR_CHF__monday__london,86,0.6627906976744186,0.3488372093023256,27809.369736614095,0.0
EUR_CHF__monday__new_york,43,0.5813953488372093,0.16279069767441862,3064.2535505414016,0.0
EUR_CHF__monday__sydney,34,0.6176470588235294,0.3235294117647059,-433.95892559119056,0.0
EUR_GBP__monday__asia,44,0.5681818181818182,0.1590909090909091,7678.430990958128,0.0
EUR_GBP__monday__london,62,0.6612903225806451,0.3225806451612903,11234.002884473952,0.0
EUR_GBP__monday__new_york,52,0.6346153846153846,0.2692307692307692,20671.91992761977,0.0
EUR_GBP__monday__sydney,29,0.6206896551724138,0.3448275862068966,7856.4571503656125,0.0
EUR_JPY__monday__asia,144,0.5555555555555556,0.1111111111111111,2869.7665970931266,0.0
EUR_JPY__monday__london,110,0.6545454545454545,0.3090909090909091,23083.825113927145,0.0
EUR_JPY__monday__new_york,87,0.5747126436781609,0.14942528735632185,472.03715376096807,0.0
EUR_JPY__monday__sydney,97,0.5773195876288659,0.15463917525773196,8961.97002987178,0.0
EUR_USD__monday__asia,94,0.6170212765957447,0.2553191489361702,7995.674078867463,0.0
EUR_USD__monday__london,116,0.6551724137931034,0.3103448275862069,21973.647545251388,0.0
EUR_USD__monday__new_york,95,0.631578947368421,0.30526315789473685,9043.529474799798,0.0
EUR_USD__monday__sydney,53,0.6037735849056604,0.20754716981132076,4662.4404553507575,0.0
GBP_CHF__monday__asia,76,0.6052631578947368,0.21052631578947367,23882.72496266564,0.0
GBP_CHF__monday__london,115,0.6956521739130435,0.391304347826087,39526.14335272663,0.0
GBP_CHF__monday__new_york,62,0.6451612903225806,0.3064516129032258,19463.469692651146,0.0
GBP_CHF__monday__sydney,49,0.5918367346938775,0.20408163265306123,9561.690189793739,0.0
GBP_JPY__monday__asia,166,0.5662650602409639,0.14457831325301204,15856.556818712863,0.0
GBP_JPY__monday__london,128,0.640625,0.28125,31436.473455918433,0.0
GBP_JPY__monday__new_york,101,0.6237623762376238,0.24752475247524752,26320.766401910085,0.0
GBP_JPY__monday__sydney,98,0.6938775510204082,0.3877551020408163,29813.276469249577,0.0
GBP_USD__monday__asia,103,0.5825242718446602,0.1650485436893204,-1941.5322332748774,0.0
GBP_USD__monday__london,120,0.5833333333333334,0.16666666666666666,9814.164107576727,0.0
GBP_USD__monday__new_york,88,0.6477272727272727,0.29545454545454547,38005.49312510023,0.0
GBP_USD__monday__sydney,79,0.6329113924050633,0.26582278481012656,8505.632641751265,0.0
NZD_JPY__monday__asia,134,0.6194029850746269,0.23880597014925373,13397.382866053995,0.0
NZD_JPY__monday__london,102,0.5294117647058824,0.058823529411764705,4098.4549612063765,0.0
NZD_JPY__monday__new_york,70,0.5571428571428572,0.11428571428571428,10521.26074569689,0.0
NZD_JPY__monday__sydney,84,0.5714285714285714,0.15476190476190477,-3753.0066378162473,0.0
NZD_USD__monday__asia,56,0.7142857142857143,0.42857142857142855,16998.86823877407,0.0
NZD_USD__monday__london,92,0.6195652173913043,0.2608695652173913,11896.955225276417,0.0
NZD_USD__monday__new_york,87,0.6206896551724138,0.28735632183908044,16384.510005472745,0.0
NZD_USD__monday__sydney,41,0.6097560975609756,0.24390243902439024,-1935.042099665452,0.0
USD_CAD__monday__asia,84,0.6547619047619048,0.32142857142857145,23393.020141829686,0.0
USD_CAD__monday__london,109,0.5963302752293578,0.2018348623853211,17979.71336858046,0.0
USD_CAD__monday__new_york,104,0.6442307692307693,0.28846153846153844,29063.04169515586,0.0
USD_CAD__monday__sydney,47,0.5319148936170213,0.0851063829787234,-7840.419231632313,0.0
USD_CHF__monday__asia,79,0.6455696202531646,0.2911392405063291,14850.208359345335,0.0
USD_CHF__monday__london,114,0.6754385964912281,0.35964912280701755,1903.7449453814697,0.0
USD_CHF__monday__new_york,111,0.5675675675675675,0.16216216216216217,-4537.222974678414,0.0
USD_CHF__monday__sydney,51,0.6666666666666666,0.35294117647058826,12818.100445324006,0.0
USD_JPY__monday__asia,152,0.5394736842105263,0.07894736842105263,19628.32391719442,0.0
USD_JPY__monday__london,118,0.6610169491525424,0.3220338983050847,8705.091502949912,0.0
USD_JPY__monday__new_york,132,0.6060606060606061,0.2196969696969697,16921.61097616094,0.0
USD_JPY__monday__sydney,98,0.6224489795918368,0.24489795918367346,31675.884383756784,0.0
