Pair,Weekday,Session,Node Name,Raw Obs,Clusters,Entry States,Selected Trades,Cluster Collapse Ratio,Entry From Cluster Ratio,Selection Ratio,End-to-End Collapse,Issues
GBP_CHF,thursday,sydney,GBP_CHF__thursday__sydney,5106,,,0,,,,,None
GBP_CHF,thursday,asia,GBP_CHF__thursday__asia,4735,,,0,,,,,None
GBP_CHF,thursday,london,GBP_CHF__thursday__london,7908,,,0,,,,,None
GBP_CHF,thursday,new_york,GBP_CHF__thursday__new_york,7851,,,0,,,,,None
EUR_GBP,thursday,sydney,EUR_GBP__thursday__sydney,3434,,,0,,,,,None
EUR_GBP,thursday,asia,EUR_GBP__thursday__asia,4564,,,0,,,,,None
EUR_GBP,thursday,london,EUR_GBP__thursday__london,6072,,,0,,,,,None
EUR_GBP,thursday,new_york,EUR_GBP__thursday__new_york,5603,,,0,,,,,None
USD_JPY,thursday,sydney,USD_JPY__thursday__sydney,5861,,,0,,,,,None
USD_JPY,thursday,asia,USD_JPY__thursday__asia,7696,,,0,,,,,None
USD_JPY,thursday,london,USD_JPY__thursday__london,6069,,,0,,,,,None
USD_JPY,thursday,new_york,USD_JPY__thursday__new_york,7430,,,0,,,,,None
NZD_USD,thursday,sydney,NZD_USD__thursday__sydney,6335,,,0,,,,,None
NZD_USD,thursday,asia,NZD_USD__thursday__asia,9229,,,0,,,,,None
NZD_USD,thursday,london,NZD_USD__thursday__london,7230,,,0,,,,,None
NZD_USD,thursday,new_york,NZD_USD__thursday__new_york,9653,,,0,,,,,None
