timestamp,price,session,weekday,mfe_up_pips,mfe_down_pips,tau_up_min,tau_down_min,mae_up_pips,mae_down_pips,up_exists,down_exists
2024-09-02T11:00:00.000000000Z,1.10674,new_york,monday,0.9,8.4,,14,0.0,0.9,0,1
2024-09-02T11:01:00.000000000Z,1.1068,new_york,monday,0.3,9.0,,11,0.0,0.3,0,1
2024-09-02T11:02:00.000000000Z,1.10678,new_york,monday,0.5,8.8,,10,0.0,0.5,0,1
2024-09-02T11:03:00.000000000Z,1.10672,new_york,monday,1.1,8.2,,27,0.0,1.1,0,1
2024-09-02T11:04:00.000000000Z,1.10683,new_york,monday,0.0,9.3,,7,0.0,0.0,0,1
2024-09-02T11:05:00.000000000Z,1.10674,new_york,monday,0.6,8.4,,9,0.0,0.4,0,1
2024-09-02T11:06:00.000000000Z,1.10678,new_york,monday,0.3,8.8,,6,0.0,0.0,0,1
2024-09-02T11:07:00.000000000Z,1.10674,new_york,monday,0.8,8.4,,7,0.0,0.0,0,1
2024-09-02T11:08:00.000000000Z,1.10667,new_york,monday,3.1,7.7,100,23,7.7,1.3,1,1
2024-09-02T11:09:00.000000000Z,1.10663,new_york,monday,4.1,7.3,99,22,7.3,1.7,1,1
2024-09-02T11:10:00.000000000Z,1.10664,new_york,monday,4.0,7.4,98,21,7.4,1.6,1,1
2024-09-02T11:11:00.000000000Z,1.10658,new_york,monday,5.0,6.8,97,20,6.8,2.2,1,1
2024-09-02T11:12:00.000000000Z,1.1065,new_york,monday,5.8,6.0,8,20,0.3,3.0,1,1
2024-09-02T11:13:00.000000000Z,1.1065,new_york,monday,5.8,6.0,7,19,0.3,3.0,1,1
2024-09-02T11:14:00.000000000Z,1.10647,new_york,monday,6.1,5.7,5,18,0.0,3.3,1,1
2024-09-02T11:15:00.000000000Z,1.10652,new_york,monday,5.6,6.2,5,17,0.0,2.8,1,1
2024-09-02T11:16:00.000000000Z,1.10672,new_york,monday,3.6,8.2,92,14,8.2,0.8,1,1
2024-09-02T11:17:00.000000000Z,1.10659,new_york,monday,4.9,6.9,91,14,6.9,2.1,1,1
2024-09-02T11:18:00.000000000Z,1.10667,new_york,monday,4.1,7.7,90,13,7.7,1.3,1,1
2024-09-02T11:19:00.000000000Z,1.10674,new_york,monday,3.4,8.4,90,11,8.4,0.6,1,1
2024-09-02T11:20:00.000000000Z,1.10679,new_york,monday,2.9,8.9,89,7,8.9,0.1,1,1
2024-09-02T11:21:00.000000000Z,1.10674,new_york,monday,3.4,8.4,88,9,8.4,0.6,1,1
2024-09-02T11:22:00.000000000Z,1.1068,new_york,monday,2.8,9.0,89,5,9.0,0.0,1,1
2024-09-02T11:23:00.000000000Z,1.10672,new_york,monday,3.6,8.2,85,7,8.2,0.1,1,1
2024-09-02T11:24:00.000000000Z,1.10673,new_york,monday,3.5,8.3,84,6,8.3,0.0,1,1
2024-09-02T11:25:00.000000000Z,1.10658,new_york,monday,5.2,6.8,83,6,6.8,0.0,1,1
2024-09-02T11:26:00.000000000Z,1.10657,new_york,monday,5.3,6.7,82,5,6.7,0.1,1,1
2024-09-02T11:27:00.000000000Z,1.10652,new_york,monday,5.8,6.2,79,5,6.2,0.6,1,1
2024-09-02T11:28:00.000000000Z,1.10658,new_york,monday,5.2,6.8,80,3,6.8,0.0,1,1
2024-09-02T11:29:00.000000000Z,1.10654,new_york,monday,5.6,6.4,77,3,6.4,0.0,1,1
2024-09-02T11:30:00.000000000Z,1.10643,new_york,monday,6.7,5.3,71,5,5.3,0.0,1,1
2024-09-02T11:31:00.000000000Z,1.10632,new_york,monday,7.8,4.2,69,26,4.2,1.6,1,1
2024-09-02T11:32:00.000000000Z,1.10622,new_york,monday,8.8,3.2,13,39,1.0,2.6,1,1
2024-09-02T11:33:00.000000000Z,1.10628,new_york,monday,8.2,3.8,67,24,3.8,2.0,1,1
2024-09-02T11:34:00.000000000Z,1.10624,new_york,monday,8.6,3.4,66,25,3.4,2.4,1,1
2024-09-02T11:35:00.000000000Z,1.10612,new_york,monday,9.8,2.2,9,,0.0,0.0,1,0
2024-09-02T11:36:00.000000000Z,1.10627,new_york,monday,8.3,3.7,64,21,3.7,2.1,1,1
2024-09-02T11:37:00.000000000Z,1.10634,new_york,monday,7.6,4.4,64,20,4.4,1.4,1,1
2024-09-02T11:38:00.000000000Z,1.10627,new_york,monday,8.3,3.7,62,19,3.7,2.1,1,1
2024-09-02T11:39:00.000000000Z,1.10628,new_york,monday,8.2,3.8,61,18,3.8,2.0,1,1
2024-09-02T11:40:00.000000000Z,1.10622,new_york,monday,8.8,3.2,5,31,0.2,2.6,1,1
2024-09-02T11:41:00.000000000Z,1.1062,new_york,monday,9.1,3.0,4,30,0.0,2.8,1,1
2024-09-02T11:42:00.000000000Z,1.10627,new_york,monday,8.4,3.7,58,15,3.7,2.1,1,1
2024-09-02T11:43:00.000000000Z,1.10634,new_york,monday,7.7,4.4,58,14,4.4,1.4,1,1
2024-09-02T11:44:00.000000000Z,1.10642,new_york,monday,6.9,5.2,57,8,5.2,0.6,1,1
2024-09-02T11:45:00.000000000Z,1.10648,new_york,monday,6.3,5.8,61,7,5.8,0.0,1,1
2024-09-02T11:46:00.000000000Z,1.10648,new_york,monday,6.3,5.8,60,6,5.8,0.0,1,1
2024-09-02T11:47:00.000000000Z,1.10642,new_york,monday,6.9,5.2,54,5,5.2,0.0,1,1
2024-09-02T11:48:00.000000000Z,1.10634,new_york,monday,7.7,4.4,53,9,4.4,0.4,1,1
2024-09-02T11:49:00.000000000Z,1.10637,new_york,monday,7.4,4.7,52,8,4.7,0.1,1,1
2024-09-02T11:50:00.000000000Z,1.10632,new_york,monday,7.9,4.2,50,7,4.2,0.6,1,1
2024-09-02T11:51:00.000000000Z,1.10626,new_york,monday,8.5,3.6,49,7,3.6,1.2,1,1
