instrument,ts,bid,ask
EUR_USD,1640000000.0,1.0849199999999999,1.08508
GBP_USD,1640000000.1,1.2649,1.2651
USD_JPY,1640000000.2,110.485,110.515
EUR_USD,1640000004.0,1.0850352760795354,1.0851952760795356
GBP_USD,1640000004.1,1.2650210817912215,1.2652210817912215
USD_JPY,1640000004.2,110.46505535673555,110.49505535673555
EUR_USD,1640000008.0,1.0851537986441442,1.0853137986441443
GBP_USD,1640000008.1,1.2651344171339012,1.2653344171339012
USD_JPY,1640000008.2,110.44514478276986,110.47514478276986
EUR_USD,1640000012.0,1.085280103676823,1.085440103676823
GBP_USD,1640000012.1,1.2652536847575688,1.2654536847575688
USD_JPY,1640000012.2,110.42606084118962,110.45606084118963
EUR_USD,1640000016.0,1.0853954696858465,1.0855554696858467
GBP_USD,1640000016.1,1.2653858246459855,1.2655858246459855
USD_JPY,1640000016.2,110.40383076971618,110.43383076971618
EUR_USD,1640000020.0,1.0855223458401515,1.0856823458401517
GBP_USD,1640000020.1,1.265505331575405,1.265705331575405
USD_JPY,1640000020.2,110.38643726023578,110.41643726023578
EUR_USD,1640000024.0,1.0856334617204364,1.0857934617204366
GBP_USD,1640000024.1,1.2656129680499,1.2658129680499
USD_JPY,1640000024.2,110.36520407532886,110.39520407532886
EUR_USD,1640000028.0,1.0857630614939218,1.085923061493922
GBP_USD,1640000028.1,1.2657375753970324,1.2659375753970323
USD_JPY,1640000028.2,110.3439613653622,110.3739613653622
EUR_USD,1640000032.0,1.085873463131878,1.0860334631318782
GBP_USD,1640000032.1,1.2658541918387458,1.2660541918387458
USD_JPY,1640000032.2,110.32482756927276,110.35482756927276
EUR_USD,1640000036.0,1.0859983870237522,1.0861583870237523
GBP_USD,1640000036.1,1.265982074042139,1.266182074042139
USD_JPY,1640000036.2,110.30527785548799,110.33527785548799
EUR_USD,1640000040.0,1.0861197549414545,1.0862797549414547
GBP_USD,1640000040.1,1.266109092120494,1.266309092120494
USD_JPY,1640000040.2,110.28507929797394,110.31507929797394
EUR_USD,1640000044.0,1.0862398708164647,1.0863998708164648
GBP_USD,1640000044.1,1.2662288938039241,1.266428893803924
USD_JPY,1640000044.2,110.26361703592953,110.29361703592953
EUR_USD,1640000048.0,1.0863617855234313,1.0865217855234315
GBP_USD,1640000048.1,1.266338127484739,1.266538127484739
USD_JPY,1640000048.2,110.24570058749545,110.27570058749545
EUR_USD,1640000052.0,1.0864748418391337,1.0866348418391338
GBP_USD,1640000052.1,1.266461823317975,1.266661823317975
USD_JPY,1640000052.2,110.22570921399765,110.25570921399765
EUR_USD,1640000056.0,1.0866073914801133,1.0867673914801135
GBP_USD,1640000056.1,1.2665799262211654,1.2667799262211654
USD_JPY,1640000056.2,110.20648963922706,110.23648963922706
EUR_USD,1640000060.0,1.0867247664692097,1.0868847664692098
GBP_USD,1640000060.1,1.26670964651673,1.26690964651673
USD_JPY,1640000060.2,110.1839606716414,110.2139606716414
EUR_USD,1640000064.0,1.0868439960023255,1.0870039960023257
GBP_USD,1640000064.1,1.2668190466855382,1.2670190466855382
USD_JPY,1640000064.2,110.16601513069477,110.19601513069478
EUR_USD,1640000068.0,1.0869623816753888,1.087122381675389
GBP_USD,1640000068.1,1.2669366952945142,1.2671366952945142
USD_JPY,1640000068.2,110.14531867682705,110.17531867682705
EUR_USD,1640000072.0,1.0870730680971514,1.0872330680971516
GBP_USD,1640000072.1,1.267066271943756,1.267266271943756
USD_JPY,1640000072.2,110.12443683499845,110.15443683499845
EUR_USD,1640000076.0,1.0871948188335314,1.0873548188335316
GBP_USD,1640000076.1,1.2671722552327667,1.2673722552327666
USD_JPY,1640000076.2,110.10420968021198,110.13420968021198
EUR_USD,1640000080.0,1.087326245699629,1.0874862456996293
GBP_USD,1640000080.1,1.2672994020777082,1.2674994020777082
USD_JPY,1640000080.2,110.08422337946843,110.11422337946843
EUR_USD,1640000084.0,1.0874351201524635,1.0875951201524636
GBP_USD,1640000084.1,1.2674175972909356,1.2676175972909356
USD_JPY,1640000084.2,110.06588974428712,110.09588974428712
EUR_USD,1640000088.0,1.0875593297775668,1.087719329777567
GBP_USD,1640000088.1,1.2675317986728742,1.2677317986728742
USD_JPY,1640000088.2,110.04536192816624,110.07536192816625
EUR_USD,1640000092.0,1.0876863071574008,1.087846307157401
GBP_USD,1640000092.1,1.267662252397042,1.267862252397042
USD_JPY,1640000092.2,110.02595633558938,110.05595633558939
EUR_USD,1640000096.0,1.087807971693149,1.0879679716931492
GBP_USD,1640000096.1,1.2677861876845176,1.2679861876845175
USD_JPY,1640000096.2,110.00467988467096,110.03467988467096
