direction,distance,quarter,trade_count,static_win_rate,static_mean_win,static_mean_loss,static_max_win,static_max_loss,static_avg_pips,static_pph,aee_win_rate,aee_mean_win,aee_mean_loss,aee_max_win,aee_max_loss,aee_avg_pips,aee_pph,delta_pph
LONG,1.5,Q1,32,0.46875,1.5,-1.5,1.5,-1.5,-0.09375,-1.5,0.03125,0.10000000000065512,-1.5,0.10000000000065512,-1.5,-1.4499999999999795,-23.199999999999672,-21.699999999999672
LONG,1.5,Q2,40,0.7,1.5,-1.5,1.5,-1.5,0.6,12.0,0.9,10.16666666666678,-1.3250000000002,19.799999999998708,-1.5,9.017500000000082,180.35000000000164,168.35000000000164
LONG,1.5,Q3,38,0.5263157894736842,1.5,-1.5,1.5,-1.5,0.07894736842105263,1.5,0.13157894736842105,1.040000000000596,-1.5,2.80000000000058,-1.5,-1.165789473684132,-22.14999999999851,-23.64999999999851
LONG,1.5,Q4,53,0.6037735849056604,1.5,-1.5,1.5,-1.5,0.3113207547169811,8.25,0.6981132075471698,5.094594594595084,-1.459999999999949,11.000000000001009,-1.5,3.1433962264154505,83.30000000000943,75.05000000000943
LONG,2.5,Q1,22,0.5,2.372727272727273,-2.5,2.5,-2.5,-0.06363636363636363,-0.7,0.0,0.0,-2.5,-2.5,-2.5,-2.5,-27.5,-26.8
LONG,2.5,Q2,40,0.75,2.4650000000000003,-2.5,2.5,-2.5,1.2237500000000001,24.475,0.9,9.883333333333256,-2.0750000000002,20.400000000000418,-2.5,8.687499999999911,173.7499999999982,149.27499999999822
LONG,2.5,Q3,34,0.47058823529411764,2.5,-2.5,2.5,-2.5,-0.14705882352941177,-2.5,0.17647058823529413,0.9333333333338967,-2.5,2.80000000000058,-2.5,-1.8941176470587242,-32.19999999999831,-29.69999999999831
LONG,2.5,Q4,52,0.7115384615384616,2.4716216216216216,-2.4466666666666685,2.5,-2.5,1.0528846153846148,27.374999999999982,0.6923076923076923,5.233333333333694,-2.1733333333331557,11.499999999999844,-2.5,2.9961538461541477,77.90000000000784,50.52500000000785
LONG,3.5,Q1,16,0.375,3.0833333333333335,-3.5,3.5,-3.5,-1.03125,-8.25,0.0,0.0,-3.5,-3.5,-3.5,-3.5,-28.0,-19.75
LONG,3.5,Q2,39,0.7948717948717948,3.4370967741935483,-3.5,3.5,-3.5,2.014102564102564,39.275,0.9230769230769231,10.275000000000022,-2.6000000000002665,19.299999999999873,-3.5,9.284615384615384,181.04999999999998,141.77499999999998
LONG,3.5,Q3,11,0.7272727272727273,3.1875,-3.5,3.5,-3.5,1.3636363636363635,7.5,0.45454545454545453,1.040000000000596,-3.5,2.80000000000058,-3.5,-1.4363636363633654,-7.89999999999851,-15.39999999999851
LONG,3.5,Q4,35,0.7142857142857143,3.4219999999999997,-3.5,3.5,-3.5,1.4442857142857142,25.275,0.8857142857142857,6.1967741935488005,-3.5,11.699999999998933,-3.5,5.088571428571795,89.0500000000064,63.77500000000641
LONG,5.0,Q1,3,0.3333333333333333,5.0,-5.0,5.0,-5.0,-1.6666666666666667,-2.5,0.0,0.0,-4.46666666666669,-3.4000000000000696,-5.0,-4.46666666666669,-6.700000000000035,-4.200000000000035
LONG,5.0,Q2,41,0.8780487804878049,4.930555555555555,-5.0,5.0,-5.0,3.7195121951219514,76.25,0.975609756097561,9.347499999999842,-5.0,20.400000000000418,-5.0,8.997560975609602,184.44999999999683,108.19999999999683
LONG,5.0,Q3,8,0.375,3.9166666666666665,-5.0,5.0,-5.0,-1.65625,-6.625,0.25,1.100000000000545,-5.0,1.2000000000012,-5.0,-3.4749999999998638,-13.899999999999455,-7.274999999999455
LONG,5.0,Q4,37,0.8378378378378378,4.919354838709677,-5.0,5.0,-5.0,3.310810810810811,61.25,0.972972972972973,5.772222222222474,-5.0,11.699999999998933,-5.0,5.481081081081326,101.40000000000454,40.15000000000454
LONG,6.0,Q1,3,0.0,0.0,-6.0,-6.0,-6.0,-6.0,-9.0,0.0,0.0,-3.866666666666093,-3.4000000000000696,-4.199999999998649,-3.866666666666093,-5.799999999999139,3.200000000000861
LONG,6.0,Q2,40,0.95,5.897368421052631,-6.0,6.0,-6.0,5.3025,106.05,1.0,9.620000000000017,0.0,19.299999999999873,0.5000000000010552,9.620000000000017,192.40000000000035,86.35000000000035
LONG,6.0,Q3,9,0.4444444444444444,5.025,-6.0,6.0,-6.0,-1.1,-4.95,0.3333333333333333,0.6333333333330415,-3.700000000000035,1.2999999999996348,-6.0,-2.255555555555676,-10.150000000000542,-5.200000000000542
LONG,6.0,Q4,36,0.9166666666666666,5.706060606060646,-6.0,6.0,-6.0,4.7305555555555925,85.15000000000066,1.0,5.630555555555682,0.0,11.499999999999844,0.1999999999990898,5.630555555555682,101.35000000000227,16.20000000000161
LONG,7.0,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONG,7.0,Q2,40,0.975,6.87948717948718,-7.0,7.0,-7.0,6.532500000000001,130.65,0.975,9.80256410256427,-0.8000000000008001,19.799999999998708,-0.8000000000008001,9.537500000000144,190.75000000000287,60.100000000002865
LONG,7.0,Q3,9,0.4444444444444444,5.825,-7.0,7.0,-7.0,-1.2999999999999998,-5.85,0.3333333333333333,1.4666666666666532,-4.033333333333368,2.80000000000058,-7.0,-2.2000000000000277,-9.900000000000125,-4.050000000000125
LONG,7.0,Q4,35,0.9428571428571428,6.660606060606093,-4.09999999999949,7.0,-7.0,6.045714285714345,105.80000000000103,1.0,5.917142857143366,0.0,11.000000000001009,0.1999999999990898,5.917142857143366,103.55000000000891,-2.249999999992127
LONG,8.0,Q1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LONG,8.0,Q2,40,1.0,7.7750000000000155,0.0,8.0,2.5,7.7750000000000155,155.5000000000003,0.975,9.474358974358815,-0.8000000000008001,19.799999999998708,-0.8000000000008001,9.217499999999824,184.34999999999647,28.849999999996157
LONG,8.0,Q3,1,1.0,8.0,0.0,8.0,8.0,8.0,4.0,1.0,2.80000000000058,0.0,2.80000000000058,2.80000000000058,2.80000000000058,1.40000000000029,-2.59999999999971
LONG,8.0,Q4,35,0.9714285714285714,7.082352941176523,-1.9999999999997797,8.0,-1.9999999999997797,6.822857142857199,119.40000000000099,0.9714285714285714,5.838235294117755,-1.9999999999997797,11.499999999999844,-1.9999999999997797,5.614285714285826,98.25000000000195,-21.14999999999904
SHORT,1.5,Q1,27,0.7407407407407407,1.5,-1.5,1.5,-1.5,0.7222222222222222,9.75,0.9629629629629629,14.461538461539003,-1.5,25.500000000000522,-1.5,13.870370370370892,187.25000000000705,177.50000000000705
SHORT,1.5,Q2,21,0.6666666666666666,1.5,-1.5,1.5,-1.5,0.5,5.25,0.14285714285714285,1.3666666666667382,-1.4499999999999718,3.00000000000189,-1.5,-1.047619047619013,-10.999999999999638,-16.249999999999638
SHORT,1.5,Q3,33,0.6060606060606061,1.5,-1.5,1.5,-1.5,0.3181818181818182,5.25,0.6060606060606061,3.849999999999465,-1.4307692307691915,6.999999999999229,-1.5,1.769696969696661,29.199999999994905,23.949999999994905
SHORT,1.5,Q4,32,0.75,1.5,-1.3499999999999681,1.5,-1.5,0.787500000000008,12.600000000000128,0.3125,2.329999999999499,-1.4454545454545338,4.500000000000615,-1.5,-0.26562500000014855,-4.250000000002377,-16.850000000002503
SHORT,2.5,Q1,27,0.8518518518518519,2.4521739130434783,-2.5,2.5,-2.5,1.7185185185185186,23.2,0.9629629629629629,14.496153846154359,-2.5,25.500000000000522,-2.5,13.866666666667161,187.20000000000667,164.00000000000668
SHORT,2.5,Q2,17,0.8823529411764706,2.5,-2.5,2.5,-2.5,1.911764705882353,16.25,0.17647058823529413,1.3666666666667382,-2.314285714285727,3.00000000000189,-2.5,-1.664705882352939,-14.149999999999983,-30.399999999999984
SHORT,2.5,Q3,34,0.6470588235294118,2.4499999999999997,-2.5,2.5,-2.5,0.7029411764705882,11.95,0.6470588235294118,3.7090909090904804,-2.458333333333315,7.0000000000014495,-2.5,1.5323529411761996,26.049999999995393,14.099999999995394
SHORT,2.5,Q4,29,0.5862068965517241,2.376470588235138,-2.5,2.5,-2.5,0.35862068965508065,5.19999999999867,0.3103448275862069,2.755555555555351,-2.5,4.500000000000615,-2.5,-0.8689655172414429,-12.600000000000922,-17.799999999999592
SHORT,3.5,Q1,35,0.9714285714285714,3.5,-3.5,3.5,-3.5,3.3,57.75,0.9714285714285714,14.817647058824013,-3.5,25.500000000000522,-3.5,14.294285714286184,250.15000000000822,192.40000000000822
SHORT,3.5,Q2,14,0.7857142857142857,3.5,-3.5,3.5,-3.5,2.0,14.0,0.21428571428571427,1.3666666666667382,-3.0636363636363266,3.00000000000189,-3.5,-2.11428571428567,-14.79999999999969,-28.79999999999969
SHORT,3.5,Q3,39,0.6923076923076923,3.4296296296296296,-3.5,3.5,-3.5,1.2974358974358975,25.3,0.6666666666666666,3.803846153845709,-3.1615384615384055,7.0000000000014495,-3.5,1.4820512820510043,28.899999999994584,3.5999999999945835
SHORT,3.5,Q4,45,0.5777777777777777,2.873076923076739,-3.5,3.5,-3.5,0.18222222222211595,4.099999999997609,0.4,2.0166666666663087,-3.4346153846154115,4.500000000000615,-3.5,-1.1777777777779364,-26.500000000003567,-30.600000000001174
SHORT,5.0,Q1,29,0.9655172413793104,4.889285714285714,-5.0,5.0,-5.0,4.548275862068966,65.95,0.9310344827586207,19.1666666666669,-4.649999999999652,25.500000000000522,-5.0,17.524137931034723,254.1000000000035,188.1500000000035
SHORT,5.0,Q2,3,0.3333333333333333,5.0,-5.0,5.0,-5.0,-1.6666666666666667,-2.5,0.0,0.0,-4.966666666666264,-4.899999999998794,-5.0,-4.966666666666264,-7.449999999999397,-4.949999999999397
SHORT,5.0,Q3,40,0.75,4.8966666666666665,-5.0,5.0,-5.0,2.4225000000000003,48.45,0.7,3.964285714285119,-4.458333333333302,7.099999999999884,-5.0,1.4374999999995928,28.749999999991857,-19.700000000008146
SHORT,5.0,Q4,8,0.75,3.2999999999994896,-5.0,5.0,-5.0,1.2249999999996173,4.899999999998469,0.625,3.0999999999994365,-3.800000000000653,5.1000000000001044,-5.0,0.5124999999994029,2.0499999999976115,-2.8500000000008576
SHORT,6.0,Q1,41,1.0,5.904878048780487,0.0,6.0,2.1,5.904878048780487,121.05,0.975609756097561,15.410000000000533,-4.8000000000003595,25.399999999999867,-4.8000000000003595,14.917073170732221,305.8000000000105,184.75000000001052
SHORT,6.0,Q2,11,0.36363636363636365,6.0,-6.0,6.0,-6.0,-1.6363636363636365,-9.0,0.18181818181818182,1.0500000000002174,-4.155555555554973,1.900000000001345,-6.0,-3.2090909090903934,-17.649999999997164,-8.649999999997164
SHORT,6.0,Q3,38,0.7631578947368421,5.86551724137931,-6.0,6.0,-6.0,3.055263157894737,58.05,0.631578947368421,4.14583333333283,-4.135714285714718,6.999999999999229,-6.0,1.0947368421047865,20.799999999990945,-37.25000000000905
SHORT,6.0,Q4,19,0.3157894736842105,6.0,-5.330769230769357,6.0,-6.0,-1.7526315789474542,-16.650000000000816,0.10526315789473684,3.4000000000000696,-5.029411764706347,4.8000000000003595,-6.0,-4.142105263158303,-39.35000000000388,-22.700000000003065
SHORT,7.0,Q1,41,1.0,6.885365853658537,0.0,7.0,2.3000000000000003,6.885365853658537,141.15,0.975609756097561,15.2525000000005,-4.8000000000003595,25.399999999999867,-4.8000000000003595,14.763414634146823,302.65000000000987,161.50000000000986
SHORT,7.0,Q2,7,0.42857142857142855,7.0,-7.0,7.0,-7.0,-1.0,-3.5,0.2857142857142857,1.0500000000002174,-3.1599999999993855,1.900000000001345,-5.299999999999194,-1.9571428571423561,-6.849999999998246,-3.3499999999982464
SHORT,7.0,Q3,38,0.8947368421052632,6.808823529411788,-7.0,7.0,-7.0,5.355263157894757,101.75000000000038,0.7105263157894737,3.96666666666609,-5.145454545454684,7.099999999999884,-7.0,1.3289473684206028,25.249999999991452,-76.50000000000892
SHORT,7.0,Q4,18,0.2777777777777778,4.779999999999898,-6.661538461538517,7.0,-7.0,-3.483333333333402,-31.350000000000616,0.05555555555555555,3.4000000000000696,-4.6882352941177965,3.4000000000000696,-6.099999999999994,-4.238888888889027,-38.15000000000124,-6.800000000000626
SHORT,8.0,Q1,30,1.0,7.816666666666666,0.0,8.0,2.5,7.816666666666666,117.25,0.9,18.881481481481654,-5.233333333333571,25.500000000000522,-6.6000000000010495,16.470000000000134,247.050000000002,129.800000000002
SHORT,8.0,Q2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHORT,8.0,Q3,37,0.9459459459459459,7.691428571428519,-8.0,8.0,-8.0,6.843243243243194,126.59999999999908,0.7567567567567568,3.7892857142853997,-5.044444444444925,7.0000000000014495,-7.600000000000939,1.6405405405401858,30.349999999993436,-96.25000000000566
SHORT,8.0,Q4,6,0.3333333333333333,8.0,-5.949999999999787,8.0,-8.0,-1.299999999999858,-3.899999999999574,0.3333333333333333,3.6999999999998145,-4.975000000000396,5.999999999999339,-5.60000000000116,-2.083333333333659,-6.250000000000977,-2.350000000001403
