instrument,ts,bid,ask
EUR_USD,1640000000.0,1.10032,1.1004
EUR_USD,1640000001.0,1.10043,1.10051
EUR_USD,1640000002.0,1.10063,1.10071
EUR_USD,1640000003.0,1.10061,1.10069
EUR_USD,1640000004.0,1.10059,1.10067
EUR_USD,1640000005.0,1.10038,1.10046
EUR_USD,1640000006.0,1.10036,1.10044
EUR_USD,1640000007.0,1.1002,1.10028
EUR_USD,1640000008.0,1.10022,1.1003
EUR_USD,1640000009.0,1.1002,1.10028
EUR_USD,1640000010.0,1.10023,1.10031
EUR_USD,1640000011.0,1.10024,1.10032
EUR_USD,1640000012.0,1.10031,1.10039
EUR_USD,1640000013.0,1.10042,1.1005
EUR_USD,1640000014.0,1.10031,1.10039
EUR_USD,1640000015.0,1.10032,1.1004
EUR_USD,1640000016.0,1.10037,1.10045
EUR_USD,1640000017.0,1.1003,1.10038
EUR_USD,1640000018.0,1.10046,1.10054
EUR_USD,1640000019.0,1.10042,1.1005
EUR_USD,1640000020.0,1.10053,1.10061
EUR_USD,1640000021.0,1.10053,1.10061
EUR_USD,1640000022.0,1.10068,1.10076
EUR_USD,1640000023.0,1.10083,1.10091
EUR_USD,1640000024.0,1.10104,1.10112
EUR_USD,1640000025.0,1.10121,1.10129
EUR_USD,1640000026.0,1.10108,1.10116
EUR_USD,1640000027.0,1.10121,1.10129
EUR_USD,1640000028.0,1.1013,1.10138
EUR_USD,1640000029.0,1.10117,1.10125
EUR_USD,1640000030.0,1.1012,1.10128
EUR_USD,1640000031.0,1.10137,1.10145
EUR_USD,1640000032.0,1.10133,1.10141
EUR_USD,1640000033.0,1.10135,1.10143
EUR_USD,1640000034.0,1.10152,1.1016
EUR_USD,1640000035.0,1.10189,1.10197
EUR_USD,1640000036.0,1.10193,1.10201
EUR_USD,1640000037.0,1.102,1.10208
EUR_USD,1640000038.0,1.10191,1.10199
EUR_USD,1640000039.0,1.10185,1.10193
EUR_USD,1640000040.0,1.10194,1.10202
EUR_USD,1640000041.0,1.10192,1.102
EUR_USD,1640000042.0,1.10199,1.10207
EUR_USD,1640000043.0,1.10195,1.10203
EUR_USD,1640000044.0,1.10194,1.10202
EUR_USD,1640000045.0,1.102,1.10208
EUR_USD,1640000046.0,1.10187,1.10195
EUR_USD,1640000047.0,1.10193,1.10201
EUR_USD,1640000048.0,1.10203,1.10211
EUR_USD,1640000049.0,1.10211,1.10219
EUR_USD,1640000050.0,1.10218,1.10226
EUR_USD,1640000051.0,1.10236,1.10244
EUR_USD,1640000052.0,1.10229,1.10237
EUR_USD,1640000053.0,1.10228,1.10236
EUR_USD,1640000054.0,1.10223,1.10231
EUR_USD,1640000055.0,1.10215,1.10223
EUR_USD,1640000056.0,1.10223,1.10231
