instrument,ts,bid,ask
EUR_USD,1640000000.0,1.08482,1.0849
USD_JPY,1640000000.0,110.4782,110.4862
GBP_USD,1640000000.0,1.26485,1.26493
EUR_USD,1640000001.0,1.08496,1.08504
USD_JPY,1640000001.0,110.50179,110.50979
GBP_USD,1640000001.0,1.26484,1.26492
EUR_USD,1640000002.0,1.08476,1.08484
USD_JPY,1640000002.0,110.50487,110.51287
GBP_USD,1640000002.0,1.26485,1.26493
EUR_USD,1640000003.0,1.08501,1.08509
USD_JPY,1640000003.0,110.51326,110.52126
GBP_USD,1640000003.0,1.26519,1.26527
EUR_USD,1640000004.0,1.08527,1.08535
USD_JPY,1640000004.0,110.52586,110.53386
GBP_USD,1640000004.0,1.26521,1.26529
EUR_USD,1640000005.0,1.0856,1.08568
USD_JPY,1640000005.0,110.54912,110.55712
GBP_USD,1640000005.0,1.26526,1.26534
EUR_USD,1640000006.0,1.08581,1.08589
USD_JPY,1640000006.0,110.61921,110.62721
GBP_USD,1640000006.0,1.26519,1.26527
EUR_USD,1640000007.0,1.08552,1.0856
USD_JPY,1640000007.0,110.60888,110.61688
GBP_USD,1640000007.0,1.2652,1.26528
EUR_USD,1640000008.0,1.08589,1.08597
USD_JPY,1640000008.0,110.62499,110.63299
GBP_USD,1640000008.0,1.26506,1.26514
EUR_USD,1640000009.0,1.08635,1.08643
USD_JPY,1640000009.0,110.65485,110.66285
GBP_USD,1640000009.0,1.26509,1.26517
EUR_USD,1640000010.0,1.08626,1.08634
USD_JPY,1640000010.0,110.64669,110.65469
GBP_USD,1640000010.0,1.26495,1.26503
EUR_USD,1640000011.0,1.0864,1.08648
USD_JPY,1640000011.0,110.65257,110.66057
GBP_USD,1640000011.0,1.26497,1.26505
EUR_USD,1640000012.0,1.08633,1.08641
USD_JPY,1640000012.0,110.6622,110.6702
GBP_USD,1640000012.0,1.26484,1.26492
EUR_USD,1640000013.0,1.08649,1.08657
USD_JPY,1640000013.0,110.64721,110.65521
GBP_USD,1640000013.0,1.26497,1.26505
EUR_USD,1640000014.0,1.08658,1.08666
USD_JPY,1640000014.0,110.67929,110.68729
GBP_USD,1640000014.0,1.26504,1.26512
EUR_USD,1640000015.0,1.08693,1.08701
USD_JPY,1640000015.0,110.70989,110.71789
GBP_USD,1640000015.0,1.26503,1.26511
EUR_USD,1640000016.0,1.08712,1.0872
USD_JPY,1640000016.0,110.76603,110.77403
GBP_USD,1640000016.0,1.265,1.26508
EUR_USD,1640000017.0,1.08719,1.08727
USD_JPY,1640000017.0,110.78948,110.79748
GBP_USD,1640000017.0,1.26517,1.26525
EUR_USD,1640000018.0,1.08726,1.08734
USD_JPY,1640000018.0,110.78693,110.79493
GBP_USD,1640000018.0,1.26526,1.26534
EUR_USD,1640000019.0,1.08737,1.08745
