instrument,ts,bid,ask
USD_JPY,1640000000.0,110.50688,110.51488
USD_JPY,1640000001.0,110.49788,110.50588
USD_JPY,1640000002.0,110.52245,110.53045
USD_JPY,1640000003.0,110.50324,110.51124
USD_JPY,1640000004.0,110.51395,110.52195
USD_JPY,1640000005.0,110.50982,110.51782
USD_JPY,1640000006.0,110.52186,110.52986
USD_JPY,1640000007.0,110.49654,110.50454
USD_JPY,1640000008.0,110.53248,110.54048
USD_JPY,1640000009.0,110.56387,110.57187
USD_JPY,1640000010.0,110.55795,110.56595
USD_JPY,1640000011.0,110.54914,110.55714
USD_JPY,1640000012.0,110.51929,110.52729
USD_JPY,1640000013.0,110.55822,110.56622
USD_JPY,1640000014.0,110.55818,110.56618
USD_JPY,1640000015.0,110.56702,110.57502
USD_JPY,1640000016.0,110.55912,110.56712
USD_JPY,1640000017.0,110.58887,110.59687
USD_JPY,1640000018.0,110.60509,110.61309
USD_JPY,1640000019.0,110.59937,110.60737
USD_JPY,1640000020.0,110.63187,110.63987
USD_JPY,1640000021.0,110.66091,110.66891
USD_JPY,1640000022.0,110.65379,110.66179
USD_JPY,1640000023.0,110.68754,110.69554
USD_JPY,1640000024.0,110.67419,110.68219
USD_JPY,1640000025.0,110.6177,110.6257
USD_JPY,1640000026.0,110.58833,110.59633
USD_JPY,1640000027.0,110.56499,110.57299
USD_JPY,1640000028.0,110.54991,110.55791
USD_JPY,1640000029.0,110.54131,110.54931
USD_JPY,1640000030.0,110.56306,110.57106
USD_JPY,1640000031.0,110.54408,110.55208
USD_JPY,1640000032.0,110.54432,110.55232
USD_JPY,1640000033.0,110.54643,110.55443
USD_JPY,1640000034.0,110.54433,110.55233
USD_JPY,1640000035.0,110.53037,110.53837
USD_JPY,1640000036.0,110.54124,110.54924
USD_JPY,1640000037.0,110.52799,110.53599
USD_JPY,1640000038.0,110.53839,110.54639
USD_JPY,1640000039.0,110.47468,110.48268
USD_JPY,1640000040.0,110.46407,110.47207
USD_JPY,1640000041.0,110.48782,110.49582
USD_JPY,1640000042.0,110.46591,110.47391
USD_JPY,1640000043.0,110.48048,110.48848
USD_JPY,1640000044.0,110.48605,110.49405
USD_JPY,1640000045.0,110.47957,110.48757
USD_JPY,1640000046.0,110.48748,110.49548
USD_JPY,1640000047.0,110.5189,110.5269
USD_JPY,1640000048.0,110.51208,110.52008
