instrument,ts,bid,ask,mid
USD_JPY,1640000000.0,110.49564,110.50364,110.49964
USD_JPY,1640000001.0,110.48882,110.49682,110.49282
USD_JPY,1640000002.0,110.4781,110.4861,110.4821
USD_JPY,1640000003.0,110.47615,110.48415,110.48015
USD_JPY,1640000004.0,110.48647,110.49447,110.49047
USD_JPY,1640000005.0,110.48415,110.49215,110.48815
USD_JPY,1640000006.0,110.46184,110.46984,110.46584
USD_JPY,1640000007.0,110.46236,110.47036,110.46636
USD_JPY,1640000008.0,110.41294,110.42094,110.41694
USD_JPY,1640000009.0,110.39805,110.40605,110.40205
USD_JPY,1640000010.0,110.40129,110.40929,110.40529
USD_JPY,1640000011.0,110.42023,110.42823,110.42423
USD_JPY,1640000012.0,110.43995,110.44795,110.44395
USD_JPY,1640000013.0,110.45126,110.45926,110.45526
USD_JPY,1640000014.0,110.44771,110.45571,110.45171
USD_JPY,1640000015.0,110.45211,110.46011,110.45611
USD_JPY,1640000016.0,110.44372,110.45172,110.44772
USD_JPY,1640000017.0,110.43974,110.44774,110.44374
USD_JPY,1640000018.0,110.43944,110.44744,110.44344
USD_JPY,1640000019.0,110.45286,110.46086,110.45686
USD_JPY,1640000020.0,110.46308,110.47108,110.46708
USD_JPY,1640000021.0,110.472,110.48,110.476
USD_JPY,1640000022.0,110.46094,110.46894,110.46494
USD_JPY,1640000023.0,110.4628,110.4708,110.4668
USD_JPY,1640000024.0,110.47642,110.48442,110.48042
USD_JPY,1640000025.0,110.46665,110.47465,110.47065
USD_JPY,1640000026.0,110.48902,110.49702,110.49302
USD_JPY,1640000027.0,110.49166,110.49966,110.49566
USD_JPY,1640000028.0,110.50806,110.51606,110.51206
USD_JPY,1640000029.0,110.50515,110.51315,110.50915
USD_JPY,1640000030.0,110.517,110.525,110.521
USD_JPY,1640000031.0,110.54716,110.55516,110.55116
USD_JPY,1640000032.0,110.53605,110.54405,110.54005
USD_JPY,1640000033.0,110.51976,110.52776,110.52376
USD_JPY,1640000034.0,110.54611,110.55411,110.55011
USD_JPY,1640000035.0,110.53712,110.54512,110.54112
USD_JPY,1640000036.0,110.53316,110.54116,110.53716
USD_JPY,1640000037.0,110.56266,110.57066,110.56666
USD_JPY,1640000038.0,110.57454,110.58254,110.57854
USD_JPY,1640000039.0,110.56599,110.57399,110.56999
USD_JPY,1640000040.0,110.5499,110.5579,110.5539
USD_JPY,1640000041.0,110.54795,110.55595,110.55195
USD_JPY,1640000042.0,110.52106,110.52906,110.52506
