instrument,ts,bid,ask,mid
EUR_USD,1640000000.0,1.08524,1.08532,1.08528
EUR_USD,1640000001.0,1.08491,1.08499,1.08495
EUR_USD,1640000002.0,1.0847,1.08478,1.08474
EUR_USD,1640000003.0,1.08442,1.0845,1.08446
EUR_USD,1640000004.0,1.08476,1.08484,1.0848
EUR_USD,1640000005.0,1.08534,1.08542,1.08538
EUR_USD,1640000006.0,1.08548,1.08556,1.08552
EUR_USD,1640000007.0,1.08578,1.08586,1.08582
EUR_USD,1640000008.0,1.0858,1.08588,1.08584
EUR_USD,1640000009.0,1.0865,1.08658,1.08654
EUR_USD,1640000010.0,1.08618,1.08626,1.08622
EUR_USD,1640000011.0,1.08612,1.0862,1.08616
EUR_USD,1640000012.0,1.08647,1.08655,1.08651
EUR_USD,1640000013.0,1.08658,1.08666,1.08662
EUR_USD,1640000014.0,1.08677,1.08685,1.08681
EUR_USD,1640000015.0,1.08703,1.08711,1.08707
EUR_USD,1640000016.0,1.08716,1.08724,1.0872
EUR_USD,1640000017.0,1.08724,1.08732,1.08728
EUR_USD,1640000018.0,1.08691,1.08699,1.08695
EUR_USD,1640000019.0,1.0871,1.08718,1.08714
EUR_USD,1640000020.0,1.08764,1.08772,1.08768
EUR_USD,1640000021.0,1.08776,1.08784,1.0878
EUR_USD,1640000022.0,1.08817,1.08825,1.08821
EUR_USD,1640000023.0,1.08797,1.08805,1.08801
EUR_USD,1640000024.0,1.08859,1.08867,1.08863
EUR_USD,1640000025.0,1.08871,1.08879,1.08875
EUR_USD,1640000026.0,1.08888,1.08896,1.08892
EUR_USD,1640000027.0,1.08903,1.08911,1.08907
EUR_USD,1640000028.0,1.08916,1.08924,1.0892
EUR_USD,1640000029.0,1.08973,1.08981,1.08977
EUR_USD,1640000030.0,1.08989,1.08997,1.08993
EUR_USD,1640000031.0,1.09027,1.09035,1.09031
EUR_USD,1640000032.0,1.09048,1.09056,1.09052
EUR_USD,1640000033.0,1.09028,1.09036,1.09032
EUR_USD,1640000034.0,1.09041,1.09049,1.09045
EUR_USD,1640000035.0,1.09027,1.09035,1.09031
EUR_USD,1640000036.0,1.09017,1.09025,1.09021
EUR_USD,1640000037.0,1.09016,1.09024,1.0902
EUR_USD,1640000038.0,1.09055,1.09063,1.09059
EUR_USD,1640000039.0,1.09044,1.09052,1.09048
EUR_USD,1640000040.0,1.0906,1.09068,1.09064
EUR_USD,1640000041.0,1.09094,1.09102,1.09098
EUR_USD,1640000042.0,1.09084,1.09092,1.09088
EUR_USD,1640000043.0,1.09115,1.09123,1.09119
EUR_USD,1640000044.0,1.09118,1.09126,1.09122
EUR_USD,1640000045.0,1.09125,1.09133,1.09129
EUR_USD,1640000046.0,1.09143,1.09151,1.09147
EUR_USD,1640000047.0,1.09141,1.09149,1.09145
EUR_USD,1640000048.0,1.092,1.09208,1.09204
EUR_USD,1640000049.0,1.09182,1.0919,1.09186
EUR_USD,1640000050.0,1.0918,1.09188,1.09184
EUR_USD,1640000051.0,1.09188,1.09196,1.09192
EUR_USD,1640000052.0,1.09157,1.09165,1.09161
EUR_USD,1640000053.0,1.09217,1.09225,1.09221
EUR_USD,1640000054.0,1.09232,1.0924,1.09236
EUR_USD,1640000055.0,1.0921,1.09218,1.09214
EUR_USD,1640000056.0,1.09216,1.09224,1.0922
EUR_USD,1640000057.0,1.09189,1.09197,1.09193
EUR_USD,1640000058.0,1.09232,1.0924,1.09236
EUR_USD,1640000059.0,1.09223,1.09231,1.09227
EUR_USD,1640000060.0,1.09251,1.09259,1.09255
EUR_USD,1640000061.0,1.09265,1.09273,1.09269
EUR_USD,1640000062.0,1.09237,1.09245,1.09241
EUR_USD,1640000063.0,1.09268,1.09276,1.09272
EUR_USD,1640000064.0,1.09299,1.09307,1.09303
EUR_USD,1640000065.0,1.09322,1.0933,1.09326
EUR_USD,1640000066.0,1.09398,1.09406,1.09402
EUR_USD,1640000067.0,1.09429,1.09437,1.09433
EUR_USD,1640000068.0,1.09462,1.0947,1.09466
EUR_USD,1640000069.0,1.09464,1.09472,1.09468
EUR_USD,1640000070.0,1.09449,1.09457,1.09453
EUR_USD,1640000071.0,1.09443,1.09451,1.09447
EUR_USD,1640000072.0,1.09432,1.0944,1.09436
EUR_USD,1640000073.0,1.09394,1.09402,1.09398
EUR_USD,1640000074.0,1.09439,1.09447,1.09443
EUR_USD,1640000075.0,1.09451,1.09459,1.09455
EUR_USD,1640000076.0,1.09466,1.09474,1.0947
EUR_USD,1640000077.0,1.09468,1.09476,1.09472
EUR_USD,1640000078.0,1.09455,1.09463,1.09459
EUR_USD,1640000079.0,1.0949,1.09498,1.09494
EUR_USD,1640000080.0,1.09522,1.0953,1.09526
EUR_USD,1640000081.0,1.09546,1.09554,1.0955
EUR_USD,1640000082.0,1.09543,1.09551,1.09547
EUR_USD,1640000083.0,1.09553,1.09561,1.09557
EUR_USD,1640000084.0,1.09555,1.09563,1.09559
EUR_USD,1640000085.0,1.09587,1.09595,1.09591
EUR_USD,1640000086.0,1.09613,1.09621,1.09617
EUR_USD,1640000087.0,1.09609,1.09617,1.09613
EUR_USD,1640000088.0,1.09618,1.09626,1.09622
EUR_USD,1640000089.0,1.09581,1.09589,1.09585
EUR_USD,1640000090.0,1.09618,1.09626,1.09622
EUR_USD,1640000091.0,1.0961,1.09618,1.09614
EUR_USD,1640000092.0,1.09634,1.09642,1.09638
EUR_USD,1640000093.0,1.09618,1.09626,1.09622
EUR_USD,1640000094.0,1.09615,1.09623,1.09619
EUR_USD,1640000095.0,1.09628,1.09636,1.09632
EUR_USD,1640000096.0,1.09598,1.09606,1.09602
EUR_USD,1640000097.0,1.09657,1.09665,1.09661
EUR_USD,1640000098.0,1.09665,1.09673,1.09669
EUR_USD,1640000099.0,1.09675,1.09683,1.09679
EUR_USD,1640000100.0,1.09698,1.09706,1.09702
EUR_USD,1640000101.0,1.09736,1.09744,1.0974
EUR_USD,1640000102.0,1.09755,1.09763,1.09759
EUR_USD,1640000103.0,1.09723,1.09731,1.09727
EUR_USD,1640000104.0,1.09718,1.09726,1.09722
EUR_USD,1640000105.0,1.09709,1.09717,1.09713
EUR_USD,1640000106.0,1.09734,1.09742,1.09738
EUR_USD,1640000107.0,1.09728,1.09736,1.09732
EUR_USD,1640000108.0,1.09765,1.09773,1.09769
EUR_USD,1640000109.0,1.09813,1.09821,1.09817
EUR_USD,1640000110.0,1.09835,1.09843,1.09839
EUR_USD,1640000111.0,1.09823,1.09831,1.09827
EUR_USD,1640000112.0,1.09808,1.09816,1.09812
EUR_USD,1640000113.0,1.09807,1.09815,1.09811
EUR_USD,1640000114.0,1.0984,1.09848,1.09844
EUR_USD,1640000115.0,1.09857,1.09865,1.09861
EUR_USD,1640000116.0,1.09871,1.09879,1.09875
EUR_USD,1640000117.0,1.09881,1.09889,1.09885
EUR_USD,1640000118.0,1.09902,1.0991,1.09906
EUR_USD,1640000119.0,1.09894,1.09902,1.09898
EUR_USD,1640000120.0,1.09914,1.09922,1.09918
EUR_USD,1640000121.0,1.09905,1.09913,1.09909
EUR_USD,1640000122.0,1.09869,1.09877,1.09873
EUR_USD,1640000123.0,1.09883,1.09891,1.09887
EUR_USD,1640000124.0,1.09884,1.09892,1.09888
EUR_USD,1640000125.0,1.09898,1.09906,1.09902
EUR_USD,1640000126.0,1.09881,1.09889,1.09885
EUR_USD,1640000127.0,1.09852,1.0986,1.09856
EUR_USD,1640000128.0,1.09836,1.09844,1.0984
EUR_USD,1640000129.0,1.09827,1.09835,1.09831
EUR_USD,1640000130.0,1.09901,1.09909,1.09905
EUR_USD,1640000131.0,1.09909,1.09917,1.09913
EUR_USD,1640000132.0,1.0991,1.09918,1.09914
EUR_USD,1640000133.0,1.09906,1.09914,1.0991
EUR_USD,1640000134.0,1.09898,1.09906,1.09902
EUR_USD,1640000135.0,1.0989,1.09898,1.09894
EUR_USD,1640000136.0,1.0991,1.09918,1.09914
EUR_USD,1640000137.0,1.09906,1.09914,1.0991
EUR_USD,1640000138.0,1.0992,1.09928,1.09924
EUR_USD,1640000139.0,1.099,1.09908,1.09904
EUR_USD,1640000140.0,1.09929,1.09937,1.09933
EUR_USD,1640000141.0,1.09919,1.09927,1.09923
EUR_USD,1640000142.0,1.09912,1.0992,1.09916
EUR_USD,1640000143.0,1.09889,1.09897,1.09893
EUR_USD,1640000144.0,1.09897,1.09905,1.09901
EUR_USD,1640000145.0,1.09889,1.09897,1.09893
EUR_USD,1640000146.0,1.09944,1.09952,1.09948
EUR_USD,1640000147.0,1.0997,1.09978,1.09974
EUR_USD,1640000148.0,1.09982,1.0999,1.09986
EUR_USD,1640000149.0,1.09984,1.09992,1.09988
EUR_USD,1640000150.0,1.09975,1.09983,1.09979
EUR_USD,1640000151.0,1.10017,1.10025,1.10021
EUR_USD,1640000152.0,1.10015,1.10023,1.10019
EUR_USD,1640000153.0,1.10036,1.10044,1.1004
EUR_USD,1640000154.0,1.10039,1.10047,1.10043
EUR_USD,1640000155.0,1.10025,1.10033,1.10029
EUR_USD,1640000156.0,1.10022,1.1003,1.10026
EUR_USD,1640000157.0,1.09949,1.09957,1.09953
EUR_USD,1640000158.0,1.09928,1.09936,1.09932
EUR_USD,1640000159.0,1.09905,1.09913,1.09909
EUR_USD,1640000160.0,1.09925,1.09933,1.09929
EUR_USD,1640000161.0,1.09946,1.09954,1.0995
EUR_USD,1640000162.0,1.09931,1.09939,1.09935
EUR_USD,1640000163.0,1.09932,1.0994,1.09936
EUR_USD,1640000164.0,1.09938,1.09946,1.09942
EUR_USD,1640000165.0,1.09986,1.09994,1.0999
EUR_USD,1640000166.0,1.10051,1.10059,1.10055
EUR_USD,1640000167.0,1.10086,1.10094,1.1009
EUR_USD,1640000168.0,1.10089,1.10097,1.10093
EUR_USD,1640000169.0,1.10107,1.10115,1.10111
EUR_USD,1640000170.0,1.10153,1.10161,1.10157
EUR_USD,1640000171.0,1.10165,1.10173,1.10169
EUR_USD,1640000172.0,1.10166,1.10174,1.1017
EUR_USD,1640000173.0,1.10189,1.10197,1.10193
EUR_USD,1640000174.0,1.10255,1.10263,1.10259
EUR_USD,1640000175.0,1.10272,1.1028,1.10276
EUR_USD,1640000176.0,1.10329,1.10337,1.10333
EUR_USD,1640000177.0,1.10324,1.10332,1.10328
EUR_USD,1640000178.0,1.10317,1.10325,1.10321
EUR_USD,1640000179.0,1.10312,1.1032,1.10316
EUR_USD,1640000180.0,1.10316,1.10324,1.1032
EUR_USD,1640000181.0,1.10357,1.10365,1.10361
EUR_USD,1640000182.0,1.10391,1.10399,1.10395
EUR_USD,1640000183.0,1.10345,1.10353,1.10349
EUR_USD,1640000184.0,1.10363,1.10371,1.10367
EUR_USD,1640000185.0,1.10394,1.10402,1.10398
