instrument,ts,bid,ask,mid
EUR_USD,1640000000.0,1.1,1.10008,1.10004
EUR_USD,1640000001.0,1.10019,1.10027,1.10023
EUR_USD,1640000002.0,1.10035,1.10043,1.10039
EUR_USD,1640000003.0,1.10014,1.10022,1.10018
EUR_USD,1640000004.0,1.09956,1.09964,1.0996
EUR_USD,1640000005.0,1.09962,1.0997,1.09966
EUR_USD,1640000006.0,1.09983,1.09991,1.09987
EUR_USD,1640000007.0,1.10026,1.10034,1.1003
EUR_USD,1640000008.0,1.10014,1.10022,1.10018
EUR_USD,1640000009.0,1.10077,1.10085,1.10081
EUR_USD,1640000010.0,1.10098,1.10106,1.10102
EUR_USD,1640000011.0,1.10086,1.10094,1.1009
EUR_USD,1640000012.0,1.1011,1.10118,1.10114
EUR_USD,1640000013.0,1.10123,1.10131,1.10127
EUR_USD,1640000014.0,1.1012,1.10128,1.10124
EUR_USD,1640000015.0,1.101,1.10108,1.10104
EUR_USD,1640000016.0,1.10083,1.10091,1.10087
EUR_USD,1640000017.0,1.1017,1.10178,1.10174
EUR_USD,1640000018.0,1.1015,1.10158,1.10154
EUR_USD,1640000019.0,1.10172,1.1018,1.10176
EUR_USD,1640000020.0,1.10211,1.10219,1.10215
EUR_USD,1640000021.0,1.10231,1.10239,1.10235
EUR_USD,1640000022.0,1.10224,1.10232,1.10228
EUR_USD,1640000023.0,1.10198,1.10206,1.10202
EUR_USD,1640000024.0,1.10215,1.10223,1.10219
EUR_USD,1640000025.0,1.1025,1.10258,1.10254
EUR_USD,1640000026.0,1.1029,1.10298,1.10294
EUR_USD,1640000027.0,1.10329,1.10337,1.10333
EUR_USD,1640000028.0,1.10321,1.10329,1.10325
EUR_USD,1640000029.0,1.10307,1.10315,1.10311
EUR_USD,1640000030.0,1.10324,1.10332,1.10328
EUR_USD,1640000031.0,1.10362,1.1037,1.10366
EUR_USD,1640000032.0,1.10403,1.10411,1.10407
EUR_USD,1640000033.0,1.10404,1.10412,1.10408
EUR_USD,1640000034.0,1.10431,1.10439,1.10435
EUR_USD,1640000035.0,1.10473,1.10481,1.10477
EUR_USD,1640000036.0,1.10407,1.10415,1.10411
EUR_USD,1640000037.0,1.1043,1.10438,1.10434
EUR_USD,1640000038.0,1.1042,1.10428,1.10424
EUR_USD,1640000039.0,1.10444,1.10452,1.10448
EUR_USD,1640000040.0,1.10412,1.1042,1.10416
EUR_USD,1640000041.0,1.10427,1.10435,1.10431
EUR_USD,1640000042.0,1.10364,1.10372,1.10368
EUR_USD,1640000043.0,1.10378,1.10386,1.10382
EUR_USD,1640000044.0,1.10373,1.10381,1.10377
EUR_USD,1640000045.0,1.10361,1.10369,1.10365
EUR_USD,1640000046.0,1.10358,1.10366,1.10362
EUR_USD,1640000047.0,1.10382,1.1039,1.10386
EUR_USD,1640000048.0,1.10422,1.1043,1.10426
EUR_USD,1640000049.0,1.10395,1.10403,1.10399
EUR_USD,1640000050.0,1.10345,1.10353,1.10349
EUR_USD,1640000051.0,1.10364,1.10372,1.10368
EUR_USD,1640000052.0,1.10365,1.10373,1.10369
EUR_USD,1640000053.0,1.10357,1.10365,1.10361
EUR_USD,1640000054.0,1.10311,1.10319,1.10315
EUR_USD,1640000055.0,1.10326,1.10334,1.1033
EUR_USD,1640000056.0,1.10252,1.1026,1.10256
EUR_USD,1640000057.0,1.10236,1.10244,1.1024
EUR_USD,1640000058.0,1.10291,1.10299,1.10295
EUR_USD,1640000059.0,1.10317,1.10325,1.10321
EUR_USD,1640000060.0,1.10333,1.10341,1.10337
EUR_USD,1640000061.0,1.10378,1.10386,1.10382
EUR_USD,1640000062.0,1.10419,1.10427,1.10423
EUR_USD,1640000063.0,1.10456,1.10464,1.1046
EUR_USD,1640000064.0,1.10489,1.10497,1.10493
EUR_USD,1640000065.0,1.10436,1.10444,1.1044
EUR_USD,1640000066.0,1.1046,1.10468,1.10464
EUR_USD,1640000067.0,1.1045,1.10458,1.10454
EUR_USD,1640000068.0,1.10379,1.10387,1.10383
EUR_USD,1640000069.0,1.10393,1.10401,1.10397
EUR_USD,1640000070.0,1.10351,1.10359,1.10355
EUR_USD,1640000071.0,1.1037,1.10378,1.10374
EUR_USD,1640000072.0,1.10364,1.10372,1.10368
EUR_USD,1640000073.0,1.10369,1.10377,1.10373
EUR_USD,1640000074.0,1.10374,1.10382,1.10378
EUR_USD,1640000075.0,1.10366,1.10374,1.1037
EUR_USD,1640000076.0,1.10382,1.1039,1.10386
EUR_USD,1640000077.0,1.10403,1.10411,1.10407
EUR_USD,1640000078.0,1.10377,1.10385,1.10381
EUR_USD,1640000079.0,1.1037,1.10378,1.10374
EUR_USD,1640000080.0,1.1037,1.10378,1.10374
EUR_USD,1640000081.0,1.10386,1.10394,1.1039
EUR_USD,1640000082.0,1.10402,1.1041,1.10406
EUR_USD,1640000083.0,1.10379,1.10387,1.10383
EUR_USD,1640000084.0,1.10364,1.10372,1.10368
EUR_USD,1640000085.0,1.10425,1.10433,1.10429
EUR_USD,1640000086.0,1.10402,1.1041,1.10406
EUR_USD,1640000087.0,1.10406,1.10414,1.1041
EUR_USD,1640000088.0,1.10412,1.1042,1.10416
EUR_USD,1640000089.0,1.10418,1.10426,1.10422
EUR_USD,1640000090.0,1.10426,1.10434,1.1043
EUR_USD,1640000091.0,1.1041,1.10418,1.10414
EUR_USD,1640000092.0,1.10439,1.10447,1.10443
EUR_USD,1640000093.0,1.10415,1.10423,1.10419
EUR_USD,1640000094.0,1.10449,1.10457,1.10453
EUR_USD,1640000095.0,1.10403,1.10411,1.10407
EUR_USD,1640000096.0,1.10417,1.10425,1.10421
EUR_USD,1640000097.0,1.10412,1.1042,1.10416
EUR_USD,1640000098.0,1.1038,1.10388,1.10384
EUR_USD,1640000099.0,1.10405,1.10413,1.10409
EUR_USD,1640000100.0,1.10427,1.10435,1.10431
EUR_USD,1640000101.0,1.10402,1.1041,1.10406
EUR_USD,1640000102.0,1.10388,1.10396,1.10392
EUR_USD,1640000103.0,1.10406,1.10414,1.1041
