instrument,ts,bid,ask,mid
EUR_USD,1768892820.0,1.16644,1.16660,1.16652
EUR_USD,1768892825.0,1.16645,1.16662,1.16654
EUR_USD,1768892830.0,1.16639,1.16655,1.16647
EUR_USD,1768892835.0,1.16639,1.16653,1.16646
EUR_USD,1768892840.0,1.16641,1.16656,1.16648
EUR_USD,1768892845.0,1.16641,1.16657,1.16649
EUR_USD,1768892850.0,1.16641,1.16657,1.16649
EUR_USD,1768892855.0,1.16636,1.16652,1.16644
EUR_USD,1768892860.0,1.16635,1.16651,1.16643
EUR_USD,1768892865.0,1.16635,1.16652,1.16643
EUR_USD,1768892870.0,1.16639,1.16654,1.16647
EUR_USD,1768892875.0,1.16640,1.16657,1.16649
EUR_USD,1768892880.0,1.16642,1.16659,1.16650
EUR_USD,1768892885.0,1.16637,1.16653,1.16645
EUR_USD,1768892890.0,1.16641,1.16658,1.16649
EUR_USD,1768892895.0,1.16642,1.16657,1.16650
EUR_USD,1768892900.0,1.16640,1.16657,1.16649
EUR_USD,1768892905.0,1.16641,1.16657,1.16649
EUR_USD,1768892910.0,1.16643,1.16660,1.16651
EUR_USD,1768892915.0,1.16641,1.16657,1.16649
EUR_USD,1768892920.0,1.16648,1.16663,1.16656
EUR_USD,1768892925.0,1.16649,1.16664,1.16656
EUR_USD,1768892930.0,1.16656,1.16672,1.16664
EUR_USD,1768892935.0,1.16652,1.16666,1.16659
EUR_USD,1768892940.0,1.16654,1.16668,1.16661
EUR_USD,1768892945.0,1.16657,1.16671,1.16664
EUR_USD,1768892950.0,1.16658,1.16672,1.16665
EUR_USD,1768892955.0,1.16658,1.16673,1.16665
EUR_USD,1768892960.0,1.16659,1.16674,1.16667
EUR_USD,1768892965.0,1.16662,1.16678,1.16670
EUR_USD,1768892970.0,1.16657,1.16672,1.16664
EUR_USD,1768892975.0,1.16658,1.16673,1.16665
EUR_USD,1768892980.0,1.16658,1.16673,1.16665
EUR_USD,1768892985.0,1.16659,1.16674,1.16667
EUR_USD,1768892990.0,1.16658,1.16673,1.16665
EUR_USD,1768892995.0,1.16662,1.16678,1.16670
EUR_USD,1768893000.0,1.16662,1.16677,1.16670
EUR_USD,1768893005.0,1.16661,1.16677,1.16669
EUR_USD,1768893010.0,1.16662,1.16676,1.16669
EUR_USD,1768893015.0,1.16661,1.16676,1.16668
EUR_USD,1768893020.0,1.16661,1.16676,1.16668
EUR_USD,1768893025.0,1.16662,1.16678,1.16670
EUR_USD,1768893030.0,1.16661,1.16677,1.16669
EUR_USD,1768893035.0,1.16660,1.16676,1.16668
EUR_USD,1768893040.0,1.16660,1.16676,1.16668
EUR_USD,1768893045.0,1.16661,1.16676,1.16668
EUR_USD,1768893050.0,1.16660,1.16677,1.16669
EUR_USD,1768893055.0,1.16660,1.16678,1.16669
EUR_USD,1768893060.0,1.16661,1.16677,1.16669
EUR_USD,1768893065.0,1.16661,1.16677,1.16669
EUR_USD,1768893070.0,1.16662,1.16678,1.16670
EUR_USD,1768893075.0,1.16663,1.16677,1.16670
EUR_USD,1768893080.0,1.16660,1.16676,1.16668
EUR_USD,1768893085.0,1.16659,1.16676,1.16668
EUR_USD,1768893090.0,1.16661,1.16677,1.16669
EUR_USD,1768893095.0,1.16661,1.16677,1.16669
EUR_USD,1768893100.0,1.16663,1.16680,1.16671
EUR_USD,1768893105.0,1.16677,1.16694,1.16685
EUR_USD,1768893110.0,1.16676,1.16693,1.16684
EUR_USD,1768893115.0,1.16676,1.16693,1.16684
EUR_USD,1768893120.0,1.16675,1.16692,1.16683
EUR_USD,1768893125.0,1.16680,1.16696,1.16688
EUR_USD,1768893130.0,1.16681,1.16696,1.16688
EUR_USD,1768893135.0,1.16679,1.16695,1.16687
EUR_USD,1768893140.0,1.16680,1.16697,1.16689
EUR_USD,1768893145.0,1.16673,1.16690,1.16682
EUR_USD,1768893150.0,1.16675,1.16692,1.16683
EUR_USD,1768893155.0,1.16674,1.16692,1.16683
EUR_USD,1768893160.0,1.16676,1.16693,1.16684
EUR_USD,1768893165.0,1.16676,1.16692,1.16684
EUR_USD,1768893170.0,1.16679,1.16695,1.16687
EUR_USD,1768893175.0,1.16680,1.16696,1.16688
EUR_USD,1768893180.0,1.16677,1.16693,1.16685
EUR_USD,1768893185.0,1.16676,1.16692,1.16684
EUR_USD,1768893190.0,1.16671,1.16688,1.16680
EUR_USD,1768893195.0,1.16667,1.16684,1.16676
EUR_USD,1768893200.0,1.16667,1.16684,1.16676
EUR_USD,1768893205.0,1.16670,1.16686,1.16678
EUR_USD,1768893210.0,1.16665,1.16680,1.16673
EUR_USD,1768893215.0,1.16669,1.16686,1.16677
EUR_USD,1768893220.0,1.16670,1.16687,1.16678
EUR_USD,1768893225.0,1.16670,1.16686,1.16678
EUR_USD,1768893230.0,1.16666,1.16682,1.16674
EUR_USD,1768893235.0,1.16665,1.16681,1.16673
EUR_USD,1768893240.0,1.16665,1.16681,1.16673
EUR_USD,1768893245.0,1.16661,1.16676,1.16668
EUR_USD,1768893250.0,1.16665,1.16682,1.16674
EUR_USD,1768893255.0,1.16665,1.16681,1.16673
EUR_USD,1768893260.0,1.16663,1.16679,1.16671
EUR_USD,1768893265.0,1.16664,1.16681,1.16673
