instrument,ts,bid,ask,mid
EUR_USD,1769536140.0,1.19785,1.19802,1.19794
EUR_USD,1769536145.0,1.19795,1.19811,1.19803
EUR_USD,1769536150.0,1.19802,1.19818,1.19810
EUR_USD,1769536155.0,1.19805,1.19822,1.19814
EUR_USD,1769536160.0,1.19811,1.19827,1.19819
EUR_USD,1769536165.0,1.19817,1.19833,1.19825
EUR_USD,1769536170.0,1.19816,1.19832,1.19824
EUR_USD,1769536175.0,1.19808,1.19825,1.19816
EUR_USD,1769536180.0,1.19805,1.19823,1.19814
EUR_USD,1769536185.0,1.19802,1.19820,1.19811
EUR_USD,1769536190.0,1.19801,1.19818,1.19809
EUR_USD,1769536195.0,1.19803,1.19820,1.19812
EUR_USD,1769536200.0,1.19778,1.19795,1.19787
EUR_USD,1769536205.0,1.19783,1.19800,1.19792
EUR_USD,1769536210.0,1.19784,1.19801,1.19793
EUR_USD,1769536215.0,1.19783,1.19800,1.19792
EUR_USD,1769536220.0,1.19783,1.19799,1.19791
EUR_USD,1769536225.0,1.19783,1.19798,1.19790
EUR_USD,1769536230.0,1.19784,1.19799,1.19792
EUR_USD,1769536235.0,1.19778,1.19794,1.19786
EUR_USD,1769536240.0,1.19777,1.19794,1.19786
EUR_USD,1769536245.0,1.19773,1.19790,1.19781
EUR_USD,1769536250.0,1.19768,1.19785,1.19776
EUR_USD,1769536255.0,1.19763,1.19779,1.19771
EUR_USD,1769536260.0,1.19774,1.19791,1.19782
EUR_USD,1769536265.0,1.19777,1.19792,1.19785
EUR_USD,1769536270.0,1.19785,1.19801,1.19793
EUR_USD,1769536275.0,1.19781,1.19796,1.19788
EUR_USD,1769536280.0,1.19786,1.19802,1.19794
EUR_USD,1769536285.0,1.19787,1.19803,1.19795
EUR_USD,1769536290.0,1.19795,1.19811,1.19803
EUR_USD,1769536295.0,1.19795,1.19811,1.19803
EUR_USD,1769536300.0,1.19795,1.19813,1.19804
EUR_USD,1769536305.0,1.19796,1.19812,1.19804
EUR_USD,1769536310.0,1.19802,1.19820,1.19811
EUR_USD,1769536315.0,1.19801,1.19817,1.19809
EUR_USD,1769536320.0,1.19801,1.19817,1.19809
EUR_USD,1769536325.0,1.19795,1.19811,1.19803
EUR_USD,1769536330.0,1.19798,1.19815,1.19807
EUR_USD,1769536335.0,1.19800,1.19816,1.19808
EUR_USD,1769536340.0,1.19802,1.19818,1.19810
EUR_USD,1769536345.0,1.19802,1.19819,1.19810
EUR_USD,1769536350.0,1.19795,1.19810,1.19802
EUR_USD,1769536355.0,1.19794,1.19809,1.19802
EUR_USD,1769536360.0,1.19791,1.19807,1.19799
EUR_USD,1769536365.0,1.19791,1.19807,1.19799
EUR_USD,1769536370.0,1.19790,1.19808,1.19799
EUR_USD,1769536375.0,1.19792,1.19809,1.19801
EUR_USD,1769536380.0,1.19790,1.19806,1.19798
EUR_USD,1769536385.0,1.19789,1.19805,1.19797
EUR_USD,1769536390.0,1.19782,1.19799,1.19790
EUR_USD,1769536395.0,1.19778,1.19796,1.19787
EUR_USD,1769536400.0,1.19779,1.19797,1.19788
EUR_USD,1769536405.0,1.19780,1.19796,1.19788
EUR_USD,1769536410.0,1.19776,1.19792,1.19784
EUR_USD,1769536415.0,1.19781,1.19798,1.19789
EUR_USD,1769536420.0,1.19782,1.19798,1.19790
EUR_USD,1769536425.0,1.19781,1.19798,1.19789
EUR_USD,1769536430.0,1.19782,1.19799,1.19790
EUR_USD,1769536435.0,1.19782,1.19798,1.19790
EUR_USD,1769536440.0,1.19778,1.19794,1.19786
EUR_USD,1769536445.0,1.19779,1.19795,1.19787
EUR_USD,1769536450.0,1.19780,1.19795,1.19788
EUR_USD,1769536455.0,1.19780,1.19796,1.19788
EUR_USD,1769536460.0,1.19793,1.19810,1.19801
EUR_USD,1769536465.0,1.19785,1.19803,1.19794
EUR_USD,1769536470.0,1.19789,1.19807,1.19798
EUR_USD,1769536475.0,1.19784,1.19801,1.19793
EUR_USD,1769536480.0,1.19778,1.19795,1.19787
EUR_USD,1769536485.0,1.19767,1.19784,1.19775
EUR_USD,1769536490.0,1.19762,1.19779,1.19771
EUR_USD,1769536495.0,1.19765,1.19781,1.19773
EUR_USD,1769536500.0,1.19763,1.19780,1.19772
EUR_USD,1769536505.0,1.19769,1.19786,1.19778
EUR_USD,1769536510.0,1.19773,1.19792,1.19782
EUR_USD,1769536515.0,1.19777,1.19795,1.19786
EUR_USD,1769536520.0,1.19777,1.19794,1.19786
EUR_USD,1769536525.0,1.19778,1.19795,1.19787
EUR_USD,1769536530.0,1.19784,1.19801,1.19793
EUR_USD,1769536535.0,1.19784,1.19801,1.19793
EUR_USD,1769536540.0,1.19782,1.19800,1.19791
EUR_USD,1769536545.0,1.19782,1.19799,1.19790
EUR_USD,1769536550.0,1.19777,1.19795,1.19786
EUR_USD,1769536555.0,1.19782,1.19799,1.19790
EUR_USD,1769536560.0,1.19783,1.19800,1.19792
EUR_USD,1769536565.0,1.19783,1.19800,1.19792
EUR_USD,1769536570.0,1.19783,1.19800,1.19792
EUR_USD,1769536575.0,1.19789,1.19805,1.19797
EUR_USD,1769536580.0,1.19790,1.19808,1.19799
