instrument,ts,bid,ask,mid
EUR_USD,1769769060.0,1.19154,1.19168,1.19161
EUR_USD,1769769065.0,1.19153,1.19168,1.19161
EUR_USD,1769769070.0,1.19152,1.19166,1.19159
EUR_USD,1769769075.0,1.19146,1.19163,1.19155
EUR_USD,1769769080.0,1.19148,1.19164,1.19156
EUR_USD,1769769085.0,1.19141,1.19158,1.19150
EUR_USD,1769769090.0,1.19144,1.19161,1.19152
EUR_USD,1769769095.0,1.19147,1.19165,1.19156
EUR_USD,1769769100.0,1.19147,1.19165,1.19156
EUR_USD,1769769105.0,1.19141,1.19158,1.19150
EUR_USD,1769769110.0,1.19143,1.19160,1.19151
EUR_USD,1769769115.0,1.19147,1.19164,1.19156
EUR_USD,1769769120.0,1.19151,1.19168,1.19159
EUR_USD,1769769125.0,1.19153,1.19169,1.19161
EUR_USD,1769769130.0,1.19152,1.19169,1.19161
EUR_USD,1769769135.0,1.19153,1.19168,1.19161
EUR_USD,1769769140.0,1.19148,1.19164,1.19156
EUR_USD,1769769145.0,1.19148,1.19164,1.19156
EUR_USD,1769769150.0,1.19148,1.19164,1.19156
EUR_USD,1769769155.0,1.19146,1.19162,1.19154
EUR_USD,1769769160.0,1.19144,1.19160,1.19152
EUR_USD,1769769165.0,1.19152,1.19168,1.19160
EUR_USD,1769769170.0,1.19151,1.19168,1.19159
EUR_USD,1769769175.0,1.19149,1.19165,1.19157
EUR_USD,1769769180.0,1.19149,1.19165,1.19157
EUR_USD,1769769185.0,1.19146,1.19162,1.19154
EUR_USD,1769769190.0,1.19155,1.19171,1.19163
EUR_USD,1769769195.0,1.19153,1.19169,1.19161
EUR_USD,1769769200.0,1.19157,1.19172,1.19164
EUR_USD,1769769205.0,1.19155,1.19170,1.19163
EUR_USD,1769769210.0,1.19155,1.19171,1.19163
EUR_USD,1769769215.0,1.19150,1.19166,1.19158
EUR_USD,1769769220.0,1.19147,1.19163,1.19155
EUR_USD,1769769225.0,1.19147,1.19163,1.19155
EUR_USD,1769769230.0,1.19147,1.19163,1.19155
EUR_USD,1769769235.0,1.19147,1.19163,1.19155
EUR_USD,1769769240.0,1.19147,1.19164,1.19156
EUR_USD,1769769245.0,1.19148,1.19165,1.19157
EUR_USD,1769769250.0,1.19148,1.19165,1.19157
EUR_USD,1769769255.0,1.19144,1.19162,1.19153
EUR_USD,1769769260.0,1.19143,1.19160,1.19151
EUR_USD,1769769265.0,1.19146,1.19164,1.19155
EUR_USD,1769769270.0,1.19147,1.19163,1.19155
EUR_USD,1769769275.0,1.19143,1.19159,1.19151
EUR_USD,1769769280.0,1.19146,1.19163,1.19155
