instrument,ts,bid,ask,mid
EUR_USD,1640000000.0,1.10003,1.10011,1.10007
EUR_USD,1640000001.0,1.10008,1.10016,1.10012
EUR_USD,1640000002.0,1.10009,1.10017,1.10013
EUR_USD,1640000003.0,1.10027,1.10035,1.10031
EUR_USD,1640000004.0,1.1004,1.10048,1.10044
EUR_USD,1640000005.0,1.10037,1.10045,1.10041
EUR_USD,1640000006.0,1.1002,1.10028,1.10024
EUR_USD,1640000007.0,1.10013,1.10021,1.10017
EUR_USD,1640000008.0,1.10023,1.10031,1.10027
EUR_USD,1640000009.0,1.10008,1.10016,1.10012
EUR_USD,1640000010.0,1.10012,1.1002,1.10016
EUR_USD,1640000011.0,1.10007,1.10015,1.10011
EUR_USD,1640000012.0,1.10008,1.10016,1.10012
EUR_USD,1640000013.0,1.09999,1.10007,1.10003
EUR_USD,1640000014.0,1.09988,1.09996,1.09992
EUR_USD,1640000015.0,1.09981,1.09989,1.09985
EUR_USD,1640000016.0,1.0997,1.09978,1.09974
EUR_USD,1640000017.0,1.09998,1.10006,1.10002
EUR_USD,1640000018.0,1.10013,1.10021,1.10017
EUR_USD,1640000019.0,1.10009,1.10017,1.10013
EUR_USD,1640000020.0,1.10029,1.10037,1.10033
EUR_USD,1640000021.0,1.10009,1.10017,1.10013
EUR_USD,1640000022.0,1.10013,1.10021,1.10017
EUR_USD,1640000023.0,1.10002,1.1001,1.10006
EUR_USD,1640000024.0,1.10015,1.10023,1.10019
EUR_USD,1640000025.0,1.10016,1.10024,1.1002
EUR_USD,1640000026.0,1.10021,1.10029,1.10025
EUR_USD,1640000027.0,1.10026,1.10034,1.1003
EUR_USD,1640000028.0,1.10022,1.1003,1.10026
EUR_USD,1640000029.0,1.10014,1.10022,1.10018
EUR_USD,1640000030.0,1.09998,1.10006,1.10002
EUR_USD,1640000031.0,1.09989,1.09997,1.09993
EUR_USD,1640000032.0,1.10006,1.10014,1.1001
EUR_USD,1640000033.0,1.10001,1.10009,1.10005
EUR_USD,1640000034.0,1.09985,1.09993,1.09989
EUR_USD,1640000035.0,1.10021,1.10029,1.10025
EUR_USD,1640000036.0,1.09995,1.10003,1.09999
EUR_USD,1640000037.0,1.09987,1.09995,1.09991
EUR_USD,1640000038.0,1.09982,1.0999,1.09986
EUR_USD,1640000039.0,1.09982,1.0999,1.09986
EUR_USD,1640000040.0,1.09978,1.09986,1.09982
EUR_USD,1640000041.0,1.09981,1.09989,1.09985
EUR_USD,1640000042.0,1.09957,1.09965,1.09961
EUR_USD,1640000043.0,1.09966,1.09974,1.0997
EUR_USD,1640000044.0,1.09963,1.09971,1.09967
EUR_USD,1640000045.0,1.0997,1.09978,1.09974
EUR_USD,1640000046.0,1.09972,1.0998,1.09976
EUR_USD,1640000047.0,1.0997,1.09978,1.09974
EUR_USD,1640000048.0,1.09972,1.0998,1.09976
EUR_USD,1640000049.0,1.09962,1.0997,1.09966
EUR_USD,1640000050.0,1.09963,1.09971,1.09967
EUR_USD,1640000051.0,1.09964,1.09972,1.09968
EUR_USD,1640000052.0,1.09965,1.09973,1.09969
EUR_USD,1640000053.0,1.0997,1.09978,1.09974
EUR_USD,1640000054.0,1.09947,1.09955,1.09951
EUR_USD,1640000055.0,1.09954,1.09962,1.09958
EUR_USD,1640000056.0,1.09929,1.09937,1.09933
EUR_USD,1640000057.0,1.09922,1.0993,1.09926
EUR_USD,1640000058.0,1.09919,1.09927,1.09923
EUR_USD,1640000059.0,1.09896,1.09904,1.099
EUR_USD,1640000060.0,1.09901,1.09909,1.09905
EUR_USD,1640000061.0,1.09916,1.09924,1.0992
EUR_USD,1640000062.0,1.09903,1.09911,1.09907
EUR_USD,1640000063.0,1.09909,1.09917,1.09913
EUR_USD,1640000064.0,1.09924,1.09932,1.09928
EUR_USD,1640000065.0,1.09928,1.09936,1.09932
EUR_USD,1640000066.0,1.09944,1.09952,1.09948
EUR_USD,1640000067.0,1.09953,1.09961,1.09957
EUR_USD,1640000068.0,1.09953,1.09961,1.09957
EUR_USD,1640000069.0,1.09958,1.09966,1.09962
EUR_USD,1640000070.0,1.09978,1.09986,1.09982
EUR_USD,1640000071.0,1.1,1.10008,1.10004
EUR_USD,1640000072.0,1.10013,1.10021,1.10017
EUR_USD,1640000073.0,1.10022,1.1003,1.10026
EUR_USD,1640000074.0,1.10033,1.10041,1.10037
EUR_USD,1640000075.0,1.10051,1.10059,1.10055
EUR_USD,1640000076.0,1.10063,1.10071,1.10067
EUR_USD,1640000077.0,1.10069,1.10077,1.10073
EUR_USD,1640000078.0,1.10084,1.10092,1.10088
EUR_USD,1640000079.0,1.10099,1.10107,1.10103
EUR_USD,1640000080.0,1.1012,1.10128,1.10124
EUR_USD,1640000081.0,1.10123,1.10131,1.10127
EUR_USD,1640000082.0,1.10138,1.10146,1.10142
EUR_USD,1640000083.0,1.10155,1.10163,1.10159
EUR_USD,1640000084.0,1.10171,1.10179,1.10175
EUR_USD,1640000085.0,1.10193,1.10201,1.10197
EUR_USD,1640000086.0,1.1022,1.10228,1.10224
EUR_USD,1640000087.0,1.10231,1.10239,1.10235
EUR_USD,1640000088.0,1.10256,1.10264,1.1026
EUR_USD,1640000089.0,1.1028,1.10288,1.10284
EUR_USD,1640000090.0,1.10308,1.10316,1.10312
EUR_USD,1640000091.0,1.10343,1.10351,1.10347
EUR_USD,1640000092.0,1.10414,1.10422,1.10418
EUR_USD,1640000093.0,1.10541,1.10549,1.10545
EUR_USD,1640000094.0,1.10533,1.10541,1.10537
EUR_USD,1640000095.0,1.10525,1.10533,1.10529
EUR_USD,1640000096.0,1.1052,1.10528,1.10524
EUR_USD,1640000097.0,1.10506,1.10514,1.1051
EUR_USD,1640000098.0,1.10497,1.10505,1.10501
EUR_USD,1640000099.0,1.10484,1.10492,1.10488
EUR_USD,1640000100.0,1.10458,1.10466,1.10462
EUR_USD,1640000101.0,1.10426,1.10434,1.1043
EUR_USD,1640000102.0,1.10386,1.10394,1.1039
EUR_USD,1640000103.0,1.10288,1.10296,1.10292
EUR_USD,1640000104.0,1.10278,1.10286,1.10282
EUR_USD,1640000105.0,1.10257,1.10265,1.10261
EUR_USD,1640000106.0,1.10239,1.10247,1.10243
