instrument,ts,bid,ask,mid
EUR_USD,1769532540.0,1.19828,1.19846,1.19837
EUR_USD,1769532545.0,1.19824,1.19839,1.19832
EUR_USD,1769532550.0,1.19826,1.19842,1.19834
EUR_USD,1769532555.0,1.19819,1.19835,1.19827
EUR_USD,1769532560.0,1.19816,1.19832,1.19824
EUR_USD,1769532565.0,1.19817,1.19833,1.19825
EUR_USD,1769532570.0,1.19816,1.19832,1.19824
EUR_USD,1769532575.0,1.19822,1.19839,1.19830
EUR_USD,1769532580.0,1.19824,1.19839,1.19832
EUR_USD,1769532585.0,1.19824,1.19839,1.19832
EUR_USD,1769532590.0,1.19824,1.19839,1.19832
EUR_USD,1769532595.0,1.19821,1.19837,1.19829
EUR_USD,1769532600.0,1.19820,1.19836,1.19828
EUR_USD,1769532605.0,1.19811,1.19827,1.19819
EUR_USD,1769532610.0,1.19810,1.19827,1.19819
EUR_USD,1769532615.0,1.19807,1.19823,1.19815
EUR_USD,1769532620.0,1.19805,1.19820,1.19813
EUR_USD,1769532625.0,1.19796,1.19814,1.19805
EUR_USD,1769532630.0,1.19789,1.19805,1.19797
EUR_USD,1769532635.0,1.19788,1.19804,1.19796
EUR_USD,1769532640.0,1.19790,1.19807,1.19799
EUR_USD,1769532645.0,1.19779,1.19796,1.19787
EUR_USD,1769532650.0,1.19776,1.19793,1.19785
EUR_USD,1769532655.0,1.19768,1.19785,1.19776
EUR_USD,1769532660.0,1.19759,1.19776,1.19767
EUR_USD,1769532665.0,1.19759,1.19775,1.19767
EUR_USD,1769532670.0,1.19760,1.19774,1.19767
EUR_USD,1769532675.0,1.19772,1.19788,1.19780
EUR_USD,1769532680.0,1.19781,1.19796,1.19788
EUR_USD,1769532685.0,1.19779,1.19795,1.19787
EUR_USD,1769532690.0,1.19771,1.19787,1.19779
EUR_USD,1769532695.0,1.19764,1.19780,1.19772
EUR_USD,1769532700.0,1.19761,1.19777,1.19769
EUR_USD,1769532705.0,1.19754,1.19771,1.19762
EUR_USD,1769532710.0,1.19758,1.19774,1.19766
EUR_USD,1769532715.0,1.19760,1.19774,1.19767
EUR_USD,1769532720.0,1.19761,1.19776,1.19768
EUR_USD,1769532725.0,1.19761,1.19777,1.19769
