instrument,ts,bid,ask,mid
EUR_USD,1769699340.0,1.19504,1.19522,1.19513
EUR_USD,1769699345.0,1.19503,1.19521,1.19512
EUR_USD,1769699350.0,1.19510,1.19529,1.19520
EUR_USD,1769699355.0,1.19499,1.19517,1.19508
EUR_USD,1769699360.0,1.19509,1.19526,1.19517
EUR_USD,1769699365.0,1.19520,1.19537,1.19529
EUR_USD,1769699370.0,1.19508,1.19525,1.19516
EUR_USD,1769699375.0,1.19511,1.19527,1.19519
EUR_USD,1769699380.0,1.19509,1.19527,1.19518
EUR_USD,1769699385.0,1.19509,1.19525,1.19517
EUR_USD,1769699390.0,1.19514,1.19531,1.19523
EUR_USD,1769699395.0,1.19520,1.19535,1.19528
EUR_USD,1769699400.0,1.19520,1.19536,1.19528
EUR_USD,1769699405.0,1.19532,1.19547,1.19539
EUR_USD,1769699410.0,1.19526,1.19545,1.19535
EUR_USD,1769699415.0,1.19525,1.19540,1.19532
EUR_USD,1769699420.0,1.19521,1.19536,1.19529
EUR_USD,1769699425.0,1.19536,1.19550,1.19543
EUR_USD,1769699430.0,1.19532,1.19547,1.19539
EUR_USD,1769699435.0,1.19537,1.19552,1.19544
EUR_USD,1769699440.0,1.19531,1.19546,1.19538
EUR_USD,1769699445.0,1.19516,1.19532,1.19524
EUR_USD,1769699450.0,1.19525,1.19542,1.19534
EUR_USD,1769699455.0,1.19540,1.19557,1.19549
EUR_USD,1769699460.0,1.19529,1.19544,1.19537
EUR_USD,1769699465.0,1.19531,1.19547,1.19539
EUR_USD,1769699470.0,1.19536,1.19552,1.19544
EUR_USD,1769699475.0,1.19542,1.19557,1.19549
EUR_USD,1769699480.0,1.19554,1.19570,1.19562
EUR_USD,1769699485.0,1.19556,1.19571,1.19564
EUR_USD,1769699490.0,1.19546,1.19563,1.19555
EUR_USD,1769699495.0,1.19541,1.19558,1.19550
EUR_USD,1769699500.0,1.19541,1.19558,1.19550
EUR_USD,1769699505.0,1.19547,1.19563,1.19555
EUR_USD,1769699510.0,1.19545,1.19560,1.19552
EUR_USD,1769699515.0,1.19537,1.19554,1.19545
EUR_USD,1769699520.0,1.19520,1.19537,1.19529
EUR_USD,1769699525.0,1.19524,1.19538,1.19531
EUR_USD,1769699530.0,1.19524,1.19538,1.19531
EUR_USD,1769699535.0,1.19516,1.19530,1.19523
EUR_USD,1769699540.0,1.19508,1.19522,1.19515
EUR_USD,1769699545.0,1.19510,1.19525,1.19517
EUR_USD,1769699550.0,1.19505,1.19519,1.19512
EUR_USD,1769699555.0,1.19504,1.19519,1.19511
EUR_USD,1769699560.0,1.19509,1.19524,1.19517
EUR_USD,1769699565.0,1.19504,1.19520,1.19512
EUR_USD,1769699570.0,1.19501,1.19515,1.19508
EUR_USD,1769699575.0,1.19493,1.19510,1.19502
EUR_USD,1769699580.0,1.19493,1.19508,1.19501
EUR_USD,1769699585.0,1.19482,1.19496,1.19489
EUR_USD,1769699590.0,1.19475,1.19490,1.19483
EUR_USD,1769699595.0,1.19473,1.19487,1.19480
EUR_USD,1769699600.0,1.19471,1.19485,1.19478
EUR_USD,1769699605.0,1.19468,1.19485,1.19476
EUR_USD,1769699610.0,1.19473,1.19491,1.19482
EUR_USD,1769699615.0,1.19473,1.19490,1.19482
EUR_USD,1769699620.0,1.19469,1.19485,1.19477
EUR_USD,1769699625.0,1.19462,1.19478,1.19470
EUR_USD,1769699630.0,1.19455,1.19471,1.19463
EUR_USD,1769699635.0,1.19456,1.19472,1.19464
EUR_USD,1769699640.0,1.19449,1.19465,1.19457
EUR_USD,1769699645.0,1.19456,1.19473,1.19464
EUR_USD,1769699650.0,1.19457,1.19473,1.19465
EUR_USD,1769699655.0,1.19461,1.19475,1.19468
EUR_USD,1769699660.0,1.19469,1.19485,1.19477
EUR_USD,1769699665.0,1.19463,1.19479,1.19471
EUR_USD,1769699670.0,1.19462,1.19479,1.19470
EUR_USD,1769699675.0,1.19462,1.19478,1.19470
EUR_USD,1769699680.0,1.19455,1.19471,1.19463
EUR_USD,1769699685.0,1.19468,1.19483,1.19476
EUR_USD,1769699690.0,1.19477,1.19492,1.19484
EUR_USD,1769699695.0,1.19475,1.19491,1.19483
EUR_USD,1769699700.0,1.19457,1.19473,1.19465
EUR_USD,1769699705.0,1.19464,1.19480,1.19472
EUR_USD,1769699710.0,1.19455,1.19471,1.19463
EUR_USD,1769699715.0,1.19443,1.19460,1.19451
EUR_USD,1769699720.0,1.19443,1.19460,1.19451
EUR_USD,1769699725.0,1.19433,1.19450,1.19441
EUR_USD,1769699730.0,1.19424,1.19440,1.19432
EUR_USD,1769699735.0,1.19423,1.19439,1.19431
EUR_USD,1769699740.0,1.19428,1.19444,1.19436
EUR_USD,1769699745.0,1.19437,1.19453,1.19445
EUR_USD,1769699750.0,1.19438,1.19453,1.19446
EUR_USD,1769699755.0,1.19432,1.19449,1.19441
EUR_USD,1769699760.0,1.19424,1.19441,1.19433
EUR_USD,1769699765.0,1.19409,1.19425,1.19417
EUR_USD,1769699770.0,1.19412,1.19429,1.19421
EUR_USD,1769699775.0,1.19401,1.19419,1.19410
EUR_USD,1769699780.0,1.19394,1.19412,1.19403
EUR_USD,1769699785.0,1.19397,1.19414,1.19406
EUR_USD,1769699790.0,1.19383,1.19401,1.19392
EUR_USD,1769699795.0,1.19352,1.19368,1.19360
EUR_USD,1769699800.0,1.19319,1.19336,1.19327
EUR_USD,1769699805.0,1.19352,1.19367,1.19359
EUR_USD,1769699810.0,1.19363,1.19379,1.19371
EUR_USD,1769699815.0,1.19343,1.19360,1.19352
EUR_USD,1769699820.0,1.19328,1.19345,1.19337
EUR_USD,1769699825.0,1.19313,1.19331,1.19322
EUR_USD,1769699830.0,1.19273,1.19289,1.19281
EUR_USD,1769699835.0,1.19279,1.19295,1.19287
EUR_USD,1769699840.0,1.19256,1.19272,1.19264
EUR_USD,1769699845.0,1.19251,1.19267,1.19259
EUR_USD,1769699850.0,1.19234,1.19253,1.19244
EUR_USD,1769699855.0,1.19228,1.19246,1.19237
EUR_USD,1769699860.0,1.19231,1.19245,1.19238
EUR_USD,1769699865.0,1.19202,1.19218,1.19210
EUR_USD,1769699870.0,1.19206,1.19226,1.19216
EUR_USD,1769699875.0,1.19179,1.19194,1.19186
EUR_USD,1769699880.0,1.19208,1.19222,1.19215
EUR_USD,1769699885.0,1.19221,1.19236,1.19229
EUR_USD,1769699890.0,1.19218,1.19236,1.19227
EUR_USD,1769699895.0,1.19187,1.19204,1.19196
EUR_USD,1769699900.0,1.19198,1.19216,1.19207
EUR_USD,1769699905.0,1.19198,1.19214,1.19206
EUR_USD,1769699910.0,1.19228,1.19245,1.19237
EUR_USD,1769699915.0,1.19262,1.19279,1.19271
EUR_USD,1769699920.0,1.19267,1.19284,1.19276
EUR_USD,1769699925.0,1.19274,1.19290,1.19282
EUR_USD,1769699930.0,1.19278,1.19294,1.19286
EUR_USD,1769699935.0,1.19276,1.19292,1.19284
EUR_USD,1769699940.0,1.19250,1.19269,1.19259
EUR_USD,1769699945.0,1.19265,1.19282,1.19273
EUR_USD,1769699950.0,1.19244,1.19261,1.19252
EUR_USD,1769699955.0,1.19225,1.19241,1.19233
EUR_USD,1769699960.0,1.19218,1.19235,1.19226
EUR_USD,1769699965.0,1.19217,1.19233,1.19225
EUR_USD,1769699970.0,1.19227,1.19245,1.19236
EUR_USD,1769699975.0,1.19219,1.19236,1.19227
EUR_USD,1769699980.0,1.19213,1.19228,1.19220
EUR_USD,1769699985.0,1.19214,1.19229,1.19222
EUR_USD,1769699990.0,1.19209,1.19226,1.19218
EUR_USD,1769699995.0,1.19234,1.19250,1.19242
EUR_USD,1769700000.0,1.19226,1.19242,1.19234
EUR_USD,1769700005.0,1.19225,1.19240,1.19232
EUR_USD,1769700010.0,1.19188,1.19207,1.19198
EUR_USD,1769700015.0,1.19191,1.19206,1.19198
EUR_USD,1769700020.0,1.19176,1.19193,1.19184
EUR_USD,1769700025.0,1.19147,1.19164,1.19156
EUR_USD,1769700030.0,1.19145,1.19161,1.19153
EUR_USD,1769700035.0,1.19158,1.19173,1.19165
EUR_USD,1769700040.0,1.19167,1.19183,1.19175
EUR_USD,1769700045.0,1.19158,1.19175,1.19166
EUR_USD,1769700050.0,1.19163,1.19182,1.19172
EUR_USD,1769700055.0,1.19185,1.19202,1.19193
EUR_USD,1769700060.0,1.19205,1.19221,1.19213
EUR_USD,1769700065.0,1.19191,1.19208,1.19199
EUR_USD,1769700070.0,1.19224,1.19242,1.19233
EUR_USD,1769700075.0,1.19233,1.19250,1.19242
EUR_USD,1769700080.0,1.19229,1.19246,1.19238
EUR_USD,1769700085.0,1.19231,1.19248,1.19239
EUR_USD,1769700090.0,1.19255,1.19272,1.19264
EUR_USD,1769700095.0,1.19254,1.19272,1.19263
EUR_USD,1769700100.0,1.19249,1.19264,1.19257
EUR_USD,1769700105.0,1.19236,1.19254,1.19245
EUR_USD,1769700110.0,1.19254,1.19271,1.19263
EUR_USD,1769700115.0,1.19253,1.19268,1.19260
EUR_USD,1769700120.0,1.19245,1.19263,1.19254
EUR_USD,1769700125.0,1.19265,1.19283,1.19274
EUR_USD,1769700130.0,1.19266,1.19283,1.19274
EUR_USD,1769700135.0,1.19281,1.19299,1.19290
EUR_USD,1769700140.0,1.19303,1.19320,1.19312
EUR_USD,1769700145.0,1.19297,1.19315,1.19306
EUR_USD,1769700150.0,1.19307,1.19324,1.19315
EUR_USD,1769700155.0,1.19313,1.19329,1.19321
EUR_USD,1769700160.0,1.19317,1.19335,1.19326
EUR_USD,1769700165.0,1.19321,1.19338,1.19329
EUR_USD,1769700170.0,1.19323,1.19338,1.19331
EUR_USD,1769700175.0,1.19311,1.19327,1.19319
EUR_USD,1769700180.0,1.19296,1.19314,1.19305
EUR_USD,1769700185.0,1.19288,1.19304,1.19296
EUR_USD,1769700190.0,1.19271,1.19290,1.19280
EUR_USD,1769700195.0,1.19277,1.19294,1.19285
EUR_USD,1769700200.0,1.19271,1.19287,1.19279
EUR_USD,1769700205.0,1.19279,1.19294,1.19286
EUR_USD,1769700210.0,1.19288,1.19302,1.19295
EUR_USD,1769700215.0,1.19280,1.19299,1.19290
EUR_USD,1769700220.0,1.19282,1.19299,1.19291
EUR_USD,1769700225.0,1.19283,1.19299,1.19291
EUR_USD,1769700230.0,1.19283,1.19297,1.19290
EUR_USD,1769700235.0,1.19282,1.19297,1.19290
EUR_USD,1769700240.0,1.19278,1.19292,1.19285
EUR_USD,1769700245.0,1.19282,1.19298,1.19290
EUR_USD,1769700250.0,1.19297,1.19314,1.19306
EUR_USD,1769700255.0,1.19289,1.19305,1.19297
EUR_USD,1769700260.0,1.19293,1.19310,1.19301
EUR_USD,1769700265.0,1.19294,1.19311,1.19303
EUR_USD,1769700270.0,1.19267,1.19283,1.19275
EUR_USD,1769700275.0,1.19252,1.19267,1.19259
EUR_USD,1769700280.0,1.19246,1.19263,1.19254
EUR_USD,1769700285.0,1.19229,1.19244,1.19237
EUR_USD,1769700290.0,1.19229,1.19246,1.19238
EUR_USD,1769700295.0,1.19230,1.19244,1.19237
EUR_USD,1769700300.0,1.19227,1.19242,1.19234
EUR_USD,1769700305.0,1.19242,1.19260,1.19251
EUR_USD,1769700310.0,1.19252,1.19266,1.19259
EUR_USD,1769700315.0,1.19251,1.19269,1.19260
EUR_USD,1769700320.0,1.19244,1.19261,1.19252
EUR_USD,1769700325.0,1.19258,1.19275,1.19266
EUR_USD,1769700330.0,1.19261,1.19277,1.19269
EUR_USD,1769700335.0,1.19246,1.19262,1.19254
EUR_USD,1769700340.0,1.19246,1.19260,1.19253
EUR_USD,1769700345.0,1.19246,1.19262,1.19254
EUR_USD,1769700350.0,1.19241,1.19257,1.19249
EUR_USD,1769700355.0,1.19220,1.19237,1.19229
EUR_USD,1769700360.0,1.19214,1.19229,1.19222
EUR_USD,1769700365.0,1.19205,1.19223,1.19214
EUR_USD,1769700370.0,1.19201,1.19218,1.19210
EUR_USD,1769700375.0,1.19208,1.19226,1.19217
EUR_USD,1769700380.0,1.19208,1.19225,1.19217
EUR_USD,1769700385.0,1.19183,1.19201,1.19192
EUR_USD,1769700390.0,1.19173,1.19190,1.19182
EUR_USD,1769700395.0,1.19174,1.19190,1.19182
EUR_USD,1769700400.0,1.19180,1.19195,1.19188
EUR_USD,1769700405.0,1.19146,1.19164,1.19155
EUR_USD,1769700410.0,1.19145,1.19162,1.19154
EUR_USD,1769700415.0,1.19126,1.19142,1.19134
EUR_USD,1769700420.0,1.19142,1.19162,1.19152
EUR_USD,1769700425.0,1.19139,1.19156,1.19148
EUR_USD,1769700430.0,1.19121,1.19140,1.19131
EUR_USD,1769700435.0,1.19110,1.19127,1.19118
EUR_USD,1769700440.0,1.19108,1.19126,1.19117
EUR_USD,1769700445.0,1.19107,1.19123,1.19115
EUR_USD,1769700450.0,1.19115,1.19130,1.19122
EUR_USD,1769700455.0,1.19110,1.19126,1.19118
EUR_USD,1769700460.0,1.19106,1.19121,1.19114
EUR_USD,1769700465.0,1.19097,1.19113,1.19105
EUR_USD,1769700470.0,1.19107,1.19121,1.19114
EUR_USD,1769700475.0,1.19069,1.19087,1.19078
EUR_USD,1769700480.0,1.19057,1.19073,1.19065
EUR_USD,1769700485.0,1.19069,1.19085,1.19077
EUR_USD,1769700490.0,1.19086,1.19102,1.19094
EUR_USD,1769700495.0,1.19120,1.19135,1.19128
EUR_USD,1769700500.0,1.19105,1.19121,1.19113
EUR_USD,1769700505.0,1.19096,1.19113,1.19104
EUR_USD,1769700510.0,1.19090,1.19106,1.19098
EUR_USD,1769700515.0,1.19105,1.19121,1.19113
EUR_USD,1769700520.0,1.19085,1.19102,1.19094
EUR_USD,1769700525.0,1.19090,1.19105,1.19097
EUR_USD,1769700530.0,1.19091,1.19105,1.19098
EUR_USD,1769700535.0,1.19081,1.19096,1.19088
EUR_USD,1769700540.0,1.19068,1.19085,1.19076
EUR_USD,1769700545.0,1.19062,1.19080,1.19071
EUR_USD,1769700550.0,1.19068,1.19083,1.19076
EUR_USD,1769700555.0,1.19075,1.19091,1.19083
EUR_USD,1769700560.0,1.19069,1.19085,1.19077
EUR_USD,1769700565.0,1.19089,1.19103,1.19096
EUR_USD,1769700570.0,1.19098,1.19114,1.19106
EUR_USD,1769700575.0,1.19096,1.19113,1.19104
EUR_USD,1769700580.0,1.19100,1.19116,1.19108
EUR_USD,1769700585.0,1.19099,1.19114,1.19107
EUR_USD,1769700590.0,1.19088,1.19103,1.19095
EUR_USD,1769700595.0,1.19084,1.19101,1.19093
EUR_USD,1769700600.0,1.19068,1.19085,1.19076
EUR_USD,1769700605.0,1.19092,1.19108,1.19100
EUR_USD,1769700610.0,1.19098,1.19114,1.19106
EUR_USD,1769700615.0,1.19098,1.19113,1.19105
EUR_USD,1769700620.0,1.19090,1.19107,1.19098
EUR_USD,1769700625.0,1.19100,1.19117,1.19109
EUR_USD,1769700630.0,1.19133,1.19150,1.19142
EUR_USD,1769700635.0,1.19158,1.19173,1.19165
EUR_USD,1769700640.0,1.19170,1.19186,1.19178
EUR_USD,1769700645.0,1.19175,1.19189,1.19182
EUR_USD,1769700650.0,1.19177,1.19194,1.19185
EUR_USD,1769700655.0,1.19161,1.19180,1.19171
EUR_USD,1769700660.0,1.19162,1.19180,1.19171
EUR_USD,1769700665.0,1.19182,1.19197,1.19190
EUR_USD,1769700670.0,1.19187,1.19204,1.19196
EUR_USD,1769700675.0,1.19175,1.19192,1.19184
EUR_USD,1769700680.0,1.19164,1.19181,1.19172
EUR_USD,1769700685.0,1.19157,1.19172,1.19164
EUR_USD,1769700690.0,1.19149,1.19166,1.19157
EUR_USD,1769700695.0,1.19155,1.19173,1.19164
EUR_USD,1769700700.0,1.19153,1.19169,1.19161
EUR_USD,1769700705.0,1.19148,1.19165,1.19157
EUR_USD,1769700710.0,1.19155,1.19171,1.19163
EUR_USD,1769700715.0,1.19157,1.19172,1.19164
EUR_USD,1769700720.0,1.19128,1.19145,1.19136
EUR_USD,1769700725.0,1.19118,1.19135,1.19127
EUR_USD,1769700730.0,1.19134,1.19151,1.19143
EUR_USD,1769700735.0,1.19142,1.19158,1.19150
EUR_USD,1769700740.0,1.19149,1.19164,1.19156
EUR_USD,1769700745.0,1.19169,1.19186,1.19177
EUR_USD,1769700750.0,1.19168,1.19184,1.19176
EUR_USD,1769700755.0,1.19158,1.19173,1.19165
EUR_USD,1769700760.0,1.19167,1.19182,1.19175
EUR_USD,1769700765.0,1.19160,1.19174,1.19167
EUR_USD,1769700770.0,1.19153,1.19169,1.19161
EUR_USD,1769700775.0,1.19148,1.19163,1.19156
EUR_USD,1769700780.0,1.19131,1.19146,1.19138
EUR_USD,1769700785.0,1.19127,1.19144,1.19136
EUR_USD,1769700790.0,1.19153,1.19170,1.19162
EUR_USD,1769700795.0,1.19163,1.19180,1.19171
EUR_USD,1769700800.0,1.19173,1.19190,1.19182
EUR_USD,1769700805.0,1.19168,1.19183,1.19176
EUR_USD,1769700810.0,1.19172,1.19188,1.19180
EUR_USD,1769700815.0,1.19173,1.19191,1.19182
EUR_USD,1769700820.0,1.19188,1.19205,1.19197
EUR_USD,1769700825.0,1.19179,1.19196,1.19188
EUR_USD,1769700830.0,1.19195,1.19211,1.19203
EUR_USD,1769700835.0,1.19212,1.19230,1.19221
EUR_USD,1769700840.0,1.19206,1.19224,1.19215
EUR_USD,1769700845.0,1.19206,1.19224,1.19215
EUR_USD,1769700850.0,1.19215,1.19235,1.19225
EUR_USD,1769700855.0,1.19208,1.19225,1.19217
EUR_USD,1769700860.0,1.19203,1.19221,1.19212
