entry_time,node
2025-12-14 22:37:00+00:00,NZD_JPY__monday__asia
2025-12-14 22:40:00+00:00,USD_JPY__monday__asia
2025-12-15 02:41:00+00:00,GBP_JPY__monday__asia
2025-12-15 02:41:00+00:00,AUD_JPY__monday__sydney
2025-12-15 06:43:00+00:00,USD_JPY__monday__asia
2025-12-15 06:46:00+00:00,EUR_JPY__monday__asia
2025-12-15 10:48:00+00:00,NZD_JPY__monday__london
2025-12-15 10:49:00+00:00,NZD_USD__monday__london
2025-12-15 14:49:00+00:00,USD_CHF__monday__london
2025-12-15 14:50:00+00:00,AUD_JPY__monday__new_york
2025-12-15 18:54:00+00:00,GBP_USD__monday__new_york
2025-12-15 19:06:00+00:00,USD_CHF__monday__new_york
2025-12-21 22:36:00+00:00,USD_JPY__monday__sydney
2025-12-21 22:36:00+00:00,USD_JPY__monday__asia
2025-12-22 02:37:00+00:00,NZD_JPY__monday__asia
2025-12-22 02:38:00+00:00,GBP_JPY__monday__asia
2025-12-22 06:40:00+00:00,USD_CHF__monday__asia
2025-12-22 06:42:00+00:00,AUD_USD__monday__asia
2025-12-22 11:05:00+00:00,AUD_JPY__monday__london
2025-12-22 11:09:00+00:00,EUR_JPY__monday__london
2025-12-22 15:09:00+00:00,USD_CAD__monday__london
2025-12-22 15:26:00+00:00,AUD_USD__monday__new_york
2025-12-22 19:20:00+00:00,USD_CAD__monday__new_york
2025-12-22 19:33:00+00:00,GBP_JPY__monday__new_york
2025-12-28 22:36:00+00:00,GBP_USD__monday__sydney
2025-12-28 22:36:00+00:00,USD_JPY__monday__sydney
2025-12-29 02:38:00+00:00,EUR_JPY__monday__asia
2025-12-29 02:38:00+00:00,EUR_JPY__monday__sydney
2025-12-29 06:39:00+00:00,GBP_CHF__monday__asia
2025-12-29 06:41:00+00:00,EUR_JPY__monday__asia
2025-12-29 10:40:00+00:00,EUR_JPY__monday__london
2025-12-29 10:44:00+00:00,NZD_JPY__monday__london
2025-12-29 14:46:00+00:00,EUR_USD__monday__new_york
2025-12-29 14:53:00+00:00,EUR_GBP__monday__london
2025-12-29 18:46:00+00:00,NZD_USD__monday__new_york
2025-12-29 19:00:00+00:00,GBP_JPY__monday__new_york
2026-01-04 22:35:00+00:00,GBP_JPY__monday__sydney
2026-01-04 22:35:00+00:00,GBP_JPY__monday__asia
2026-01-05 02:35:00+00:00,AUD_JPY__monday__sydney
2026-01-05 02:37:00+00:00,GBP_USD__monday__sydney
2026-01-05 06:45:00+00:00,EUR_USD__monday__asia
2026-01-05 06:58:00+00:00,GBP_JPY__monday__asia
2026-01-05 10:58:00+00:00,EUR_CHF__monday__london
2026-01-05 10:58:00+00:00,CHF_JPY__monday__london
2026-01-05 15:00:00+00:00,USD_CHF__monday__new_york
2026-01-05 15:00:00+00:00,USD_CHF__monday__london
2026-01-05 19:17:00+00:00,EUR_CHF__monday__new_york
2026-01-05 19:20:00+00:00,GBP_USD__monday__new_york
2026-01-11 22:39:00+00:00,GBP_USD__monday__asia
2026-01-11 22:39:00+00:00,GBP_USD__monday__sydney
