gross_r,friction,net_r,node,exit_type
-0.35,0.05,-0.3999999999999999,NZD_JPY__monday__asia,CUT
0.25,0.05,0.2,USD_JPY__monday__asia,TARGET
0.25,0.05,0.2,GBP_JPY__monday__asia,TARGET
0.25,0.05,0.2,AUD_JPY__monday__sydney,TARGET
0.25,0.05,0.2,USD_JPY__monday__asia,TARGET
0.25,0.05,0.2,EUR_JPY__monday__asia,TARGET
0.25,0.05,0.2,NZD_JPY__monday__london,TARGET
0.25,0.05,0.2,NZD_USD__monday__london,TARGET
0.25,0.05,0.2,USD_CHF__monday__london,TARGET
0.25,0.05,0.2,AUD_JPY__monday__new_york,TARGET
0.25,0.05,0.2,GBP_USD__monday__new_york,TARGET
0.25,0.05,0.2,USD_CHF__monday__new_york,TARGET
0.25,0.05,0.2,USD_JPY__monday__sydney,TARGET
0.25,0.05,0.2,USD_JPY__monday__asia,TARGET
0.25,0.05,0.2,NZD_JPY__monday__asia,TARGET
0.25,0.05,0.2,GBP_JPY__monday__asia,TARGET
-0.35,0.05,-0.3999999999999999,USD_CHF__monday__asia,CUT
0.25,0.05,0.2,AUD_USD__monday__asia,TARGET
-0.35,0.05,-0.3999999999999999,AUD_JPY__monday__london,CUT
-0.35,0.05,-0.3999999999999999,EUR_JPY__monday__london,CUT
