node,trade_count,gross_r,net_r,friction
AUD_CAD__monday__london,5,0.9,0.65,0.25
AUD_JPY__monday__london,4,-0.7999999999999999,-0.9999999999999998,0.2
AUD_JPY__monday__new_york,2,0.5,0.4,0.1
AUD_JPY__monday__sydney,6,0.9,0.6000000000000001,0.30000000000000004
AUD_USD__monday__asia,2,0.5,0.4,0.1
AUD_USD__monday__london,1,-0.35,-0.3999999999999999,0.05
AUD_USD__monday__new_york,1,0.25,0.2,0.05
AUD_USD__monday__sydney,1,0.25,0.2,0.05
CHF_JPY__monday__london,7,-0.04999999999999993,-0.3999999999999997,0.35000000000000003
EUR_CHF__monday__asia,2,0.5,0.4,0.1
EUR_CHF__monday__london,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
EUR_CHF__monday__new_york,1,-0.1,-0.15,0.05
EUR_CHF__monday__sydney,1,0.25,0.2,0.05
EUR_GBP__monday__asia,1,-0.35,-0.3999999999999999,0.05
EUR_GBP__monday__london,2,-0.09999999999999998,-0.1999999999999999,0.1
EUR_GBP__monday__new_york,1,0.25,0.2,0.05
EUR_JPY__monday__asia,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
EUR_JPY__monday__london,4,-0.7999999999999999,-0.9999999999999998,0.2
EUR_JPY__monday__new_york,1,0.25,0.2,0.05
EUR_JPY__monday__sydney,1,0.25,0.2,0.05
EUR_USD__monday__asia,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
EUR_USD__monday__london,1,-0.35,-0.3999999999999999,0.05
EUR_USD__monday__new_york,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
GBP_CHF__monday__asia,5,-0.5499999999999999,-0.7999999999999997,0.25
GBP_CHF__monday__london,3,0.75,0.6000000000000001,0.15000000000000002
GBP_CHF__monday__new_york,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
GBP_CHF__monday__sydney,5,0.65,0.40000000000000013,0.25
GBP_JPY__monday__asia,10,1.9,1.4000000000000001,0.5
GBP_JPY__monday__london,1,0.25,0.2,0.05
GBP_JPY__monday__new_york,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
GBP_JPY__monday__sydney,1,0.25,0.2,0.05
GBP_USD__monday__asia,3,-0.44999999999999996,-0.5999999999999999,0.15000000000000002
GBP_USD__monday__new_york,3,0.75,0.6000000000000001,0.15000000000000002
GBP_USD__monday__sydney,6,-1.5,-1.7999999999999996,0.30000000000000004
NZD_JPY__monday__asia,5,0.050000000000000044,-0.1999999999999998,0.25
NZD_JPY__monday__london,4,0.4,0.20000000000000012,0.2
NZD_JPY__monday__new_york,1,-0.35,-0.3999999999999999,0.05
NZD_JPY__monday__sydney,2,0.5,0.4,0.1
NZD_USD__monday__london,1,0.25,0.2,0.05
NZD_USD__monday__new_york,4,1.0,0.8,0.2
USD_CAD__monday__asia,1,0.25,0.2,0.05
USD_CAD__monday__london,2,-0.09999999999999998,-0.1999999999999999,0.1
USD_CAD__monday__new_york,1,-0.35,-0.3999999999999999,0.05
USD_CAD__monday__sydney,1,-0.35,-0.3999999999999999,0.05
USD_CHF__monday__asia,3,0.15000000000000002,1.1102230246251565e-16,0.15000000000000002
USD_CHF__monday__london,2,0.5,0.4,0.1
USD_CHF__monday__new_york,5,1.25,1.0,0.25
USD_JPY__monday__asia,7,1.15,0.8000000000000002,0.35000000000000003
USD_JPY__monday__london,4,0.4,0.20000000000000012,0.2
USD_JPY__monday__new_york,6,-0.29999999999999993,-0.5999999999999996,0.30000000000000004
USD_JPY__monday__sydney,4,0.4,0.20000000000000012,0.2
