instrument,ts,bid,ask,mid,spread_pips
EUR_USD,1640000000.0,1.09997,1.10005,1.10001,0.8
EUR_USD,1640000001.0,1.10013,1.10021,1.10017,0.8
EUR_USD,1640000002.0,1.10022,1.1003,1.10026,0.8
EUR_USD,1640000003.0,1.10036,1.10044,1.1004,0.8
EUR_USD,1640000004.0,1.10057,1.10065,1.10061,0.8
EUR_USD,1640000005.0,1.10082,1.1009,1.10086,0.8
EUR_USD,1640000006.0,1.10105,1.10113,1.10109,0.8
EUR_USD,1640000007.0,1.10137,1.10145,1.10141,0.8
EUR_USD,1640000008.0,1.1022,1.10228,1.10224,0.8
EUR_USD,1640000009.0,1.10225,1.10233,1.10229,0.8
EUR_USD,1640000010.0,1.10242,1.1025,1.10246,0.8
EUR_USD,1640000011.0,1.10256,1.10264,1.1026,0.8
EUR_USD,1640000012.0,1.10283,1.10291,1.10287,0.8
EUR_USD,1640000013.0,1.10316,1.10324,1.1032,0.8
EUR_USD,1640000014.0,1.10361,1.10369,1.10365,0.8
EUR_USD,1640000015.0,1.10401,1.10409,1.10405,0.8
EUR_USD,1640000016.0,1.10451,1.10459,1.10455,0.8
EUR_USD,1640000017.0,1.10561,1.10569,1.10565,0.8
EUR_USD,1640000018.0,1.10576,1.10584,1.1058,0.8
EUR_USD,1640000019.0,1.10578,1.10586,1.10582,0.8
EUR_USD,1640000020.0,1.10572,1.1058,1.10576,0.8
EUR_USD,1640000021.0,1.10578,1.10586,1.10582,0.8
EUR_USD,1640000022.0,1.10609,1.10617,1.10613,0.8
EUR_USD,1640000023.0,1.10628,1.10636,1.10632,0.8
EUR_USD,1640000024.0,1.10643,1.10651,1.10647,0.8
EUR_USD,1640000025.0,1.10662,1.1067,1.10666,0.8
EUR_USD,1640000026.0,1.10679,1.10687,1.10683,0.8
EUR_USD,1640000027.0,1.10716,1.10724,1.1072,0.8
EUR_USD,1640000028.0,1.10766,1.10774,1.1077,0.8
EUR_USD,1640000029.0,1.1088,1.10888,1.10884,0.8
EUR_USD,1640000030.0,1.10872,1.1088,1.10876,0.8
EUR_USD,1640000031.0,1.10861,1.10869,1.10865,0.8
EUR_USD,1640000032.0,1.10847,1.10855,1.10851,0.8
EUR_USD,1640000033.0,1.10838,1.10846,1.10842,0.8
EUR_USD,1640000034.0,1.10822,1.1083,1.10826,0.8
EUR_USD,1640000035.0,1.10819,1.10827,1.10823,0.8
EUR_USD,1640000036.0,1.10814,1.10822,1.10818,0.8
EUR_USD,1640000037.0,1.1079,1.10798,1.10794,0.8
EUR_USD,1640000038.0,1.10761,1.10769,1.10765,0.8
EUR_USD,1640000039.0,1.10746,1.10754,1.1075,0.8
EUR_USD,1640000040.0,1.10725,1.10733,1.10729,0.8
EUR_USD,1640000041.0,1.10678,1.10686,1.10682,0.8
EUR_USD,1640000042.0,1.10587,1.10595,1.10591,0.8
EUR_USD,1640000043.0,1.10585,1.10593,1.10589,0.8
EUR_USD,1640000044.0,1.10586,1.10594,1.1059,0.8
EUR_USD,1640000045.0,1.10574,1.10582,1.10578,0.8
EUR_USD,1640000046.0,1.10563,1.10571,1.10567,0.8
EUR_USD,1640000047.0,1.1055,1.10558,1.10554,0.8
EUR_USD,1640000048.0,1.10565,1.10573,1.10569,0.8
EUR_USD,1640000049.0,1.10568,1.10576,1.10572,0.8
EUR_USD,1640000050.0,1.10575,1.10583,1.10579,0.8
EUR_USD,1640000051.0,1.10591,1.10599,1.10595,0.8
EUR_USD,1640000052.0,1.10609,1.10617,1.10613,0.8
EUR_USD,1640000053.0,1.10639,1.10647,1.10643,0.8
EUR_USD,1640000054.0,1.10633,1.10641,1.10637,0.8
EUR_USD,1640000055.0,1.10646,1.10654,1.1065,0.8
EUR_USD,1640000056.0,1.10659,1.10667,1.10663,0.8
EUR_USD,1640000057.0,1.1067,1.10678,1.10674,0.8
EUR_USD,1640000058.0,1.10683,1.10691,1.10687,0.8
EUR_USD,1640000059.0,1.10701,1.10709,1.10705,0.8
EUR_USD,1640000060.0,1.1071,1.10718,1.10714,0.8
EUR_USD,1640000061.0,1.10731,1.10739,1.10735,0.8
EUR_USD,1640000062.0,1.10742,1.1075,1.10746,0.8
EUR_USD,1640000063.0,1.10769,1.10777,1.10773,0.8
EUR_USD,1640000064.0,1.10803,1.10811,1.10807,0.8
EUR_USD,1640000065.0,1.10853,1.10861,1.10857,0.8
EUR_USD,1640000066.0,1.10945,1.10953,1.10949,0.8
EUR_USD,1640000067.0,1.10938,1.10946,1.10942,0.8
EUR_USD,1640000068.0,1.10914,1.10922,1.10918,0.8
EUR_USD,1640000069.0,1.10897,1.10905,1.10901,0.8
EUR_USD,1640000070.0,1.10889,1.10897,1.10893,0.8
EUR_USD,1640000071.0,1.10873,1.10881,1.10877,0.8
EUR_USD,1640000072.0,1.10854,1.10862,1.10858,0.8
EUR_USD,1640000073.0,1.10826,1.10834,1.1083,0.8
EUR_USD,1640000074.0,1.10782,1.1079,1.10786,0.8
EUR_USD,1640000075.0,1.10726,1.10734,1.1073,0.8
EUR_USD,1640000076.0,1.10631,1.10639,1.10635,0.8
EUR_USD,1640000077.0,1.10619,1.10627,1.10623,0.8
EUR_USD,1640000078.0,1.10599,1.10607,1.10603,0.8
EUR_USD,1640000079.0,1.10586,1.10594,1.1059,0.8
EUR_USD,1640000080.0,1.10582,1.1059,1.10586,0.8
EUR_USD,1640000081.0,1.10567,1.10575,1.10571,0.8
EUR_USD,1640000082.0,1.10549,1.10557,1.10553,0.8
EUR_USD,1640000083.0,1.10518,1.10526,1.10522,0.8
EUR_USD,1640000084.0,1.10467,1.10475,1.10471,0.8
EUR_USD,1640000085.0,1.10397,1.10405,1.10401,0.8
EUR_USD,1640000086.0,1.10248,1.10256,1.10252,0.8
EUR_USD,1640000087.0,1.10225,1.10233,1.10229,0.8
EUR_USD,1640000088.0,1.10222,1.1023,1.10226,0.8
EUR_USD,1640000089.0,1.10218,1.10226,1.10222,0.8
EUR_USD,1640000090.0,1.10203,1.10211,1.10207,0.8
EUR_USD,1640000091.0,1.1019,1.10198,1.10194,0.8
EUR_USD,1640000092.0,1.1018,1.10188,1.10184,0.8
EUR_USD,1640000093.0,1.10162,1.1017,1.10166,0.8
EUR_USD,1640000094.0,1.10161,1.10169,1.10165,0.8
EUR_USD,1640000095.0,1.10152,1.1016,1.10156,0.8
EUR_USD,1640000096.0,1.1014,1.10148,1.10144,0.8
EUR_USD,1640000097.0,1.10114,1.10122,1.10118,0.8
EUR_USD,1640000098.0,1.10098,1.10106,1.10102,0.8
EUR_USD,1640000099.0,1.10074,1.10082,1.10078,0.8
EUR_USD,1640000100.0,1.10045,1.10053,1.10049,0.8
EUR_USD,1640000101.0,1.10032,1.1004,1.10036,0.8
EUR_USD,1640000102.0,1.10015,1.10023,1.10019,0.8
EUR_USD,1640000103.0,1.09997,1.10005,1.10001,0.8
EUR_USD,1640000104.0,1.09957,1.09965,1.09961,0.8
EUR_USD,1640000105.0,1.09919,1.09927,1.09923,0.8
EUR_USD,1640000106.0,1.09867,1.09875,1.09871,0.8
EUR_USD,1640000107.0,1.09797,1.09805,1.09801,0.8
EUR_USD,1640000108.0,1.09649,1.09657,1.09653,0.8
EUR_USD,1640000109.0,1.0965,1.09658,1.09654,0.8
EUR_USD,1640000110.0,1.0966,1.09668,1.09664,0.8
EUR_USD,1640000111.0,1.09675,1.09683,1.09679,0.8
EUR_USD,1640000112.0,1.09668,1.09676,1.09672,0.8
EUR_USD,1640000113.0,1.09689,1.09697,1.09693,0.8
EUR_USD,1640000114.0,1.09705,1.09713,1.09709,0.8
EUR_USD,1640000115.0,1.0972,1.09728,1.09724,0.8
EUR_USD,1640000116.0,1.09742,1.0975,1.09746,0.8
EUR_USD,1640000117.0,1.09784,1.09792,1.09788,0.8
EUR_USD,1640000118.0,1.09806,1.09814,1.0981,0.8
EUR_USD,1640000119.0,1.09824,1.09832,1.09828,0.8
EUR_USD,1640000120.0,1.09847,1.09855,1.09851,0.8
EUR_USD,1640000121.0,1.09881,1.09889,1.09885,0.8
EUR_USD,1640000122.0,1.09932,1.0994,1.09936,0.8
EUR_USD,1640000123.0,1.10046,1.10054,1.1005,0.8
EUR_USD,1640000124.0,1.10053,1.10061,1.10057,0.8
EUR_USD,1640000125.0,1.10063,1.10071,1.10067,0.8
EUR_USD,1640000126.0,1.1005,1.10058,1.10054,0.8
EUR_USD,1640000127.0,1.10045,1.10053,1.10049,0.8
EUR_USD,1640000128.0,1.10053,1.10061,1.10057,0.8
EUR_USD,1640000129.0,1.1005,1.10058,1.10054,0.8
EUR_USD,1640000130.0,1.10053,1.10061,1.10057,0.8
EUR_USD,1640000131.0,1.10032,1.1004,1.10036,0.8
EUR_USD,1640000132.0,1.10015,1.10023,1.10019,0.8
EUR_USD,1640000133.0,1.10025,1.10033,1.10029,0.8
EUR_USD,1640000134.0,1.10028,1.10036,1.10032,0.8
EUR_USD,1640000135.0,1.10004,1.10012,1.10008,0.8
EUR_USD,1640000136.0,1.09995,1.10003,1.09999,0.8
EUR_USD,1640000137.0,1.09985,1.09993,1.09989,0.8
EUR_USD,1640000138.0,1.09979,1.09987,1.09983,0.8
EUR_USD,1640000139.0,1.09957,1.09965,1.09961,0.8
EUR_USD,1640000140.0,1.09953,1.09961,1.09957,0.8
EUR_USD,1640000141.0,1.09938,1.09946,1.09942,0.8
EUR_USD,1640000142.0,1.09911,1.09919,1.09915,0.8
EUR_USD,1640000143.0,1.09887,1.09895,1.09891,0.8
EUR_USD,1640000144.0,1.0986,1.09868,1.09864,0.8
EUR_USD,1640000145.0,1.0984,1.09848,1.09844,0.8
EUR_USD,1640000146.0,1.09821,1.09829,1.09825,0.8
EUR_USD,1640000147.0,1.09763,1.09771,1.09767,0.8
EUR_USD,1640000148.0,1.09654,1.09662,1.09658,0.8
EUR_USD,1640000149.0,1.09651,1.09659,1.09655,0.8
EUR_USD,1640000150.0,1.09645,1.09653,1.09649,0.8
EUR_USD,1640000151.0,1.09635,1.09643,1.09639,0.8
EUR_USD,1640000152.0,1.09617,1.09625,1.09621,0.8
EUR_USD,1640000153.0,1.09611,1.09619,1.09615,0.8
EUR_USD,1640000154.0,1.09602,1.0961,1.09606,0.8
EUR_USD,1640000155.0,1.09585,1.09593,1.09589,0.8
EUR_USD,1640000156.0,1.09565,1.09573,1.09569,0.8
EUR_USD,1640000157.0,1.09547,1.09555,1.09551,0.8
EUR_USD,1640000158.0,1.09534,1.09542,1.09538,0.8
EUR_USD,1640000159.0,1.09513,1.09521,1.09517,0.8
EUR_USD,1640000160.0,1.0949,1.09498,1.09494,0.8
EUR_USD,1640000161.0,1.0948,1.09488,1.09484,0.8
EUR_USD,1640000162.0,1.09442,1.0945,1.09446,0.8
EUR_USD,1640000163.0,1.09422,1.0943,1.09426,0.8
EUR_USD,1640000164.0,1.09379,1.09387,1.09383,0.8
EUR_USD,1640000165.0,1.09307,1.09315,1.09311,0.8
EUR_USD,1640000166.0,1.09166,1.09174,1.0917,0.8
EUR_USD,1640000167.0,1.09179,1.09187,1.09183,0.8
EUR_USD,1640000168.0,1.09192,1.092,1.09196,0.8
EUR_USD,1640000169.0,1.09191,1.09199,1.09195,0.8
EUR_USD,1640000170.0,1.09189,1.09197,1.09193,0.8
EUR_USD,1640000171.0,1.09214,1.09222,1.09218,0.8
EUR_USD,1640000172.0,1.09214,1.09222,1.09218,0.8
EUR_USD,1640000173.0,1.09228,1.09236,1.09232,0.8
EUR_USD,1640000174.0,1.09246,1.09254,1.0925,0.8
EUR_USD,1640000175.0,1.09256,1.09264,1.0926,0.8
EUR_USD,1640000176.0,1.09276,1.09284,1.0928,0.8
EUR_USD,1640000177.0,1.09295,1.09303,1.09299,0.8
EUR_USD,1640000178.0,1.09309,1.09317,1.09313,0.8
EUR_USD,1640000179.0,1.0934,1.09348,1.09344,0.8
EUR_USD,1640000180.0,1.09383,1.09391,1.09387,0.8
EUR_USD,1640000181.0,1.09445,1.09453,1.09449,0.8
