instrument,ts,bid,ask
EUR_USD,1640000000.0,1.08484,1.08492
EUR_USD,1640000001.0,1.08474,1.08482
EUR_USD,1640000002.0,1.08463,1.08471
EUR_USD,1640000003.0,1.08496,1.08504
EUR_USD,1640000004.0,1.08528,1.08536
EUR_USD,1640000005.0,1.08576,1.08584
EUR_USD,1640000006.0,1.08555,1.08563
EUR_USD,1640000007.0,1.08593,1.08601
EUR_USD,1640000008.0,1.08621,1.08629
EUR_USD,1640000009.0,1.08621,1.08629
EUR_USD,1640000010.0,1.08647,1.08655
EUR_USD,1640000011.0,1.08656,1.08664
EUR_USD,1640000012.0,1.08636,1.08644
EUR_USD,1640000013.0,1.08602,1.0861
EUR_USD,1640000014.0,1.08646,1.08654
EUR_USD,1640000015.0,1.08684,1.08692
EUR_USD,1640000016.0,1.08687,1.08695
EUR_USD,1640000017.0,1.08702,1.0871
EUR_USD,1640000018.0,1.08704,1.08712
EUR_USD,1640000019.0,1.08693,1.08701
EUR_USD,1640000020.0,1.08668,1.08676
EUR_USD,1640000021.0,1.08702,1.0871
EUR_USD,1640000022.0,1.08723,1.08731
EUR_USD,1640000023.0,1.08699,1.08707
EUR_USD,1640000024.0,1.08725,1.08733
EUR_USD,1640000025.0,1.08706,1.08714
EUR_USD,1640000026.0,1.08658,1.08666
EUR_USD,1640000027.0,1.08682,1.0869
EUR_USD,1640000028.0,1.08698,1.08706
EUR_USD,1640000029.0,1.08688,1.08696
EUR_USD,1640000030.0,1.08678,1.08686
EUR_USD,1640000031.0,1.08639,1.08647
EUR_USD,1640000032.0,1.0863,1.08638
EUR_USD,1640000033.0,1.08645,1.08653
EUR_USD,1640000034.0,1.08657,1.08665
EUR_USD,1640000035.0,1.08676,1.08684
EUR_USD,1640000036.0,1.08653,1.08661
EUR_USD,1640000037.0,1.08657,1.08665
EUR_USD,1640000038.0,1.08661,1.08669
EUR_USD,1640000039.0,1.08667,1.08675
EUR_USD,1640000040.0,1.08648,1.08656
EUR_USD,1640000041.0,1.08677,1.08685
EUR_USD,1640000042.0,1.0866,1.08668
EUR_USD,1640000043.0,1.08646,1.08654
EUR_USD,1640000044.0,1.08645,1.08653
EUR_USD,1640000045.0,1.08643,1.08651
EUR_USD,1640000046.0,1.08647,1.08655
EUR_USD,1640000047.0,1.08682,1.0869
EUR_USD,1640000048.0,1.08729,1.08737
EUR_USD,1640000049.0,1.08717,1.08725
EUR_USD,1640000050.0,1.0871,1.08718
EUR_USD,1640000051.0,1.08759,1.08767
EUR_USD,1640000052.0,1.0875,1.08758
EUR_USD,1640000053.0,1.08743,1.08751
EUR_USD,1640000054.0,1.08761,1.08769
EUR_USD,1640000055.0,1.08741,1.08749
EUR_USD,1640000056.0,1.08756,1.08764
EUR_USD,1640000057.0,1.08736,1.08744
EUR_USD,1640000058.0,1.08717,1.08725
EUR_USD,1640000059.0,1.0869,1.08698
EUR_USD,1640000060.0,1.08714,1.08722
EUR_USD,1640000061.0,1.08787,1.08795
EUR_USD,1640000062.0,1.08768,1.08776
EUR_USD,1640000063.0,1.08773,1.08781
EUR_USD,1640000064.0,1.08784,1.08792
EUR_USD,1640000065.0,1.08786,1.08794
EUR_USD,1640000066.0,1.08757,1.08765
EUR_USD,1640000067.0,1.08768,1.08776
EUR_USD,1640000068.0,1.08728,1.08736
EUR_USD,1640000069.0,1.08752,1.0876
EUR_USD,1640000070.0,1.08771,1.08779
EUR_USD,1640000071.0,1.08755,1.08763
EUR_USD,1640000072.0,1.08766,1.08774
EUR_USD,1640000073.0,1.08737,1.08745
EUR_USD,1640000074.0,1.08728,1.08736
EUR_USD,1640000075.0,1.08762,1.0877
EUR_USD,1640000076.0,1.08755,1.08763
EUR_USD,1640000077.0,1.08757,1.08765
EUR_USD,1640000078.0,1.08779,1.08787
EUR_USD,1640000079.0,1.08794,1.08802
EUR_USD,1640000080.0,1.08817,1.08825
EUR_USD,1640000081.0,1.08832,1.0884
EUR_USD,1640000082.0,1.08849,1.08857
EUR_USD,1640000083.0,1.08844,1.08852
EUR_USD,1640000084.0,1.08897,1.08905
EUR_USD,1640000085.0,1.08894,1.08902
EUR_USD,1640000086.0,1.08926,1.08934
EUR_USD,1640000087.0,1.08914,1.08922
EUR_USD,1640000088.0,1.08895,1.08903
EUR_USD,1640000089.0,1.08919,1.08927
EUR_USD,1640000090.0,1.08969,1.08977
EUR_USD,1640000091.0,1.08942,1.0895
EUR_USD,1640000092.0,1.08916,1.08924
EUR_USD,1640000093.0,1.08942,1.0895
EUR_USD,1640000094.0,1.08971,1.08979
EUR_USD,1640000095.0,1.09009,1.09017
EUR_USD,1640000096.0,1.09014,1.09022
EUR_USD,1640000097.0,1.09031,1.09039
EUR_USD,1640000098.0,1.09019,1.09027
EUR_USD,1640000099.0,1.09058,1.09066
EUR_USD,1640000100.0,1.09037,1.09045
EUR_USD,1640000101.0,1.09024,1.09032
EUR_USD,1640000102.0,1.09044,1.09052
EUR_USD,1640000103.0,1.09079,1.09087
EUR_USD,1640000104.0,1.09066,1.09074
EUR_USD,1640000105.0,1.09056,1.09064
EUR_USD,1640000106.0,1.09086,1.09094
EUR_USD,1640000107.0,1.09128,1.09136
EUR_USD,1640000108.0,1.09151,1.09159
EUR_USD,1640000109.0,1.09141,1.09149
EUR_USD,1640000110.0,1.09164,1.09172
EUR_USD,1640000111.0,1.09213,1.09221
EUR_USD,1640000112.0,1.09205,1.09213
EUR_USD,1640000113.0,1.09197,1.09205
EUR_USD,1640000114.0,1.09221,1.09229
EUR_USD,1640000115.0,1.09254,1.09262
EUR_USD,1640000116.0,1.09257,1.09265
EUR_USD,1640000117.0,1.09247,1.09255
EUR_USD,1640000118.0,1.09288,1.09296
EUR_USD,1640000119.0,1.09304,1.09312
EUR_USD,1640000120.0,1.09301,1.09309
EUR_USD,1640000121.0,1.09295,1.09303
EUR_USD,1640000122.0,1.09333,1.09341
EUR_USD,1640000123.0,1.09333,1.09341
EUR_USD,1640000124.0,1.09352,1.0936
EUR_USD,1640000125.0,1.09314,1.09322
EUR_USD,1640000126.0,1.09327,1.09335
EUR_USD,1640000127.0,1.09357,1.09365
EUR_USD,1640000128.0,1.09345,1.09353
EUR_USD,1640000129.0,1.09363,1.09371
EUR_USD,1640000130.0,1.09364,1.09372
EUR_USD,1640000131.0,1.09364,1.09372
EUR_USD,1640000132.0,1.09391,1.09399
EUR_USD,1640000133.0,1.09364,1.09372
EUR_USD,1640000134.0,1.09378,1.09386
EUR_USD,1640000135.0,1.09432,1.0944
