trade_id,entry_time,node,pair,direction,score,mode,entry_price,entry_atr,margin,risk_usd,max_mfe,max_mae,exit_time,gross_r,net_r,exit_type,friction,final_balance
1,2025-12-14 22:36:00+00:00,NZD_JPY__monday__asia,NZD_JPY,SHORT,0.6595424000000001,HARVESTER,90.351,0.05792857142857092,40.0,2.0,0.0,1.5018495684341022,2025-12-14 22:40:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,99.2
2,2025-12-14 22:36:00+00:00,NZD_JPY__monday__asia,NZD_JPY,SHORT,0.6595424000000001,HARVESTER,90.351,0.05792857142857092,40.0,2.0,0.0,1.5018495684341022,2025-12-14 22:40:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,98.4
3,2025-12-14 22:40:00+00:00,USD_JPY__monday__asia,USD_JPY,SHORT,0.7509636000000001,HARVESTER,155.827,0.042714285714294774,39.36000000000001,1.9680000000000002,1.4749163879592766,0.0,2025-12-14 22:45:00+00:00,0.25,0.2,TARGET,0.05,98.79360000000001
4,2025-12-14 22:40:00+00:00,USD_JPY__monday__asia,USD_JPY,SHORT,0.7509636000000001,HARVESTER,155.827,0.042714285714294774,39.36000000000001,1.9680000000000002,1.4749163879592766,0.0,2025-12-14 22:45:00+00:00,0.25,0.2,TARGET,0.05,99.18720000000002
5,2025-12-14 22:45:00+00:00,AUD_JPY__monday__asia,AUD_JPY,SHORT,0.7411002,HARVESTER,103.488,0.0680714285714298,39.67488000000001,1.9837440000000004,0.6757607555090023,0.4407135362014778,2025-12-14 22:50:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,98.39370240000002
6,2025-12-14 22:45:00+00:00,AUD_JPY__monday__asia,AUD_JPY,SHORT,0.7411002,HARVESTER,103.488,0.0680714285714298,39.67488000000001,1.9837440000000004,0.6757607555090023,0.4407135362014778,2025-12-14 22:50:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,97.60020480000003
7,2025-12-14 22:50:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7655172,HARVESTER,208.354,0.08050000000000271,39.04008192000001,1.9520040960000007,0.12422360248470796,0.6459627329191397,2025-12-14 22:55:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,96.81940316160002
8,2025-12-14 22:50:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7655172,HARVESTER,208.354,0.08050000000000271,39.04008192000001,1.9520040960000007,0.12422360248470796,0.6459627329191397,2025-12-14 22:55:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,96.03860152320001
9,2025-12-14 22:55:00+00:00,NZD_USD__monday__asia,NZD_USD,SHORT,0.6935046,HARVESTER,0.57962,0.0004428571428571258,38.415440609280004,1.9207720304640004,0.9032258064517988,1.1741935483870627,2025-12-14 23:00:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,95.27029271101442
10,2025-12-14 22:55:00+00:00,NZD_USD__monday__asia,NZD_USD,SHORT,0.6935046,HARVESTER,0.57962,0.0004428571428571258,38.415440609280004,1.9207720304640004,0.9032258064517988,1.1741935483870627,2025-12-14 23:00:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,94.50198389882883
11,2025-12-14 23:00:00+00:00,GBP_USD__monday__asia,GBP_USD,SHORT,0.7585493999999999,HARVESTER,1.33698,0.00045285714285712785,37.80079355953153,1.8900396779765765,0.5520504731863225,0.0,2025-12-14 23:05:00+00:00,0.25,0.2,TARGET,0.05,94.87999183442415
12,2025-12-14 23:00:00+00:00,GBP_USD__monday__asia,GBP_USD,SHORT,0.7585493999999999,HARVESTER,1.33698,0.00045285714285712785,37.80079355953153,1.8900396779765765,0.5520504731863225,0.0,2025-12-14 23:05:00+00:00,0.25,0.2,TARGET,0.05,95.25799977001947
13,2025-12-14 23:05:00+00:00,EUR_GBP__monday__sydney,EUR_GBP,LONG,0.7267190000000001,HARVESTER,0.87804,0.00034571428571428253,38.10319990800779,1.9051599954003893,0.4628099173551967,0.0,2025-12-14 23:10:00+00:00,0.25,0.2,TARGET,0.05,95.63903176909955
14,2025-12-14 23:05:00+00:00,EUR_GBP__monday__sydney,EUR_GBP,LONG,0.7267190000000001,HARVESTER,0.87804,0.00034571428571428253,38.10319990800779,1.9051599954003893,0.4628099173551967,0.0,2025-12-14 23:10:00+00:00,0.25,0.2,TARGET,0.05,96.02006376817963
15,2025-12-14 23:10:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7284338,HARVESTER,208.233,0.07728571428571586,38.40802550727185,1.9204012753635926,0.0,0.9963031423289765,2025-12-14 23:15:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,95.25190325803419
16,2025-12-14 23:10:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7284338,HARVESTER,208.233,0.07728571428571586,38.40802550727185,1.9204012753635926,0.0,0.9963031423289765,2025-12-14 23:15:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,94.48374274788875
17,2025-12-14 23:15:00+00:00,NZD_JPY__monday__sydney,NZD_JPY,LONG,0.7303096,HARVESTER,90.383,0.0775714285714305,37.7934970991555,1.889674854957775,0.2707182320442024,0.0,2025-12-14 23:20:00+00:00,0.25,0.2,TARGET,0.05,94.86167771888032
18,2025-12-14 23:15:00+00:00,NZD_JPY__monday__sydney,NZD_JPY,LONG,0.7303096,HARVESTER,90.383,0.0775714285714305,37.7934970991555,1.889674854957775,0.2707182320442024,0.0,2025-12-14 23:20:00+00:00,0.25,0.2,TARGET,0.05,95.23961268987188
19,2025-12-14 23:20:00+00:00,USD_CAD__monday__asia,USD_CAD,SHORT,0.712226,HARVESTER,1.37667,0.00028571428571430184,38.09584507594875,1.9047922537974376,0.17500000000035942,0.5599999999997513,2025-12-14 23:25:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,94.4776957883529
20,2025-12-14 23:20:00+00:00,USD_CAD__monday__asia,USD_CAD,SHORT,0.712226,HARVESTER,1.37667,0.00028571428571430184,38.09584507594875,1.9047922537974376,0.17500000000035942,0.5599999999997513,2025-12-14 23:25:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,93.71577888683393
21,2025-12-14 23:25:00+00:00,USD_CAD__monday__asia,USD_CAD,SHORT,0.7353328,HARVESTER,1.37663,0.00029214285714288364,37.486311554733575,1.8743155777366787,0.3080684596574118,0.3422982885084887,2025-12-14 23:35:00+00:00,0.25,0.2,TARGET,0.05,94.09064200238127
22,2025-12-14 23:25:00+00:00,USD_CAD__monday__sydney,USD_CAD,SHORT,0.7318864,HARVESTER,1.37663,0.00029214285714288364,37.486311554733575,1.8743155777366787,0.3080684596574118,0.3422982885084887,2025-12-14 23:35:00+00:00,0.25,0.2,TARGET,0.05,94.46550511792861
24,2025-12-14 23:35:00+00:00,GBP_USD__monday__sydney,GBP_USD,LONG,0.6327398000000001,HARVESTER,1.33713,0.00034428571428570177,37.78620204717144,1.8893101023585723,0.20331950207473828,0.7261410788377982,2025-12-14 23:40:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,93.70978107698518
23,2025-12-14 23:35:00+00:00,AUD_USD__monday__sydney,AUD_USD,SHORT,0.6563198,HARVESTER,0.66481,0.0004249999999999928,37.78620204717144,1.8893101023585723,0.16470588235297806,0.40000000000001495,2025-12-14 23:50:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,92.95405703604175
25,2025-12-14 23:40:00+00:00,EUR_CHF__monday__asia,EUR_CHF,LONG,0.7131725999999999,HARVESTER,0.9342,0.0002821428571428578,37.48391243079407,1.8741956215397035,0.3544303797467956,0.14177215189887563,2025-12-14 23:50:00+00:00,0.25,0.2,TARGET,0.05,93.32889616034969
26,2025-12-14 23:50:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.707409,HARVESTER,208.288,0.05342857142857075,37.331558464139874,1.8665779232069937,0.0,1.9090909090904737,2025-12-14 23:55:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,92.58226499106689
27,2025-12-14 23:50:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.707409,HARVESTER,208.288,0.05342857142857075,37.331558464139874,1.8665779232069937,0.0,1.9090909090904737,2025-12-14 23:55:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,91.8356338217841
28,2025-12-14 23:55:00+00:00,USD_CHF__monday__asia,USD_CHF,LONG,0.6994074,HARVESTER,0.79591,0.00026142857142858703,36.73425352871364,1.836712676435682,2.333333333333192,0.0,2025-12-15 00:00:00+00:00,0.25,0.2,TARGET,0.05,92.20297635707124
29,2025-12-14 23:55:00+00:00,USD_CHF__monday__asia,USD_CHF,LONG,0.6994074,HARVESTER,0.79591,0.00026142857142858703,36.73425352871364,1.836712676435682,2.333333333333192,0.0,2025-12-15 00:00:00+00:00,0.25,0.2,TARGET,0.05,92.57031889235837
30,2025-12-15 00:00:00+00:00,USD_JPY__monday__sydney,USD_JPY,LONG,0.7544024,HARVESTER,155.891,0.039857142857142334,37.028127556943346,1.8514063778471674,2.2329749103942604,0.0,2025-12-15 00:05:00+00:00,0.25,0.2,TARGET,0.05,92.94060016792781
31,2025-12-15 00:00:00+00:00,USD_JPY__monday__sydney,USD_JPY,LONG,0.7544024,HARVESTER,155.891,0.039857142857142334,37.028127556943346,1.8514063778471674,2.2329749103942604,0.0,2025-12-15 00:05:00+00:00,0.25,0.2,TARGET,0.05,93.31088144349725
32,2025-12-15 00:05:00+00:00,NZD_JPY__monday__sydney,NZD_JPY,LONG,0.7128862,HARVESTER,90.452,0.039714285714287555,37.3243525773989,1.866217628869945,0.35251798561138853,0.3273381294965194,2025-12-15 00:10:00+00:00,0.25,0.2,TARGET,0.05,93.68412496927124
33,2025-12-15 00:05:00+00:00,NZD_JPY__monday__sydney,NZD_JPY,LONG,0.7128862,HARVESTER,90.452,0.039714285714287555,37.3243525773989,1.866217628869945,0.35251798561138853,0.3273381294965194,2025-12-15 00:10:00+00:00,0.25,0.2,TARGET,0.05,94.05736849504522
34,2025-12-15 00:10:00+00:00,EUR_USD__monday__sydney,EUR_USD,SHORT,0.7391110000000001,HARVESTER,1.17322,0.00019357142857141202,37.62294739801809,1.8811473699009045,1.0332103321032955,0.051660516605508904,2025-12-15 00:15:00+00:00,0.25,0.2,TARGET,0.05,94.4335979690254
35,2025-12-15 00:10:00+00:00,EUR_USD__monday__sydney,EUR_USD,SHORT,0.7391110000000001,HARVESTER,1.17322,0.00019357142857141202,37.62294739801809,1.8811473699009045,1.0332103321032955,0.051660516605508904,2025-12-15 00:15:00+00:00,0.25,0.2,TARGET,0.05,94.80982744300557
36,2025-12-15 00:15:00+00:00,USD_CHF__monday__sydney,USD_CHF,LONG,0.6967642,HARVESTER,0.7966,0.00018999999999999969,37.92393097720223,1.8961965488601116,0.5263157894736271,0.0,2025-12-15 00:20:00+00:00,0.25,0.2,TARGET,0.05,95.18906675277759
37,2025-12-15 00:15:00+00:00,AUD_JPY__monday__asia,AUD_JPY,LONG,0.6549176,HARVESTER,103.654,0.04528571428571431,37.92393097720223,1.8961965488601116,0.0,0.9716088328075027,2025-12-15 00:20:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,94.43058813323354
38,2025-12-15 00:20:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7599666,HARVESTER,208.327,0.049642857142856656,37.77223525329342,1.8886117626646708,0.38273381294975395,0.2014388489206821,2025-12-15 00:25:00+00:00,0.25,0.2,TARGET,0.05,94.80831048576647
39,2025-12-15 00:20:00+00:00,GBP_JPY__monday__asia,GBP_JPY,SHORT,0.7599666,HARVESTER,208.327,0.049642857142856656,37.77223525329342,1.8886117626646708,0.38273381294975395,0.2014388489206821,2025-12-15 00:25:00+00:00,0.25,0.2,TARGET,0.05,95.1860328382994
40,2025-12-15 00:25:00+00:00,GBP_USD__monday__sydney,GBP_USD,SHORT,0.7462696,HARVESTER,1.3359,0.00022428571428566104,38.07441313531976,1.903720656765988,1.3821656050960143,0.08917197452190834,2025-12-15 00:30:00+00:00,0.25,0.2,TARGET,0.05,95.5667769696526
41,2025-12-15 00:25:00+00:00,GBP_USD__monday__sydney,GBP_USD,SHORT,0.7462696,HARVESTER,1.3359,0.00022428571428566104,38.07441313531976,1.903720656765988,1.3821656050960143,0.08917197452190834,2025-12-15 00:30:00+00:00,0.25,0.2,TARGET,0.05,95.94752110100579
42,2025-12-15 00:30:00+00:00,USD_CHF__monday__asia,USD_CHF,LONG,0.7171350000000001,HARVESTER,0.79679,0.000182142857142845,38.379008440402316,1.918950422020116,0.054901960784067526,0.7686274509806026,2025-12-15 00:35:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,95.17994093219774
43,2025-12-15 00:30:00+00:00,USD_CHF__monday__sydney,USD_CHF,LONG,0.6966804,HARVESTER,0.79679,0.000182142857142845,38.379008440402316,1.918950422020116,0.054901960784067526,0.7686274509806026,2025-12-15 00:35:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,94.41236076338969
44,2025-12-15 00:35:00+00:00,GBP_JPY__monday__sydney,GBP_JPY,SHORT,0.6278159999999999,HARVESTER,208.306,0.0500714285714281,37.764944305355876,1.8882472152677938,0.0,1.2382310984304932,2025-12-15 00:40:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,93.65706187728257
45,2025-12-15 00:36:00+00:00,EUR_CHF__monday__asia,EUR_CHF,LONG,0.7553006,HARVESTER,0.93457,0.0001128571428571447,37.764944305355876,1.8882472152677938,0.7974683544306724,0.0886075949372879,2025-12-15 00:40:00+00:00,0.25,0.2,TARGET,0.05,94.03471132033613
46,2025-12-15 00:40:00+00:00,AUD_USD__monday__sydney,AUD_USD,LONG,0.6296419999999999,HARVESTER,0.6646,0.00016142857142855842,37.61388452813445,1.8806942264067226,0.7433628318585227,0.37168141592891746,2025-12-15 00:45:00+00:00,-0.35,-0.39999999999999997,CUT,0.05,93.28243362977344
