instrument,ts,bid,ask
EUR_USD,1640000000.0,1.10006,1.10014
EUR_USD,1640000001.0,1.10046,1.10054
EUR_USD,1640000002.0,1.10046,1.10054
EUR_USD,1640000003.0,1.10075,1.10083
EUR_USD,1640000004.0,1.1008,1.10088
EUR_USD,1640000005.0,1.10106,1.10114
EUR_USD,1640000006.0,1.10097,1.10105
EUR_USD,1640000007.0,1.10122,1.1013
EUR_USD,1640000008.0,1.10131,1.10139
EUR_USD,1640000009.0,1.1016,1.10168
EUR_USD,1640000010.0,1.10186,1.10194
EUR_USD,1640000011.0,1.10177,1.10185
EUR_USD,1640000012.0,1.10178,1.10186
EUR_USD,1640000013.0,1.10198,1.10206
EUR_USD,1640000014.0,1.10212,1.1022
EUR_USD,1640000015.0,1.10221,1.10229
EUR_USD,1640000016.0,1.10232,1.1024
EUR_USD,1640000017.0,1.10233,1.10241
EUR_USD,1640000018.0,1.10244,1.10252
EUR_USD,1640000019.0,1.10266,1.10274
EUR_USD,1640000020.0,1.10283,1.10291
EUR_USD,1640000021.0,1.10293,1.10301
EUR_USD,1640000022.0,1.10302,1.1031
EUR_USD,1640000023.0,1.10301,1.10309
EUR_USD,1640000024.0,1.10318,1.10326
EUR_USD,1640000025.0,1.10335,1.10343
EUR_USD,1640000026.0,1.10364,1.10372
EUR_USD,1640000027.0,1.10372,1.1038
EUR_USD,1640000028.0,1.10396,1.10404
EUR_USD,1640000029.0,1.104,1.10408
EUR_USD,1640000030.0,1.10422,1.1043
EUR_USD,1640000031.0,1.10432,1.1044
EUR_USD,1640000032.0,1.10431,1.10439
EUR_USD,1640000033.0,1.10423,1.10431
EUR_USD,1640000034.0,1.1041,1.10418
EUR_USD,1640000035.0,1.10433,1.10441
EUR_USD,1640000036.0,1.1043,1.10438
EUR_USD,1640000037.0,1.10436,1.10444
EUR_USD,1640000038.0,1.10445,1.10453
EUR_USD,1640000039.0,1.10427,1.10435
EUR_USD,1640000040.0,1.10428,1.10436
EUR_USD,1640000041.0,1.10404,1.10412
EUR_USD,1640000042.0,1.10404,1.10412
EUR_USD,1640000043.0,1.10416,1.10424
EUR_USD,1640000044.0,1.10407,1.10415
EUR_USD,1640000045.0,1.10411,1.10419
EUR_USD,1640000046.0,1.10425,1.10433
EUR_USD,1640000047.0,1.10448,1.10456
EUR_USD,1640000048.0,1.10463,1.10471
EUR_USD,1640000049.0,1.1045,1.10458
EUR_USD,1640000050.0,1.10458,1.10466
EUR_USD,1640000051.0,1.10452,1.1046
EUR_USD,1640000052.0,1.10465,1.10473
EUR_USD,1640000053.0,1.10489,1.10497
EUR_USD,1640000054.0,1.10495,1.10503
EUR_USD,1640000055.0,1.10497,1.10505
EUR_USD,1640000056.0,1.10522,1.1053
EUR_USD,1640000057.0,1.10541,1.10549
EUR_USD,1640000058.0,1.10526,1.10534
EUR_USD,1640000059.0,1.10514,1.10522
EUR_USD,1640000060.0,1.10528,1.10536
EUR_USD,1640000061.0,1.10525,1.10533
EUR_USD,1640000062.0,1.10539,1.10547
EUR_USD,1640000063.0,1.1054,1.10548
EUR_USD,1640000064.0,1.10576,1.10584
EUR_USD,1640000065.0,1.10567,1.10575
EUR_USD,1640000066.0,1.10577,1.10585
EUR_USD,1640000067.0,1.10591,1.10599
EUR_USD,1640000068.0,1.10608,1.10616
EUR_USD,1640000069.0,1.10619,1.10627
EUR_USD,1640000070.0,1.10636,1.10644
EUR_USD,1640000071.0,1.1066,1.10668
EUR_USD,1640000072.0,1.10683,1.10691
EUR_USD,1640000073.0,1.10688,1.10696
EUR_USD,1640000074.0,1.10672,1.1068
EUR_USD,1640000075.0,1.10692,1.107
EUR_USD,1640000076.0,1.10694,1.10702
EUR_USD,1640000077.0,1.10704,1.10712
EUR_USD,1640000078.0,1.10696,1.10704
EUR_USD,1640000079.0,1.10707,1.10715
