instrument,ts,bid,ask
EUR_USD,1640000000.0,1.13993,1.14001
EUR_USD,1640000001.0,1.13988,1.13996
EUR_USD,1640000002.0,1.1399,1.13998
EUR_USD,1640000003.0,1.13992,1.14
EUR_USD,1640000004.0,1.1399,1.13998
EUR_USD,1640000005.0,1.13991,1.13999
EUR_USD,1640000006.0,1.13987,1.13995
EUR_USD,1640000007.0,1.13989,1.13997
EUR_USD,1640000008.0,1.13989,1.13997
EUR_USD,1640000009.0,1.13987,1.13995
EUR_USD,1640000010.0,1.13991,1.13999
EUR_USD,1640000011.0,1.13991,1.13999
EUR_USD,1640000012.0,1.13995,1.14003
EUR_USD,1640000013.0,1.13996,1.14004
EUR_USD,1640000014.0,1.13998,1.14006
EUR_USD,1640000015.0,1.13995,1.14003
EUR_USD,1640000016.0,1.13996,1.14004
EUR_USD,1640000017.0,1.13994,1.14002
EUR_USD,1640000018.0,1.13994,1.14002
EUR_USD,1640000019.0,1.13989,1.13997
EUR_USD,1640000020.0,1.13988,1.13996
EUR_USD,1640000021.0,1.13989,1.13997
EUR_USD,1640000022.0,1.13989,1.13997
EUR_USD,1640000023.0,1.13989,1.13997
EUR_USD,1640000024.0,1.13987,1.13995
EUR_USD,1640000025.0,1.1399,1.13998
EUR_USD,1640000026.0,1.13989,1.13997
EUR_USD,1640000027.0,1.13991,1.13999
EUR_USD,1640000028.0,1.13986,1.13994
EUR_USD,1640000029.0,1.13989,1.13997
EUR_USD,1640000030.0,1.1399,1.13998
EUR_USD,1640000031.0,1.13996,1.14004
EUR_USD,1640000032.0,1.13997,1.14005
EUR_USD,1640000033.0,1.14,1.14008
EUR_USD,1640000034.0,1.14001,1.14009
EUR_USD,1640000035.0,1.14003,1.14011
EUR_USD,1640000036.0,1.14003,1.14011
EUR_USD,1640000037.0,1.14007,1.14015
EUR_USD,1640000038.0,1.14004,1.14012
EUR_USD,1640000039.0,1.14003,1.14011
EUR_USD,1640000040.0,1.13997,1.14005
EUR_USD,1640000041.0,1.13997,1.14005
EUR_USD,1640000042.0,1.13999,1.14007
EUR_USD,1640000043.0,1.13999,1.14007
EUR_USD,1640000044.0,1.13999,1.14007
EUR_USD,1640000045.0,1.14001,1.14009
EUR_USD,1640000046.0,1.13998,1.14006
EUR_USD,1640000047.0,1.13999,1.14007
EUR_USD,1640000048.0,1.14002,1.1401
EUR_USD,1640000049.0,1.14002,1.1401
EUR_USD,1640000050.0,1.14003,1.14011
EUR_USD,1640000051.0,1.14002,1.1401
EUR_USD,1640000052.0,1.14001,1.14009
EUR_USD,1640000053.0,1.13999,1.14007
EUR_USD,1640000054.0,1.13998,1.14006
EUR_USD,1640000055.0,1.13996,1.14004
EUR_USD,1640000056.0,1.13997,1.14005
EUR_USD,1640000057.0,1.14,1.14008
EUR_USD,1640000058.0,1.14003,1.14011
EUR_USD,1640000059.0,1.14002,1.1401
EUR_USD,1640000060.0,1.14007,1.14015
EUR_USD,1640000061.0,1.14005,1.14013
EUR_USD,1640000062.0,1.14008,1.14016
EUR_USD,1640000063.0,1.14007,1.14015
EUR_USD,1640000064.0,1.14004,1.14012
EUR_USD,1640000065.0,1.14,1.14008
EUR_USD,1640000066.0,1.14,1.14008
EUR_USD,1640000067.0,1.13997,1.14005
EUR_USD,1640000068.0,1.13995,1.14003
EUR_USD,1640000069.0,1.13996,1.14004
EUR_USD,1640000070.0,1.13997,1.14005
EUR_USD,1640000071.0,1.13997,1.14005
EUR_USD,1640000072.0,1.13998,1.14006
EUR_USD,1640000073.0,1.13996,1.14004
EUR_USD,1640000074.0,1.13995,1.14003
EUR_USD,1640000075.0,1.13997,1.14005
EUR_USD,1640000076.0,1.13998,1.14006
EUR_USD,1640000077.0,1.13997,1.14005
EUR_USD,1640000078.0,1.13994,1.14002
EUR_USD,1640000079.0,1.13992,1.14
EUR_USD,1640000080.0,1.13993,1.14001
EUR_USD,1640000081.0,1.13994,1.14002
EUR_USD,1640000082.0,1.13993,1.14001
EUR_USD,1640000083.0,1.1399,1.13998
EUR_USD,1640000084.0,1.13988,1.13996
EUR_USD,1640000085.0,1.13988,1.13996
EUR_USD,1640000086.0,1.1399,1.13998
EUR_USD,1640000087.0,1.1399,1.13998
EUR_USD,1640000088.0,1.13991,1.13999
EUR_USD,1640000089.0,1.13993,1.14001
EUR_USD,1640000090.0,1.13997,1.14005
EUR_USD,1640000091.0,1.13998,1.14006
EUR_USD,1640000092.0,1.13999,1.14007
EUR_USD,1640000093.0,1.14003,1.14011
EUR_USD,1640000094.0,1.14003,1.14011
EUR_USD,1640000095.0,1.14005,1.14013
EUR_USD,1640000096.0,1.14004,1.14012
EUR_USD,1640000097.0,1.14004,1.14012
EUR_USD,1640000098.0,1.14005,1.14013
EUR_USD,1640000099.0,1.14003,1.14011
EUR_USD,1640000100.0,1.14005,1.14013
EUR_USD,1640000101.0,1.14007,1.14015
EUR_USD,1640000102.0,1.14011,1.14019
EUR_USD,1640000103.0,1.14011,1.14019
EUR_USD,1640000104.0,1.14008,1.14016
EUR_USD,1640000105.0,1.14008,1.14016
EUR_USD,1640000106.0,1.14011,1.14019
EUR_USD,1640000107.0,1.1401,1.14018
EUR_USD,1640000108.0,1.14011,1.14019
EUR_USD,1640000109.0,1.14012,1.1402
EUR_USD,1640000110.0,1.14008,1.14016
EUR_USD,1640000111.0,1.14007,1.14015
EUR_USD,1640000112.0,1.14009,1.14017
EUR_USD,1640000113.0,1.14012,1.1402
EUR_USD,1640000114.0,1.1401,1.14018
EUR_USD,1640000115.0,1.14014,1.14022
EUR_USD,1640000116.0,1.14011,1.14019
EUR_USD,1640000117.0,1.14012,1.1402
EUR_USD,1640000118.0,1.14011,1.14019
EUR_USD,1640000119.0,1.14012,1.1402
EUR_USD,1640000120.0,1.14013,1.14021
EUR_USD,1640000121.0,1.14014,1.14022
EUR_USD,1640000122.0,1.14013,1.14021
EUR_USD,1640000123.0,1.14009,1.14017
EUR_USD,1640000124.0,1.14013,1.14021
EUR_USD,1640000125.0,1.14014,1.14022
EUR_USD,1640000126.0,1.1401,1.14018
EUR_USD,1640000127.0,1.14012,1.1402
EUR_USD,1640000128.0,1.14015,1.14023
EUR_USD,1640000129.0,1.14015,1.14023
EUR_USD,1640000130.0,1.14013,1.14021
EUR_USD,1640000131.0,1.14012,1.1402
EUR_USD,1640000132.0,1.1401,1.14018
EUR_USD,1640000133.0,1.14012,1.1402
EUR_USD,1640000134.0,1.1401,1.14018
EUR_USD,1640000135.0,1.14011,1.14019
EUR_USD,1640000136.0,1.14011,1.14019
EUR_USD,1640000137.0,1.14012,1.1402
EUR_USD,1640000138.0,1.14012,1.1402
EUR_USD,1640000139.0,1.14016,1.14024
EUR_USD,1640000140.0,1.14019,1.14027
EUR_USD,1640000141.0,1.14022,1.1403
EUR_USD,1640000142.0,1.14023,1.14031
EUR_USD,1640000143.0,1.14026,1.14034
EUR_USD,1640000144.0,1.14026,1.14034
EUR_USD,1640000145.0,1.14024,1.14032
EUR_USD,1640000146.0,1.14028,1.14036
EUR_USD,1640000147.0,1.14028,1.14036
EUR_USD,1640000148.0,1.14028,1.14036
EUR_USD,1640000149.0,1.14027,1.14035
EUR_USD,1640000150.0,1.14028,1.14036
EUR_USD,1640000151.0,1.14031,1.14039
EUR_USD,1640000152.0,1.14035,1.14043
EUR_USD,1640000153.0,1.14031,1.14039
EUR_USD,1640000154.0,1.14032,1.1404
EUR_USD,1640000155.0,1.14035,1.14043
EUR_USD,1640000156.0,1.14039,1.14047
EUR_USD,1640000157.0,1.14037,1.14045
EUR_USD,1640000158.0,1.14038,1.14046
EUR_USD,1640000159.0,1.14037,1.14045
EUR_USD,1640000160.0,1.14033,1.14041
EUR_USD,1640000161.0,1.14035,1.14043
EUR_USD,1640000162.0,1.14031,1.14039
EUR_USD,1640000163.0,1.14029,1.14037
EUR_USD,1640000164.0,1.14027,1.14035
EUR_USD,1640000165.0,1.14027,1.14035
EUR_USD,1640000166.0,1.14025,1.14033
EUR_USD,1640000167.0,1.14026,1.14034
EUR_USD,1640000168.0,1.14021,1.14029
EUR_USD,1640000169.0,1.14024,1.14032
EUR_USD,1640000170.0,1.1402,1.14028
EUR_USD,1640000171.0,1.14021,1.14029
EUR_USD,1640000172.0,1.14024,1.14032
EUR_USD,1640000173.0,1.14024,1.14032
EUR_USD,1640000174.0,1.14022,1.1403
EUR_USD,1640000175.0,1.14022,1.1403
EUR_USD,1640000176.0,1.14021,1.14029
EUR_USD,1640000177.0,1.14024,1.14032
EUR_USD,1640000178.0,1.14022,1.1403
EUR_USD,1640000179.0,1.14024,1.14032
EUR_USD,1640000180.0,1.14023,1.14031
EUR_USD,1640000181.0,1.14026,1.14034
EUR_USD,1640000182.0,1.14027,1.14035
EUR_USD,1640000183.0,1.14027,1.14035
EUR_USD,1640000184.0,1.14026,1.14034
EUR_USD,1640000185.0,1.1403,1.14038
EUR_USD,1640000186.0,1.1403,1.14038
EUR_USD,1640000187.0,1.14029,1.14037
EUR_USD,1640000188.0,1.14029,1.14037
EUR_USD,1640000189.0,1.14029,1.14037
EUR_USD,1640000190.0,1.14035,1.14043
EUR_USD,1640000191.0,1.1404,1.14048
EUR_USD,1640000192.0,1.14039,1.14047
EUR_USD,1640000193.0,1.14037,1.14045
EUR_USD,1640000194.0,1.14036,1.14044
EUR_USD,1640000195.0,1.14034,1.14042
EUR_USD,1640000196.0,1.14037,1.14045
EUR_USD,1640000197.0,1.14042,1.1405
EUR_USD,1640000198.0,1.14041,1.14049
EUR_USD,1640000199.0,1.14044,1.14052
EUR_USD,1640000200.0,1.14042,1.1405
EUR_USD,1640000201.0,1.14043,1.14051
EUR_USD,1640000202.0,1.14041,1.14049
EUR_USD,1640000203.0,1.14042,1.1405
EUR_USD,1640000204.0,1.14042,1.1405
EUR_USD,1640000205.0,1.14045,1.14053
EUR_USD,1640000206.0,1.14045,1.14053
