instrument,ts,bid,ask
EUR_USD,1640000000.0,1.085,1.0852
EUR_USD,1640000001.0,1.0848,1.085
EUR_USD,1640000002.0,1.085,1.0852
EUR_USD,1640000003.0,1.0848,1.085
EUR_USD,1640000004.0,1.085,1.0852
EUR_USD,1640000005.0,1.0848,1.085
EUR_USD,1640000006.0,1.085,1.0852
EUR_USD,1640000007.0,1.0848,1.085
EUR_USD,1640000008.0,1.085,1.0852
EUR_USD,1640000009.0,1.0848,1.085
EUR_USD,1640000010.0,1.085,1.0852
EUR_USD,1640000011.0,1.0848,1.085
EUR_USD,1640000012.0,1.085,1.0852
EUR_USD,1640000013.0,1.0848,1.085
EUR_USD,1640000014.0,1.085,1.0852
EUR_USD,1640000015.0,1.0848,1.085
EUR_USD,1640000016.0,1.085,1.0852
EUR_USD,1640000017.0,1.0848,1.085
EUR_USD,1640000018.0,1.085,1.0852
EUR_USD,1640000019.0,1.0848,1.085
EUR_USD,1640000020.0,1.085,1.0852
EUR_USD,1640000021.0,1.0848,1.085
EUR_USD,1640000022.0,1.085,1.0852
EUR_USD,1640000023.0,1.0848,1.085
EUR_USD,1640000024.0,1.085,1.0852
EUR_USD,1640000025.0,1.0848,1.085
EUR_USD,1640000026.0,1.085,1.0852
EUR_USD,1640000027.0,1.0848,1.085
EUR_USD,1640000028.0,1.085,1.0852
EUR_USD,1640000029.0,1.0848,1.085
EUR_USD,1640000030.0,1.085,1.0852
EUR_USD,1640000031.0,1.0848,1.085
EUR_USD,1640000032.0,1.085,1.0852
EUR_USD,1640000033.0,1.0848,1.085
EUR_USD,1640000034.0,1.085,1.0852
EUR_USD,1640000035.0,1.0848,1.085
EUR_USD,1640000036.0,1.085,1.0852
EUR_USD,1640000037.0,1.0848,1.085
EUR_USD,1640000038.0,1.085,1.0852
EUR_USD,1640000039.0,1.0848,1.085
EUR_USD,1640000040.0,1.085,1.0852
EUR_USD,1640000041.0,1.0848,1.085
EUR_USD,1640000042.0,1.085,1.0852
EUR_USD,1640000043.0,1.0848,1.085
EUR_USD,1640000044.0,1.085,1.0852
